Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.012782,6.19899,[1 4] ; [10  2],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
p7,1,0.073989,3.192222,[2 3] ; [10  2],[3.52941176 1.47058824] ; [8.47058824 3.52941176],0
a3,1,0.073989,3.192222,[2 3] ; [10  2],[3.52941176 1.47058824] ; [8.47058824 3.52941176],0
s3,1,0.11863,2.435317,[2 3] ; [ 1 11],[0.88235294 4.11764706] ; [2.11764706 9.88235294],0
s5,1,0.149073,2.081713,[1 4] ; [7 5],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
p8,1,0.168843,1.893182,[2 3] ; [9 3],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
p3,1,0.168843,1.893182,[2 3] ; [9 3],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
b4,1,0.252136,1.311429,[4 1] ; [6 6],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
p4,1,0.301409,1.067949,[3 2] ; [10  2],[3.82352941 1.17647059] ; [9.17647059 2.82352941],0
r3,1,0.301409,1.067949,[3 2] ; [10  2],[3.82352941 1.17647059] ; [9.17647059 2.82352941],0
b5,1,0.308709,1.03619,[3 2] ; [4 8],[2.05882353 2.94117647] ; [4.94117647 7.05882353],0
s8,1,0.394344,0.725505,[1 4] ; [5 7],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
a7,1,0.394344,0.725505,[4 1] ; [7 5],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
d3,1,0.394344,0.725505,[4 1] ; [7 5],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
a6,1,0.394344,0.725505,[4 1] ; [7 5],[3.23529412 1.76470588] ; [7.76470588 4.23529412],0
d5,1,0.496329,0.462778,[4 1] ; [11  1],[4.41176471 0.58823529] ; [10.58823529  1.41176471],0
s2,1,0.496329,0.462778,[1 4] ; [ 1 11],[0.58823529 4.41176471] ; [ 1.41176471 10.58823529],0
d1,1,0.582493,0.302222,[4 1] ; [8 4],[3.52941176 1.47058824] ; [8.47058824 3.52941176],0
n4,1,0.582493,0.302222,[4 1] ; [8 4],[3.52941176 1.47058824] ; [8.47058824 3.52941176],0
b1,1,0.70663,0.141667,[2 3] ; [6 6],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
a4,1,0.70663,0.141667,[2 3] ; [6 6],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
n1,1,0.709388,0.138889,[1 1] ; [1 2],[0.8 1.2] ; [1.2 1.8],0
n3,1,0.709388,0.138889,[1 1] ; [2 1],[1.2 0.8] ; [1.8 1.2],0
n6,1,0.711531,0.136752,[3 1] ; [10  2],[3.25 0.75] ; [9.75 2.25],0
s7,1,0.793258,0.068687,[2 3] ; [4 8],[1.76470588 3.23529412] ; [4.23529412 7.76470588],0
a5,1,0.86952,0.026984,[4 1] ; [10  2],[4.11764706 0.88235294] ; [9.88235294 2.11764706],0
a2,1,0.86952,0.026984,[1 4] ; [ 2 10],[0.88235294 4.11764706] ; [2.11764706 9.88235294],0
n5,1,0.86952,0.026984,[4 1] ; [10  2],[4.11764706 0.88235294] ; [9.88235294 2.11764706],0
d2,1,0.949272,0.004048,[3 2] ; [7 5],[2.94117647 2.05882353] ; [7.05882353 4.94117647],0
