Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,25.214928,[ 38 122] ; [81 78],[ 59.68652038 100.31347962] ; [59.31347962 99.68652038],1
s2,1,1e-06,24.763342,[ 24 135] ; [64 96],[ 43.86206897 115.13793103] ; [ 44.13793103 115.86206897],1
s5,1,0.000163,14.221396,[ 20 138] ; [ 48 112],[ 33.78616352 124.21383648] ; [ 34.21383648 125.78616352],1
r4,1,0.000232,13.550388,[123  38] ; [149  14],[135.16049383  25.83950617] ; [136.83950617  26.16049383],1
s4,1,0.000249,13.418962,[ 11 150] ; [ 33 124],[ 22.27672956 138.72327044] ; [ 21.72327044 135.27672956],1
p4,1,0.002157,9.410775,[67 92] ; [96 66],[80.73831776 78.26168224] ; [82.26168224 79.73831776],0
p2,1,0.002864,8.892181,[110  49] ; [135  27],[121.35514019  37.64485981] ; [123.64485981  38.35514019],0
s8,1,0.002972,8.824831,[ 19 142] ; [ 40 123],[ 29.31790123 131.68209877] ; [ 29.68209877 133.31790123],0
p10,1,0.003188,8.696675,[111  48] ; [134  26],[122.11598746  36.88401254] ; [122.88401254  37.11598746],0
v4,1,0.003298,8.634636,[136  25] ; [154   9],[144.10493827  16.89506173] ; [145.89506173  17.10493827],0
r3,1,0.006899,7.299185,[133  26] ; [152  11],[140.72981366  18.27018634] ; [144.27018634  18.72981366],0
r1,1,0.007237,7.213298,[105  55] ; [128  34],[115.77639752  44.22360248] ; [117.22360248  44.77639752],0
p7,1,0.009425,6.740474,[77 82] ; [100  59],[88.5 70.5] ; [88.5 70.5],0
v1,1,0.013519,6.099873,[72 87] ; [94 65],[83. 76.] ; [83. 76.],0
p12,1,0.026653,4.913129,[  4 156] ; [ 13 149],[  8.44720497 151.55279503] ; [  8.55279503 153.44720497],0
p6,1,0.029927,4.713499,[ 34 123] ; [ 52 108],[ 42.59305994 114.40694006] ; [ 43.40694006 116.59305994],0
p11,1,0.039917,4.221401,[117  44] ; [134  29],[124.72530864  36.27469136] ; [126.27469136  36.72530864],0
p9,1,0.048461,3.893928,[117  41] ; [133  27],[124.21383648  33.78616352] ; [125.78616352  34.21383648],0
d5,1,0.053575,3.725892,[118  43] ; [134  29],[125.22222222  35.77777778] ; [126.77777778  36.22222222],0
b5,1,0.056378,3.640854,[89 72] ; [107  56],[97.39506173 63.60493827] ; [98.60493827 64.39506173],0
n6,1,0.065764,3.385718,[127  33] ; [141  21],[133.16770186  26.83229814] ; [134.83229814  27.16770186],0
a7,1,0.075366,3.16211,[105  55] ; [121  41],[112.29813665  47.70186335] ; [113.70186335  48.29813665],0
d3,1,0.082408,3.016765,[92 68] ; [109  54],[99.56656347 60.43343653] ; [101.43343653  61.56656347],0
p1,1,0.086705,2.934502,[ 16 145] ; [  8 154],[ 11.9628483 149.0371517] ; [ 12.0371517 149.9628483],0
b1,1,0.090715,2.861647,[68 93] ; [ 54 109],[ 60.62345679 100.37654321] ; [ 61.37654321 101.62345679],0
u1,1,0.091766,2.843118,[ 14 147] ; [ 24 139],[ 18.88271605 142.11728395] ; [ 19.11728395 143.88271605],0
s1,1,0.099205,2.71828,[  5 153] ; [  1 157],[  3. 155.] ; [  3. 155.],0
p8,1,0.099497,2.713581,[65 92] ; [81 79],[72.30914826 84.69085174] ; [73.69085174 86.30914826],0
d4,1,0.100456,2.698295,[114  46] ; [129  34],[120.37151703  39.62848297] ; [122.62848297  40.37151703],0
d2,1,0.15017,2.070521,[78 80] ; [67 95],[71.59375 86.40625] ; [73.40625 88.59375],0
a1,1,0.178153,1.812966,[ 10 151] ; [  5 158],[  7.4537037 153.5462963] ; [  7.5462963 155.4537037],0
b4,1,0.180637,1.792374,[91 70] ; [104  59],[96.89814815 64.10185185] ; [98.10185185 64.89814815],0
a8,1,0.196716,1.666593,[ 16 132] ; [ 24 127],[ 19.7993311 128.2006689] ; [ 20.2006689 130.7993311],0
v2,1,0.229485,1.444049,[70 83] ; [80 72],[75.24590164 77.75409836] ; [74.75409836 77.24590164],0
a4,1,0.238367,1.390226,[72 88] ; [62 99],[66.79127726 93.20872274] ; [67.20872274 93.79127726],0
u3,1,0.259033,1.273917,[24 34] ; [34 32],[27.12903226 30.87096774] ; [30.87096774 35.12903226],0
p5,1,0.265335,1.240706,[  8 152] ; [ 13 148],[ 10.46728972 149.53271028] ; [ 10.53271028 150.46728972],0
r2,1,0.300121,1.073658,[140  18] ; [150  13],[142.74143302  15.25856698] ; [147.25856698  15.74143302],0
p3,1,0.35112,0.869404,[ 60 100] ; [69 93],[64.09937888 95.90062112] ; [64.90062112 97.09937888],0
n3,1,0.384351,0.756737,[30 15] ; [25  8],[31.73076923 13.26923077] ; [23.26923077  9.73076923],0
a3,1,0.405419,0.692195,[103  57] ; [97 65],[99.37888199 60.62111801] ; [100.62111801  61.37888199],0
u2,1,0.430699,0.620937,[24 33] ; [32 33],[26.16393443 30.83606557] ; [29.83606557 35.16393443],0
b2,1,0.467974,0.526756,[37 59] ; [28 56],[34.66666667 61.33333333] ; [30.33333333 53.66666667],0
b3,1,0.467974,0.526756,[37 59] ; [28 56],[34.66666667 61.33333333] ; [30.33333333 53.66666667],0
n2,1,0.494106,0.467574,[32 14] ; [26  8],[33.35 12.65] ; [24.65  9.35],0
n4,1,0.513112,0.427716,[133  28] ; [139  24],[135.16049383  25.83950617] ; [136.83950617  26.16049383],0
a2,1,0.543207,0.369628,[ 35 126] ; [ 31 132],[ 32.7962963 128.2037037] ; [ 33.2037037 129.7962963],0
u4,1,0.569145,0.324115,[  1 160] ; [  2 161],[  1.49074074 159.50925926] ; [  1.50925926 161.49074074],0
a5,1,0.605449,0.266856,[111  50] ; [108  55],[108.82407407  52.17592593] ; [110.17592593  52.82407407],0
v3,1,0.841997,0.039736,[ 50 107] ; [ 51 104],[ 50.82371795 106.17628205] ; [ 50.17628205 104.82371795],0
a6,1,0.867922,0.027655,[112  49] ; [112  51],[111.30864198  49.69135802] ; [112.69135802  50.30864198],0
n1,1,0.893276,0.017999,[18 26] ; [13 20],[17.71428571 26.28571429] ; [13.28571429 19.71428571],0
d1,1,0.915777,0.011184,[84 77] ; [86 77],[84.47530864 76.52469136] ; [85.52469136 77.47530864],0
