Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000279,13.206349,[ 6 50] ; [20 28],[14. 42.] ; [12. 36.],1
s5,1,0.000349,12.784569,[ 3 54] ; [15 32],[ 9.86538462 47.13461538] ; [ 8.13461538 38.86538462],1
r4,1,0.00121,10.474916,[29 29] ; [40 10],[37.05555556 20.94444444] ; [31.94444444 18.05555556],0
s3,1,0.001403,10.201705,[19 38] ; [31 17],[27.14285714 29.85714286] ; [22.85714286 25.14285714],0
s2,1,0.002031,9.521622,[12 46] ; [24 25],[19.51401869 38.48598131] ; [16.48598131 32.51401869],0
v4,1,0.003311,8.627461,[41 16] ; [46  3],[46.78301887 10.21698113] ; [40.21698113  8.78301887],0
p10,1,0.003351,8.605973,[25 32] ; [36 14],[32.4953271 24.5046729] ; [28.5046729 21.4953271],0
s8,1,0.007112,7.244531,[ 8 50] ; [18 32],[13.96296296 44.03703704] ; [12.03703704 37.96296296],0
r3,1,0.012973,6.172778,[41 17] ; [45  5],[46.18518519 11.81481481] ; [39.81481481 10.18518519],0
n4,1,0.014001,6.038013,[27 31] ; [35 15],[33.2962963 24.7037037] ; [28.7037037 21.2962963],0
a7,1,0.014374,5.99165,[20 38] ; [29 21],[26.31481481 31.68518519] ; [22.68518519 27.31481481],0
n5,1,0.022644,5.195636,[30 27] ; [37 13],[35.69158879 21.30841121] ; [31.30841121 18.69158879],0
u2,1,0.025572,4.984703,[14 25] ; [20 12],[18.67605634 20.32394366] ; [15.32394366 16.67605634],0
n6,1,0.027032,4.888777,[35 23] ; [40 10],[40.27777778 17.72222222] ; [34.72222222 15.27777778],0
p9,1,0.031166,4.643784,[32 25] ; [38 12],[37.28971963 19.71028037] ; [32.71028037 17.28971963],0
r1,1,0.034958,4.447247,[23 35] ; [30 20],[28.46296296 29.53703704] ; [24.53703704 25.46296296],0
p3,1,0.044909,4.022069,[10 48] ; [17 33],[14.5 43.5] ; [12.5 37.5],0
b3,1,0.054485,3.697778,[13 26] ; [ 3 22],[ 9.75 29.25] ; [ 6.25 18.75],0
b2,1,0.054485,3.697778,[13 26] ; [ 3 22],[ 9.75 29.25] ; [ 6.25 18.75],0
p4,1,0.055068,3.680028,[14 43] ; [21 29],[18.64485981 38.35514019] ; [16.35514019 33.64485981],0
p11,1,0.063468,3.444352,[33 25] ; [37 13],[37.59259259 20.40740741] ; [32.40740741 17.59259259],0
r2,1,0.077231,3.122223,[43 15] ; [43  6],[46.61682243 11.38317757] ; [39.38317757  9.61682243],0
s4,1,0.097241,2.750229,[ 6 52] ; [11 39],[ 9.12962963 48.87037037] ; [ 7.87037037 42.12962963],0
v2,1,0.104692,2.632575,[13 41] ; [18 28],[16.74 37.26] ; [14.26 31.74],0
v1,1,0.108612,2.574303,[17 40] ; [22 27],[20.97169811 36.02830189] ; [18.02830189 30.97169811],0
u3,1,0.118944,2.431169,[13 26] ; [17 16],[16.25 22.75] ; [13.75 19.25],0
p12,1,0.1217,2.395308,[ 1 57] ; [ 4 46],[ 2.68518519 55.31481481] ; [ 2.31481481 47.68518519],0
p8,1,0.130659,2.284653,[16 41] ; [21 29],[19.71028037 37.28971963] ; [17.28971963 32.71028037],0
p7,1,0.14448,2.129579,[27 29] ; [30 18],[30.69230769 25.30769231] ; [26.30769231 21.69230769],0
a4,1,0.193026,1.694372,[ 8 50] ; [ 3 46],[ 5.96261682 52.03738318] ; [ 5.03738318 43.96261682],0
p2,1,0.219583,1.507093,[34 24] ; [35 15],[37.05555556 20.94444444] ; [31.94444444 18.05555556],0
d2,1,0.226952,1.459862,[12 46] ; [ 6 44],[ 9.66666667 48.33333333] ; [ 8.33333333 41.66666667],0
a1,1,0.227228,1.458127,[ 4 54] ; [ 1 49],[ 2.68518519 55.31481481] ; [ 2.31481481 47.68518519],0
d3,1,0.248916,1.329379,[16 42] ; [19 31],[18.7962963 39.2037037] ; [16.2037037 33.7962963],0
s1,1,0.324159,0.97209,[ 3 55] ; [ 5 44],[ 4.3364486 53.6635514] ; [ 3.6635514 45.3364486],0
p6,1,0.337258,0.920828,[12 45] ; [14 34],[14.11428571 42.88571429] ; [11.88571429 36.11428571],0
a6,1,0.422162,0.644288,[20 38] ; [21 29],[22.01851852 35.98148148] ; [18.98148148 31.01851852],0
b5,1,0.506115,0.442091,[35 23] ; [27 23],[33.2962963 24.7037037] ; [28.7037037 21.2962963],0
n1,1,0.514084,0.425745,[ 9 14] ; [ 4 10],[ 8.08108108 14.91891892] ; [4.91891892 9.08108108],0
d4,1,0.540742,0.374166,[24 33] ; [24 26],[25.57009346 31.42990654] ; [22.42990654 27.57009346],0
b1,1,0.56746,0.32695,[24 34] ; [18 32],[22.55555556 35.44444444] ; [19.44444444 30.55555556],0
v3,1,0.617569,0.249299,[11 47] ; [11 37],[12.03773585 45.96226415] ; [ 9.96226415 38.03773585],0
n3,1,0.623317,0.241233,[15  8] ; [8 6],[14.2972973  8.7027027] ; [8.7027027 5.2972973],0
d1,1,0.647905,0.208552,[ 2 56] ; [ 1 49],[ 1.61111111 56.38888889] ; [ 1.38888889 48.61111111],0
b4,1,0.720631,0.127889,[31 27] ; [25 25],[30.07407407 27.92592593] ; [25.92592593 24.07407407],0
n2,1,0.739356,0.110694,[16  7] ; [9 5],[15.54054054  7.45945946] ; [9.45945946 4.54054054],0
