Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.117854,2.445606,[ 5 30] ; [30 80],[ 8.44827586 26.55172414] ; [26.55172414 83.44827586],0
n3,1,0.122691,2.382634,[ 9 12] ; [23 13],[11.78947368  9.21052632] ; [20.21052632 15.78947368],0
b5,1,0.125488,2.347446,[15 20] ; [64 47],[18.93835616 16.06164384] ; [60.06164384 50.93835616],0
a6,1,0.127159,2.326846,[16 19] ; [67 44],[19.89726027 15.10273973] ; [63.10273973 47.89726027],0
s1,1,0.138441,2.1952,[ 5 30] ; [  7 103],[ 2.89655172 32.10344828] ; [  9.10344828 100.89655172],0
a5,1,0.153011,2.041975,[16 19] ; [66 45],[19.65753425 15.34246575] ; [62.34246575 48.65753425],0
a8,1,0.177583,1.817739,[ 1 32] ; [11 92],[ 2.91176471 30.08823529] ; [ 9.08823529 93.91176471],0
v3,1,0.207738,1.587121,[ 6 29] ; [30 78],[ 8.81118881 26.18881119] ; [27.18881119 80.81118881],0
b2,1,0.251046,1.317473,[10 15] ; [17 45],[ 7.75862069 17.24137931] ; [19.24137931 42.75862069],0
b3,1,0.251046,1.317473,[10 15] ; [17 45],[ 7.75862069 17.24137931] ; [19.24137931 42.75862069],0
d1,1,0.302489,1.063189,[12 23] ; [49 62],[14.62328767 20.37671233] ; [46.37671233 64.62328767],0
p12,1,0.389425,0.740737,[ 1 34] ; [  1 109],[ 0.48275862 34.51724138] ; [  1.51724138 108.48275862],0
a2,1,0.420541,0.648804,[ 4 31] ; [19 92],[ 5.51369863 29.48630137] ; [17.48630137 93.51369863],0
s7,1,0.436567,0.605288,[ 5 28] ; [22 81],[ 6.55147059 26.44852941] ; [20.44852941 82.55147059],0
a4,1,0.481706,0.494998,[14 20] ; [38 72],[12.27777778 21.72222222] ; [39.72222222 70.27777778],0
s5,1,0.489972,0.476588,[ 4 31] ; [18 93],[ 5.2739726 29.7260274] ; [16.7260274 94.2739726],0
p1,1,0.558141,0.342934,[ 4 31] ; [  9 101],[ 3.13793103 31.86206897] ; [  9.86206897 100.13793103],0
b4,1,0.588417,0.292823,[19 16] ; [66 45],[20.37671233 14.62328767] ; [64.62328767 46.37671233],0
n1,1,0.662791,0.190151,[ 8 13] ; [12 25],[ 7.24137931 13.75862069] ; [12.75862069 24.24137931],0
p10,1,0.692516,0.156375,[ 6 29] ; [22 87],[ 6.80555556 28.19444444] ; [21.19444444 87.80555556],0
u2,1,0.722878,0.125752,[ 6 10] ; [20 27],[6.6031746 9.3968254] ; [19.3968254 27.6031746],0
d2,1,0.747372,0.103752,[17 17] ; [52 59],[16.17931034 17.82068966] ; [52.82068966 58.17931034],0
b1,1,0.761897,0.091804,[19 16] ; [57 54],[18.21917808 16.78082192] ; [57.78082192 53.21917808],0
n4,1,0.865561,0.028663,[22 13] ; [68 43],[21.57534247 13.42465753] ; [68.42465753 42.57534247],0
p5,1,0.940786,0.005518,[ 1 33] ; [  3 108],[ 0.93793103 33.06206897] ; [  3.06206897 107.93793103],0
a3,1,0.997828,7e-06,[19 15] ; [62 49],[18.99310345 15.00689655] ; [62.00689655 48.99310345],0
