Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2.2e-05,18.035037,[33 32] ; [ 4 36],[22.9047619 42.0952381] ; [14.0952381 25.9047619],1
a3,1,0.000223,13.629808,[48 17] ; [15 25],[39. 26.] ; [24. 16.],1
n4,1,0.002838,8.908772,[30 35] ; [ 7 33],[22.9047619 42.0952381] ; [14.0952381 25.9047619],0
d3,1,0.007786,7.08194,[49 16] ; [20 20],[42.71428571 22.28571429] ; [26.28571429 13.71428571],0
p3,1,0.014444,5.983025,[31 32] ; [10 30],[25.0776699 37.9223301] ; [15.9223301 24.0776699],0
r1,1,0.017459,5.649624,[52 12] ; [24 16],[46.76923077 17.23076923] ; [29.23076923 10.76923077],0
v2,1,0.02063,5.357774,[31 30] ; [10 27],[25.52040816 35.47959184] ; [15.47959184 21.52040816],0
d2,1,0.020634,5.357426,[31 34] ; [10 30],[25.38095238 39.61904762] ; [15.61904762 24.38095238],0
r4,1,0.026021,4.954628,[52 13] ; [24 16],[47.04761905 17.95238095] ; [28.95238095 11.04761905],0
p4,1,0.049177,3.869299,[30 34] ; [11 29],[25.23076923 38.76923077] ; [15.76923077 24.23076923],0
d1,1,0.053221,3.736969,[37 28] ; [15 25],[32.19047619 32.80952381] ; [19.80952381 20.19047619],0
d5,1,0.056563,3.635402,[53 12] ; [26 14],[48.9047619 16.0952381] ; [30.0952381  9.9047619],0
a6,1,0.059074,3.563192,[43 22] ; [19 21],[38.38095238 26.61904762] ; [23.61904762 16.38095238],0
r3,1,0.059167,3.560577,[59  6] ; [31  9],[55.71428571  9.28571429] ; [34.28571429  5.71428571],0
p11,1,0.080893,3.046875,[39 26] ; [17 23],[34.66666667 30.33333333] ; [21.33333333 18.66666667],0
d4,1,0.093774,2.808355,[57  8] ; [30 10],[53.85714286 11.14285714] ; [33.14285714  6.85714286],0
s6,1,0.10412,2.64127,[34 31] ; [14 25],[30. 35.] ; [18. 21.],0
