Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,3.3e-05,17.237054,[21 35] ; [176  86],[34.6918239 21.3081761] ; [162.3081761  99.6918239],1
p7,1,4e-05,16.871566,[27 28] ; [199  61],[39.46031746 15.53968254] ; [186.53968254  73.46031746],1
p10,1,0.000554,11.925807,[42 13] ; [245  21],[49.17445483  5.82554517] ; [237.82554517  28.17445483],1
r3,1,0.004955,7.895608,[50  6] ; [261   7],[53.75308642  2.24691358] ; [257.24691358  10.75308642],0
p9,1,0.007428,7.166398,[46 10] ; [248  18],[51.13043478  4.86956522] ; [242.86956522  23.13043478],0
b1,1,0.017903,5.605582,[32 24] ; [107 161],[24.02469136 31.97530864] ; [114.97530864 153.02469136],0
p3,1,0.027599,4.852953,[26 30] ; [167 101],[33.35802469 22.64197531] ; [159.64197531 108.35802469],0
p2,1,0.064948,3.406298,[43 13] ; [231  36],[47.50464396  8.49535604] ; [226.49535604  40.50464396],0
r1,1,0.102633,2.664147,[51  4] ; [225  42],[47.14285714  7.85714286] ; [228.85714286  38.14285714],0
d4,1,0.128566,2.309735,[44 12] ; [231  36],[47.67801858  8.32198142] ; [227.32198142  39.67801858],0
u1,1,0.140626,2.171097,[17 39] ; [ 57 211],[12.79012346 43.20987654] ; [ 61.20987654 206.79012346],0
p1,1,0.15643,2.008405,[ 8 48] ; [ 22 245],[ 5.20123839 50.79876161] ; [ 24.79876161 242.20123839],0
p12,1,0.164791,1.929702,[ 4 52] ; [ 37 228],[ 7.15264798 48.84735202] ; [ 33.84735202 231.15264798],0
v2,1,0.176092,1.830301,[30 26] ; [162  94],[34.46153846 21.53846154] ; [157.53846154  98.46153846],0
b2,1,0.179644,1.800564,[12 23] ; [ 88 101],[15.625 19.375] ; [ 84.375 104.625],0
b3,1,0.179644,1.800564,[12 23] ; [ 88 101],[15.625 19.375] ; [ 84.375 104.625],0
a7,1,0.223765,1.48006,[42 14] ; [178  89],[38.14241486 17.85758514] ; [181.85758514  85.14241486],0
p4,1,0.230869,1.435497,[36 20] ; [193  74],[39.70278638 16.29721362] ; [189.29721362  77.70278638],0
s3,1,0.230995,1.434726,[39 17] ; [203  60],[42.48275862 13.51724138] ; [199.51724138  63.48275862],0
v3,1,0.241232,1.373378,[24 31] ; [134 122],[27.94212219 27.05787781] ; [130.05787781 125.94212219],0
v1,1,0.270207,1.215696,[33 23] ; [172  86],[36.56050955 19.43949045] ; [168.43949045  89.56050955],0
d2,1,0.273857,1.197326,[36 20] ; [151 117],[32.32098765 23.67901235] ; [154.67901235 113.32098765],0
b5,1,0.372196,0.79632,[36 20] ; [155 113],[33.01234568 22.98765432] ; [157.98765432 110.01234568],0
r2,1,0.407289,0.6867,[54  1] ; [254  11],[52.9375  2.0625] ; [255.0625   9.9375],0
s5,1,0.414406,0.666125,[26 25] ; [115 142],[23.3474026 27.6525974] ; [117.6525974 139.3474026],0
b4,1,0.421578,0.645911,[34 22] ; [147 121],[31.28395062 24.71604938] ; [149.71604938 118.28395062],0
a5,1,0.433188,0.614262,[43 13] ; [218  50],[45.11111111 10.88888889] ; [215.88888889  52.11111111],0
a8,1,0.447878,0.576018,[10 38] ; [ 40 205],[ 8.19112628 39.80887372] ; [ 41.80887372 203.19112628],0
p6,1,0.450701,0.568887,[25 31] ; [133 132],[27.56386293 28.43613707] ; [130.43613707 134.56386293],0
a2,1,0.457687,0.551544,[18 38] ; [ 73 195],[15.72839506 40.27160494] ; [ 75.27160494 192.72839506],0
s1,1,0.471915,0.517488,[ 3 52] ; [  9 254],[ 2.0754717 52.9245283] ; [  9.9245283 253.0754717],0
n2,1,0.472178,0.516874,[18  4] ; [34 12],[16.82352941  5.17647059] ; [35.17647059 10.82352941],0
s7,1,0.504598,0.445252,[42  8] ; [207  52],[40.29126214  9.70873786] ; [208.70873786  50.29126214],0
d1,1,0.523984,0.406045,[36 20] ; [184  84],[38.02469136 17.97530864] ; [181.97530864  86.02469136],0
n3,1,0.535661,0.383642,[13  8] ; [32 14],[14.10447761  6.89552239] ; [30.89552239 15.10447761],0
a1,1,0.536385,0.38228,[ 2 54] ; [ 15 253],[ 2.9382716 53.0617284] ; [ 14.0617284 253.9382716],0
u3,1,0.585759,0.297016,[8 3] ; [34 19],[7.21875 3.78125] ; [34.78125 18.21875],0
s6,1,0.598977,0.276542,[47  7] ; [224  42],[45.73125  8.26875] ; [225.26875  40.73125],0
n1,1,0.601508,0.272727,[12 10] ; [21 23],[11. 11.] ; [22. 22.],0
s4,1,0.631798,0.229631,[ 9 47] ; [ 50 216],[10.26086957 45.73913043] ; [ 48.73913043 217.26086957],0
n4,1,0.716961,0.131423,[49  6] ; [243  25],[49.72136223  5.27863777] ; [242.27863777  25.72136223],0
a6,1,0.731903,0.117372,[36 20] ; [178  89],[37.10216718 18.89783282] ; [176.89783282  90.10216718],0
s2,1,0.770692,0.084955,[42 14] ; [193  71],[41.125 14.875] ; [193.875  70.125],0
a4,1,0.838959,0.0413,[28 28] ; [130 138],[27.30864198 28.69135802] ; [130.69135802 137.30864198],0
u2,1,0.840223,0.040646,[7 4] ; [32 21],[6.703125 4.296875] ; [32.296875 20.703125],0
u4,1,0.873613,0.025303,[ 3 53] ; [ 13 255],[ 2.7654321 53.2345679] ; [ 13.2345679 254.7654321],0
p5,1,0.938274,0.005997,[10 46] ; [ 46 218],[ 9.8 46.2] ; [ 46.2 217.8],0
v4,1,0.950122,0.003913,[54  2] ; [257  10],[53.91950464  2.08049536] ; [257.08049536   9.91950464],0
d3,1,0.950302,0.003885,[38 18] ; [183  85],[38.19753086 17.80246914] ; [182.80246914  85.19753086],0
a3,1,0.977096,0.000824,[45 11] ; [215  52],[45.07739938 10.92260062] ; [214.92260062  52.07739938],0
n6,1,0.988729,0.0002,[52  4] ; [249  19],[52.02469136  3.97530864] ; [248.97530864  19.02469136],0
r4,1,0.988729,0.0002,[52  4] ; [249  19],[52.02469136  3.97530864] ; [248.97530864  19.02469136],0
d5,1,0.991689,0.000109,[48  8] ; [229  38],[48.0247678  7.9752322] ; [228.9752322  38.0247678],0
