Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.009236,6.776596,[ 1 39] ; [2 5],[ 2.55319149 37.44680851] ; [0.44680851 6.55319149],0
a2,1,0.024286,5.074082,[ 4 36] ; [3 4],[ 5.95744681 34.04255319] ; [1.04255319 5.95744681],0
s6,1,0.086253,2.94295,[10 30] ; [4 3],[11.91489362 28.08510638] ; [2.08510638 4.91489362],0
d4,1,0.101074,2.688512,[21 19] ; [6 1],[22.9787234 17.0212766] ; [4.0212766 2.9787234],0
v4,1,0.101074,2.688512,[21 19] ; [6 1],[22.9787234 17.0212766] ; [4.0212766 2.9787234],0
d5,1,0.126609,2.333593,[22 18] ; [6 1],[23.82978723 16.17021277] ; [4.17021277 2.82978723],0
a3,1,0.130728,2.283835,[21 17] ; [6 1],[22.8 15.2] ; [4.2 2.8],0
p12,1,0.154112,2.031071,[ 1 39] ; [1 6],[ 1.70212766 38.29787234] ; [0.29787234 6.70212766],0
b1,1,0.156586,2.00689,[23 17] ; [6 1],[24.68085106 15.31914894] ; [4.31914894 2.68085106],0
a7,1,0.157052,2.002383,[17 23] ; [5 2],[18.72340426 21.27659574] ; [3.27659574 3.72340426],0
v3,1,0.187619,1.736219,[ 8 32] ; [3 4],[ 9.36170213 30.63829787] ; [1.63829787 5.36170213],0
n6,1,0.242663,1.365056,[19 21] ; [5 2],[20.42553191 19.57446809] ; [3.57446809 3.42553191],0
d1,1,0.266225,1.236097,[14 26] ; [4 3],[15.31914894 24.68085106] ; [2.68085106 4.31914894],0
s7,1,0.29183,1.111159,[ 9 29] ; [3 4],[10.13333333 27.86666667] ; [1.86666667 5.13333333],0
a4,1,0.313699,1.015038,[14 24] ; [4 3],[15.2 22.8] ; [2.8 4.2],0
p4,1,0.378098,0.776877,[ 6 34] ; [2 5],[ 6.80851064 33.19148936] ; [1.19148936 5.80851064],0
p3,1,0.378098,0.776877,[ 6 34] ; [2 5],[ 6.80851064 33.19148936] ; [1.19148936 5.80851064],0
r4,1,0.378098,0.776877,[ 6 34] ; [2 5],[ 6.80851064 33.19148936] ; [1.19148936 5.80851064],0
a5,1,0.472214,0.516791,[23 17] ; [3 4],[22.12765957 17.87234043] ; [3.87234043 3.12765957],0
b4,1,0.488464,0.479907,[23 17] ; [5 2],[23.82978723 16.17021277] ; [4.17021277 2.82978723],0
s8,1,0.49222,0.471669,[ 7 33] ; [2 5],[ 7.65957447 32.34042553] ; [1.34042553 5.65957447],0
n1,1,0.495947,0.463599,[11 13] ; [2 1],[11.55555556 12.44444444] ; [1.44444444 1.55555556],0
n4,1,0.500812,0.453214,[28 12] ; [4 3],[27.23404255 12.76595745] ; [4.76595745 2.23404255],0
p2,1,0.500812,0.453214,[12 28] ; [3 4],[12.76595745 27.23404255] ; [2.23404255 4.76595745],0
d2,1,0.507422,0.439379,[17 22] ; [4 3],[17.80434783 21.19565217] ; [3.19565217 3.80434783],0
a6,1,0.552529,0.352805,[22 18] ; [3 4],[21.27659574 18.72340426] ; [3.72340426 3.27659574],0
p5,1,0.552811,0.352305,[ 3 37] ; [1 6],[ 3.40425532 36.59574468] ; [0.59574468 6.40425532],0
p6,1,0.568642,0.324961,[ 3 36] ; [1 6],[ 3.39130435 35.60869565] ; [0.60869565 6.39130435],0
p1,1,0.60922,0.261313,[ 8 32] ; [2 5],[ 8.5106383 31.4893617] ; [1.4893617 5.5106383],0
s2,1,0.60922,0.261313,[ 8 32] ; [2 5],[ 8.5106383 31.4893617] ; [1.4893617 5.5106383],0
p11,1,0.60922,0.261313,[ 8 32] ; [2 5],[ 8.5106383 31.4893617] ; [1.4893617 5.5106383],0
p10,1,0.650153,0.205707,[15 25] ; [2 5],[14.46808511 25.53191489] ; [2.53191489 4.46808511],0
s4,1,0.722988,0.125647,[ 8 32] ; [1 6],[ 7.65957447 32.34042553] ; [1.34042553 5.65957447],0
n3,1,0.737989,0.111902,[10 13] ; [1 2],[ 9.73076923 13.26923077] ; [1.26923077 1.73076923],0
s5,1,0.75367,0.098473,[ 9 30] ; [2 5],[ 9.32608696 29.67391304] ; [1.67391304 5.32608696],0
b2,1,0.7903,0.070714,[13 15] ; [2 3],[12.72727273 15.27272727] ; [2.27272727 2.72727273],0
b3,1,0.7903,0.070714,[13 15] ; [2 3],[12.72727273 15.27272727] ; [2.27272727 2.72727273],0
d3,1,0.82034,0.051578,[19 21] ; [3 4],[18.72340426 21.27659574] ; [3.27659574 3.72340426],0
a1,1,0.83464,0.043578,[ 7 33] ; [1 6],[ 6.80851064 33.19148936] ; [1.19148936 5.80851064],0
n5,1,0.841547,0.039966,[30 10] ; [5 2],[29.78723404 10.21276596] ; [5.21276596 1.78723404],0
s1,1,0.896085,0.017059,[ 5 35] ; [1 6],[ 5.10638298 34.89361702] ; [0.89361702 6.10638298],0
s3,1,0.950885,0.003794,[11 26] ; [2 5],[10.93181818 26.06818182] ; [2.06818182 4.93181818],0
v1,1,0.95338,0.003418,[11 29] ; [2 5],[11.06382979 28.93617021] ; [1.93617021 5.06382979],0
p8,1,0.960944,0.002398,[ 6 34] ; [1 6],[ 5.95744681 34.04255319] ; [1.04255319 5.95744681],0
p9,1,0.970476,0.00137,[16 22] ; [3 4],[16.04444444 21.95555556] ; [2.95555556 4.04444444],0
r2,1,0.983911,0.000407,[27 11] ; [5 2],[27.02222222 10.97777778] ; [4.97777778 2.02222222],0
r1,1,0.985933,0.000311,[17 23] ; [3 4],[17.0212766 22.9787234] ; [2.9787234 4.0212766],0
