Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,4.5e-05,16.644637,[16 20] ; [58 12],[25.13207547 10.86792453] ; [48.86792453 21.13207547],1
d3,1,7.1e-05,15.795493,[15 21] ; [56 14],[24.11320755 11.88679245] ; [46.88679245 23.11320755],1
a2,1,0.001064,10.712243,[ 3 33] ; [27 43],[10.18867925 25.81132075] ; [19.81132075 50.18867925],0
d1,1,0.011704,6.355226,[15 21] ; [47 23],[21.05660377 14.94339623] ; [40.94339623 29.05660377],0
u1,1,0.011999,6.311089,[ 2 34] ; [18 52],[ 6.79245283 29.20754717] ; [13.20754717 56.79245283],0
b5,1,0.013405,6.11489,[13 23] ; [43 27],[19.01886792 16.98113208] ; [36.98113208 33.01886792],0
p2,1,0.037545,4.325516,[15 21] ; [44 26],[20.03773585 15.96226415] ; [38.96226415 31.03773585],0
d4,1,0.046558,3.961273,[25 11] ; [60 10],[28.86792453  7.13207547] ; [56.13207547 13.86792453],0
p4,1,0.048018,3.909339,[11 25] ; [35 34],[15.77142857 20.22857143] ; [30.22857143 38.77142857],0
s2,1,0.063767,3.436593,[16 19] ; [19 50],[11.77884615 23.22115385] ; [23.22115385 45.77884615],0
n4,1,0.082693,3.011156,[22 14] ; [54 16],[25.81132075 10.18867925] ; [50.18867925 19.81132075],0
s4,1,0.099531,2.713043,[ 7 28] ; [ 6 63],[ 4.375 30.625] ; [ 8.625 60.375],0
a3,1,0.113936,2.498765,[23 13] ; [54 15],[26.4  9.6] ; [50.6 18.4],0
n5,1,0.122993,2.378786,[17 19] ; [44 26],[20.71698113 15.28301887] ; [40.28301887 29.71698113],0
s5,1,0.13917,2.187113,[10 25] ; [11 57],[ 7.13592233 27.86407767] ; [13.86407767 54.13592233],0
s1,1,0.145701,2.116693,[ 5 30] ; [ 4 65],[ 3.02884615 31.97115385] ; [ 5.97115385 63.02884615],0
v2,1,0.154324,2.028986,[12 24] ; [33 36],[15.42857143 20.57142857] ; [29.57142857 39.42857143],0
p1,1,0.176811,1.824224,[ 1 35] ; [ 7 62],[ 2.74285714 33.25714286] ; [ 5.25714286 63.74285714],0
r2,1,0.193421,1.691366,[34  1] ; [63  7],[32.33333333  2.66666667] ; [64.66666667  5.33333333],0
d2,1,0.204894,1.607143,[18 17] ; [45 25],[21. 14.] ; [42. 28.],0
a8,1,0.22472,1.473972,[ 1 33] ; [ 6 56],[ 2.47916667 31.52083333] ; [ 4.52083333 57.47916667],0
d5,1,0.247195,1.339086,[27  9] ; [59 11],[29.20754717  6.79245283] ; [56.79245283 13.20754717],0
p8,1,0.24773,1.336058,[10 26] ; [27 42],[12.68571429 23.31428571] ; [24.31428571 44.68571429],0
s3,1,0.266271,1.235857,[19 17] ; [29 41],[16.30188679 19.69811321] ; [31.69811321 38.30188679],0
r1,1,0.276143,1.185975,[26 10] ; [57 13],[28.18867925  7.81132075] ; [54.81132075 15.18867925],0
n1,1,0.307431,1.041678,[4 9] ; [12 13],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
p10,1,0.40165,0.703382,[ 7 28] ; [19 50],[ 8.75 26.25] ; [17.25 51.75],0
s8,1,0.417337,0.657803,[ 9 26] ; [13 56],[ 7.40384615 27.59615385] ; [14.59615385 54.40384615],0
b4,1,0.476188,0.507581,[19 17] ; [42 28],[20.71698113 15.28301887] ; [40.28301887 29.71698113],0
b1,1,0.502934,0.448739,[23 13] ; [40 30],[21.39622642 14.60377358] ; [41.60377358 28.39622642],0
n3,1,0.503083,0.448427,[6 6] ; [16 10],[6.94736842 5.05263158] ; [15.05263158 10.94736842],0
u2,1,0.508332,0.4375,[6 6] ; [ 6 10],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
u3,1,0.588439,0.292788,[6 7] ; [9 7],[6.72413793 6.27586207] ; [8.27586207 7.72413793],0
p3,1,0.588649,0.292459,[13 23] ; [21 47],[11.76923077 24.23076923] ; [22.23076923 45.76923077],0
r3,1,0.628103,0.234642,[29  7] ; [59 11],[29.88679245  6.11320755] ; [58.11320755 11.88679245],0
a4,1,0.662055,0.191037,[20 14] ; [38 32],[18.96153846 15.03846154] ; [39.03846154 30.96153846],0
v1,1,0.694561,0.154192,[14 22] ; [30 40],[14.94339623 21.05660377] ; [29.05660377 40.94339623],0
v4,1,0.700963,0.147472,[29  6] ; [60 10],[29.66666667  5.33333333] ; [59.33333333 10.66666667],0
r4,1,0.805595,0.060571,[27  9] ; [54 16],[27.50943396  8.49056604] ; [53.49056604 16.50943396],0
s6,1,0.840793,0.040352,[15 20] ; [31 38],[15.48076923 19.51923077] ; [30.51923077 38.48076923],0
b2,1,0.853514,0.034091,[ 7 15] ; [15 29],[ 7.33333333 14.66666667] ; [14.66666667 29.33333333],0
b3,1,0.853514,0.034091,[ 7 15] ; [15 29],[ 7.33333333 14.66666667] ; [14.66666667 29.33333333],0
n6,1,0.90372,0.014632,[22 14] ; [43 26],[22.28571429 13.71428571] ; [42.71428571 26.28571429],0
v3,1,0.908301,0.013267,[10 23] ; [22 48],[10.25242718 22.74757282] ; [21.74757282 48.25242718],0
n2,1,0.933546,0.006953,[9 5] ; [17 10],[8.87804878 5.12195122] ; [17.12195122  9.87804878],0
p6,1,0.954339,0.003279,[ 5 30] ; [10 58],[ 5.09708738 29.90291262] ; [ 9.90291262 58.09708738],0
s7,1,0.962255,0.00224,[10 23] ; [20 45],[10.10204082 22.89795918] ; [19.89795918 45.10204082],0
a1,1,0.966779,0.001735,[ 3 33] ; [ 6 64],[ 3.05660377 32.94339623] ; [ 5.94339623 64.05660377],0
p5,1,0.971873,0.001243,[ 1 35] ; [ 2 67],[ 1.02857143 34.97142857] ; [ 1.97142857 67.02857143],0
p7,1,0.981203,0.000555,[15 21] ; [29 41],[14.94339623 21.05660377] ; [29.05660377 40.94339623],0
p11,1,1.0,0.0,[18 18] ; [35 35],[18. 18.] ; [35. 35.],0
