Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,146.677168,[ 9 43] ; [352  46],[41.71555556 10.28444444] ; [319.28444444  78.71555556],1
v4,1,0.0,69.080881,[29 23] ; [371  25],[46.42857143  5.57142857] ; [353.57142857  42.42857143],1
r1,1,0.0,44.692741,[18 34] ; [310  86],[38.07142857 13.92857143] ; [289.92857143 106.07142857],1
r3,1,1e-06,23.810157,[35 16] ; [364  34],[45.32071269  5.67928731] ; [353.67928731  44.32071269],1
a6,1,1.1e-05,19.291041,[21 31] ; [281 116],[34.97550111 17.02449889] ; [267.02449889 129.97550111],1
d5,1,1.8e-05,18.35875,[26 26] ; [308  89],[38.68151448 13.31848552] ; [295.31848552 101.68151448],1
a7,1,5.4e-05,16.287691,[24 28] ; [292 106],[36.51555556 15.48444444] ; [279.48444444 118.51555556],1
b1,1,6.8e-05,15.861335,[33 19] ; [139 259],[19.87555556 32.12444444] ; [152.12444444 245.87555556],1
d1,1,0.000322,12.938777,[13 39] ; [205 193],[25.19111111 26.80888889] ; [192.80888889 205.19111111],1
p10,1,0.000602,11.769621,[25 25] ; [290 105],[35.39325843 14.60674157] ; [279.60674157 115.39325843],1
p11,1,0.001934,9.611243,[28 24] ; [296 102],[37.44 14.56] ; [286.56 111.44],0
p2,1,0.003402,8.578126,[29 23] ; [297  99],[37.83928571 14.16071429] ; [288.16071429 107.83928571],0
s3,1,0.010653,6.52225,[14 36] ; [185 208],[22.46049661 27.53950339] ; [176.53950339 216.46049661],0
v2,1,0.011149,6.44137,[15 35] ; [184 191],[23.41176471 26.58823529] ; [175.58823529 199.41176471],0
n4,1,0.011712,6.353942,[28 24] ; [282 115],[35.90200445 16.09799555] ; [274.09799555 122.90200445],0
d2,1,0.013403,6.115133,[13 39] ; [170 226],[21.24107143 30.75892857] ; [161.75892857 234.24107143],0
n6,1,0.014517,5.974194,[31 20] ; [304  93],[38.13616071 12.86383929] ; [296.86383929 100.13616071],0
u3,1,0.015067,5.908571,[ 7 18] ; [73 61],[12.57861635 12.42138365] ; [67.42138365 66.57861635],0
d3,1,0.015788,5.826296,[25 27] ; [259 138],[32.8908686 19.1091314] ; [251.1091314 145.8908686],0
u1,1,0.015908,5.813001,[ 1 51] ; [ 54 344],[ 6.35555556 45.64444444] ; [ 48.64444444 349.35555556],0
v1,1,0.016562,5.742188,[14 38] ; [171 214],[22.01372998 29.98627002] ; [162.98627002 222.01372998],0
s6,1,0.01743,5.652514,[18 34] ; [206 189],[26.05816555 25.94183445] ; [197.94183445 197.05816555],0
s1,1,0.019751,5.433759,[ 5 47] ; [ 12 383],[ 1.97762864 50.02237136] ; [ 15.02237136 379.97762864],0
p9,1,0.02006,5.406653,[29 20] ; [294  99],[35.80769231 13.19230769] ; [287.19230769 105.80769231],0
a5,1,0.020436,5.374253,[27 25] ; [271 127],[34.43555556 17.56444444] ; [263.56444444 134.43555556],0
v3,1,0.021377,5.295756,[10 42] ; [133 244],[17.33333333 34.66666667] ; [125.66666667 251.33333333],0
