Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.2e-05,19.143416,[13 33] ; [18  3],[21.28358209 24.71641791] ; [ 9.71641791 11.28358209],1
p4,1,0.00119,10.505342,[ 8 37] ; [12  9],[13.63636364 31.36363636] ; [ 6.36363636 14.63636364],0
p8,1,0.003203,8.688329,[ 8 38] ; [11 10],[13.04477612 32.95522388] ; [ 5.95522388 15.04477612],0
p9,1,0.003356,8.602812,[14 29] ; [15  6],[19.484375 23.515625] ; [ 9.515625 11.484375],0
s2,1,0.004693,7.99406,[ 7 39] ; [10 11],[11.67164179 34.32835821] ; [ 5.32835821 15.67164179],0
p7,1,0.004776,7.9625,[ 9 36] ; [11  9],[13.84615385 31.15384615] ; [ 6.15384615 13.84615385],0
s6,1,0.00647,7.414611,[ 9 37] ; [11 10],[13.73134328 32.26865672] ; [ 6.26865672 14.73134328],0
p10,1,0.006484,7.410526,[14 31] ; [14  7],[19.09090909 25.90909091] ; [ 8.90909091 12.09090909],0
n6,1,0.008002,7.032981,[19 27] ; [16  5],[24.02985075 21.97014925] ; [10.97014925 10.02985075],0
v4,1,0.024935,5.028403,[24 22] ; [17  4],[28.14925373 17.85074627] ; [12.85074627  8.14925373],0
s8,1,0.026113,4.948496,[ 5 41] ; [ 7 14],[ 8.23880597 37.76119403] ; [ 3.76119403 17.23880597],0
s5,1,0.029246,4.753086,[ 5 40] ; [ 7 14],[ 8.18181818 36.81818182] ; [ 3.81818182 17.18181818],0
b1,1,0.037659,4.320347,[30 16] ; [ 8 13],[26.08955224 19.91044776] ; [11.91044776  9.08955224],0
s7,1,0.044912,4.021939,[ 7 35] ; [ 8 12],[10.16129032 31.83870968] ; [ 4.83870968 15.16129032],0
r4,1,0.05139,3.795532,[ 6 40] ; [ 7 14],[ 8.92537313 37.07462687] ; [ 4.07462687 16.92537313],0
b5,1,0.05407,3.710539,[19 27] ; [14  7],[22.65671642 23.34328358] ; [10.34328358 10.65671642],0
s3,1,0.070656,3.267709,[10 34] ; [ 9 11],[13.0625 30.9375] ; [ 5.9375 14.0625],0
p6,1,0.07626,3.142857,[ 5 40] ; [ 6 15],[ 7.5 37.5] ; [ 3.5 17.5],0
a5,1,0.07821,3.101708,[20 26] ; [14  7],[23.34328358 22.65671642] ; [10.65671642 10.34328358],0
u2,1,0.094362,2.798336,[ 5 13] ; [6 4],[ 7.07142857 10.92857143] ; [3.92857143 6.07142857],0
b2,1,0.151547,2.056614,[14 16] ; [ 4 12],[11.73913043 18.26086957] ; [6.26086957 9.73913043],0
b3,1,0.151547,2.056614,[14 16] ; [ 4 12],[11.73913043 18.26086957] ; [6.26086957 9.73913043],0
a1,1,0.159639,1.977638,[ 8 38] ; [ 1 20],[ 6.17910448 39.82089552] ; [ 2.82089552 18.17910448],0
p3,1,0.161182,1.963104,[10 36] ; [ 8 13],[12.35820896 33.64179104] ; [ 5.64179104 15.35820896],0
v2,1,0.179042,1.805556,[ 7 38] ; [ 6 14],[ 9. 36.] ; [ 4. 16.],0
v1,1,0.23219,1.427394,[11 35] ; [ 8 13],[13.04477612 32.95522388] ; [ 5.95522388 15.04477612],0
b4,1,0.266709,1.233594,[24 22] ; [14  7],[26.08955224 19.91044776] ; [11.91044776  9.08955224],0
r2,1,0.283728,1.149146,[27 16] ; [16  5],[28.890625 14.109375] ; [14.109375  6.890625],0
d1,1,0.369087,0.806738,[16 30] ; [ 5 16],[14.41791045 31.58208955] ; [ 6.58208955 14.41791045],0
a3,1,0.386362,0.750361,[28 16] ; [11 10],[26.4 17.6] ; [12.6  8.4],0
s4,1,0.411993,0.673041,[ 9 37] ; [ 6 15],[10.29850746 35.70149254] ; [ 4.70149254 16.29850746],0
v3,1,0.415643,0.662602,[11 35] ; [ 3 17],[ 9.75757576 36.24242424] ; [ 4.24242424 15.75757576],0
a2,1,0.41668,0.659661,[ 5 41] ; [ 1 20],[ 4.11940299 41.88059701] ; [ 1.88059701 19.11940299],0
n3,1,0.47546,0.509259,[10 14] ; [5 4],[10.90909091 13.09090909] ; [4.09090909 4.90909091],0
d3,1,0.497786,0.459653,[20 26] ; [11 10],[21.28358209 24.71641791] ; [ 9.71641791 11.28358209],0
a6,1,0.497786,0.459653,[20 26] ; [11 10],[21.28358209 24.71641791] ; [ 9.71641791 11.28358209],0
u3,1,0.506984,0.440286,[ 5 13] ; [4 6],[ 5.78571429 12.21428571] ; [3.21428571 6.78571429],0
p12,1,0.563633,0.333453,[ 1 45] ; [ 1 20],[ 1.37313433 44.62686567] ; [ 0.62686567 20.37313433],0
d2,1,0.568973,0.324404,[16 29] ; [ 9 12],[17.04545455 27.95454545] ; [ 7.95454545 13.04545455],0
s1,1,0.569766,0.323075,[ 4 42] ; [ 1 20],[ 3.43283582 42.56716418] ; [ 1.56716418 19.43283582],0
r1,1,0.649011,0.20715,[18 28] ; [ 7 14],[17.1641791 28.8358209] ; [ 7.8358209 13.1641791],0
a4,1,0.656324,0.19802,[15 29] ; [ 6 15],[14.21538462 29.78461538] ; [ 6.78461538 14.21538462],0
a7,1,0.678566,0.171744,[20 26] ; [ 8 13],[19.2238806 26.7761194] ; [ 8.7761194 12.2238806],0
p1,1,0.680228,0.169869,[ 6 40] ; [ 2 19],[ 5.49253731 40.50746269] ; [ 2.50746269 18.49253731],0
n4,1,0.793062,0.068821,[30 16] ; [13  8],[29.52238806 16.47761194] ; [13.47761194  7.52238806],0
n5,1,0.812458,0.056291,[32 14] ; [14  7],[31.58208955 14.41791045] ; [14.41791045  6.58208955],0
n2,1,0.854603,0.03358,[13 12] ; [5 4],[13.23529412 11.76470588] ; [4.76470588 4.23529412],0
d5,1,0.880934,0.022436,[25 21] ; [11 10],[24.71641791 21.28358209] ; [11.28358209  9.71641791],0
d4,1,0.962035,0.002266,[26 20] ; [12  9],[26.08955224 19.91044776] ; [11.91044776  9.08955224],0
n1,1,0.981629,0.00053,[11 14] ; [4 5],[11.02941176 13.97058824] ; [3.97058824 5.02941176],0
