Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,9.6e-05,15.20936,[16  2] ; [13 26],[9.15789474 8.84210526] ; [19.84210526 19.15789474],1
v2,1,0.000878,11.069006,[12  6] ; [ 8 30],[ 6.42857143 11.57142857] ; [13.57142857 24.42857143],1
b4,1,0.001383,10.228342,[ 4 14] ; [27 13],[9.62068966 8.37931034] ; [21.37931034 18.62068966],0
s2,1,0.006955,7.284425,[ 8 10] ; [ 5 35],[ 4.03448276 13.96551724] ; [ 8.96551724 31.03448276],0
d4,1,0.007637,7.116674,[16  2] ; [21 19],[11.48275862  6.51724138] ; [25.51724138 14.48275862],0
d1,1,0.010407,6.563839,[9 9] ; [ 7 33],[ 4.96551724 13.03448276] ; [11.03448276 28.96551724],0
v3,1,0.013758,6.06897,[ 5 13] ; [ 2 38],[ 2.17241379 15.82758621] ; [ 4.82758621 35.17241379],0
p4,1,0.04068,4.189284,[11  7] ; [13 27],[ 7.44827586 10.55172414] ; [16.55172414 23.44827586],0
p10,1,0.048333,3.898359,[11  7] ; [13 26],[ 7.57894737 10.42105263] ; [16.42105263 22.57894737],0
s7,1,0.050718,3.817571,[ 5 12] ; [ 3 32],[ 2.61538462 14.38461538] ; [ 5.38461538 29.61538462],0
p11,1,0.079863,3.067695,[13  5] ; [19 21],[9.93103448 8.06896552] ; [22.06896552 17.93103448],0
b5,1,0.094374,2.798144,[ 7 11] ; [25 15],[9.93103448 8.06896552] ; [22.06896552 17.93103448],0
a5,1,0.135916,2.223603,[11  7] ; [16 24],[8.37931034 9.62068966] ; [18.62068966 21.37931034],0
s6,1,0.203361,1.618069,[ 8 10] ; [11 29],[ 5.89655172 12.10344828] ; [13.10344828 26.89655172],0
s5,1,0.21173,1.559556,[ 4 14] ; [ 4 36],[ 2.48275862 15.51724138] ; [ 5.51724138 34.48275862],0
p3,1,0.221974,1.491566,[ 7 10] ; [10 30],[ 5.07017544 11.92982456] ; [11.92982456 28.07017544],0
p5,1,0.226685,1.461538,[ 4 14] ; [ 4 35],[ 2.52631579 15.47368421] ; [ 5.47368421 33.52631579],0
n2,1,0.264589,1.244589,[6 3] ; [6 8],[4.69565217 4.30434783] ; [7.30434783 6.69565217],0
p7,1,0.270437,1.21453,[10  8] ; [16 24],[8.06896552 9.93103448] ; [17.93103448 22.06896552],0
a4,1,0.282349,1.155747,[ 7 11] ; [10 30],[ 5.27586207 12.72413793] ; [11.72413793 28.27586207],0
d2,1,0.282349,1.155747,[ 7 11] ; [10 30],[ 5.27586207 12.72413793] ; [11.72413793 28.27586207],0
a1,1,0.288913,1.124679,[ 3 15] ; [ 3 37],[ 1.86206897 16.13793103] ; [ 4.13793103 35.86206897],0
u3,1,0.288916,1.124665,[1 1] ; [ 5 22],[0.4137931 1.5862069] ; [ 5.5862069 21.4137931],0
p8,1,0.309514,1.032749,[ 7 11] ; [10 29],[ 5.36842105 12.63157895] ; [11.63157895 27.36842105],0
p2,1,0.313499,1.015879,[12  6] ; [21 19],[10.24137931  7.75862069] ; [22.75862069 17.24137931],0
p6,1,0.315722,1.006586,[ 4 13] ; [ 5 34],[ 2.73214286 14.26785714] ; [ 6.26785714 32.73214286],0
p9,1,0.336453,0.923902,[11  7] ; [18 20],[9.32142857 8.67857143] ; [19.67857143 18.32142857],0
r3,1,0.353098,0.862294,[12  5] ; [23 17],[10.43859649  6.56140351] ; [24.56140351 15.43859649],0
d3,1,0.356438,0.850405,[10  8] ; [17 23],[8.37931034 9.62068966] ; [18.62068966 21.37931034],0
b1,1,0.37024,0.80286,[13  5] ; [24 16],[11.48275862  6.51724138] ; [25.51724138 14.48275862],0
s1,1,0.395483,0.722016,[ 2 16] ; [ 2 38],[ 1.24137931 16.75862069] ; [ 2.75862069 37.24137931],0
