Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.407103,[29 20] ; [67  5],[38.87603306 10.12396694] ; [57.12396694 14.87603306],1
a3,1,1.4e-05,18.822381,[19 30] ; [56 16],[30.37190083 18.62809917] ; [44.62809917 27.37190083],1
r1,1,7.4e-05,15.710367,[27 22] ; [62  9],[36.34166667 12.65833333] ; [52.65833333 18.34166667],1
a4,1,0.000104,15.059655,[ 6 43] ; [33 39],[15.79338843 33.20661157] ; [23.20661157 48.79338843],1
s4,1,0.00012,14.791399,[18 31] ; [ 6 66],[ 9.71900826 39.28099174] ; [14.28099174 57.71900826],1
d2,1,0.00027,13.266036,[ 8 41] ; [35 37],[17.41322314 31.58677686] ; [25.58677686 46.41322314],1
n4,1,0.000938,10.945733,[17 32] ; [47 25],[25.91735537 23.08264463] ; [38.08264463 33.91735537],1
r3,1,0.001238,10.432099,[38 10] ; [70  2],[43.2  4.8] ; [64.8  7.2],0
p4,1,0.002116,9.445895,[16 33] ; [44 28],[24.29752066 24.70247934] ; [35.70247934 36.29752066],0
d1,1,0.003378,8.591364,[14 35] ; [40 32],[21.8677686 27.1322314] ; [32.1322314 39.8677686],0
p3,1,0.006412,7.430664,[13 36] ; [37 35],[20.24793388 28.75206612] ; [29.75206612 42.24793388],0
p11,1,0.022372,5.216582,[27 22] ; [54 18],[32.80165289 16.19834711] ; [48.19834711 23.80165289],0
r2,1,0.026174,4.944456,[38 10] ; [66  5],[41.94957983  6.05042017] ; [62.05042017  8.94957983],0
d5,1,0.037472,4.328828,[32 17] ; [59 13],[36.85123967 12.14876033] ; [54.14876033 17.85123967],0
v3,1,0.039981,4.218697,[ 7 40] ; [21 45],[11.6460177 35.3539823] ; [16.3539823 49.6460177],0
a8,1,0.042938,4.097828,[ 1 46] ; [ 8 54],[ 3.88073394 43.11926606] ; [ 5.11926606 56.88073394],0
d3,1,0.048107,3.90625,[27 21] ; [53 19],[32. 16.] ; [48. 24.],0
a6,1,0.048687,3.886118,[30 19] ; [56 16],[34.82644628 14.17355372] ; [51.17355372 20.82644628],0
a7,1,0.073276,3.208063,[30 19] ; [55 17],[34.4214876 14.5785124] ; [50.5785124 21.4214876],0
p6,1,0.079484,3.075421,[17 30] ; [15 55],[12.85470085 34.14529915] ; [19.14529915 50.85470085],0
d4,1,0.0941,2.802795,[33 15] ; [59 13],[36.8 11.2] ; [55.2 16.8],0
v2,1,0.113836,2.500149,[17 28] ; [36 32],[21.10619469 23.89380531] ; [31.89380531 36.10619469],0
u3,1,0.179712,1.8,[18 12] ; [12  3],[20. 10.] ; [10.  5.],0
s5,1,0.231141,1.433824,[14 35] ; [13 55],[11.30769231 37.69230769] ; [15.69230769 52.30769231],0
p10,1,0.231671,1.430573,[28 20] ; [49 22],[31.05882353 16.94117647] ; [45.94117647 25.05882353],0
s8,1,0.241886,1.369567,[14 35] ; [28 44],[17.00826446 31.99173554] ; [24.99173554 47.00826446],0
u2,1,0.265017,1.242358,[19 10] ; [13  3],[20.62222222  8.37777778] ; [11.37777778  4.62222222],0
n3,1,0.288589,1.126194,[12  6] ; [14  3],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
n5,1,0.299773,1.075204,[24 25] ; [28 43],[21.23333333 27.76666667] ; [30.76666667 40.23333333],0
b2,1,0.300813,1.070584,[ 4 20] ; [12 31],[ 5.73134328 18.26865672] ; [10.26865672 32.73134328],0
b3,1,0.300813,1.070584,[ 4 20] ; [12 31],[ 5.73134328 18.26865672] ; [10.26865672 32.73134328],0
v4,1,0.316035,1.005286,[42  5] ; [67  4],[43.41525424  3.58474576] ; [65.58474576  5.41525424],0
p9,1,0.344424,0.893897,[32 16] ; [53 18],[34.28571429 13.71428571] ; [50.71428571 20.28571429],0
u1,1,0.348749,0.878005,[ 3 46] ; [ 8 64],[ 4.45454545 44.54545455] ; [ 6.54545455 65.45454545],0
b5,1,0.438439,0.600364,[30 19] ; [49 23],[31.99173554 17.00826446] ; [47.00826446 24.99173554],0
s7,1,0.491807,0.47257,[18 28] ; [22 45],[16.28318584 29.71681416] ; [23.71681416 43.28318584],0
v1,1,0.555855,0.346931,[21 27] ; [34 35],[22.56410256 25.43589744] ; [32.43589744 36.56410256],0
b1,1,0.575033,0.314333,[24 25] ; [39 33],[25.51239669 23.48760331] ; [37.48760331 34.51239669],0
p1,1,0.585066,0.298115,[ 4 45] ; [ 4 67],[ 3.26666667 45.73333333] ; [ 4.73333333 66.26666667],0
s6,1,0.613403,0.255249,[27 22] ; [43 29],[28.34710744 20.65289256] ; [41.65289256 30.34710744],0
s3,1,0.692752,0.156122,[27 22] ; [36 34],[25.94117647 23.05882353] ; [37.05882353 32.94117647],0
p5,1,0.701373,0.147048,[ 2 47] ; [ 4 67],[ 2.45 46.55] ; [ 3.55 67.45],0
n2,1,0.773795,0.082607,[13  5] ; [13  4],[13.37142857  4.62857143] ; [12.62857143  4.37142857],0
p8,1,0.787445,0.0727,[20 27] ; [32 39],[20.71186441 26.28813559] ; [31.28813559 39.71186441],0
a1,1,0.798014,0.065494,[ 1 48] ; [ 2 70],[ 1.21487603 47.78512397] ; [ 1.78512397 70.21487603],0
n1,1,0.824479,0.04919,[ 5 13] ; [ 5 11],[ 5.29411765 12.70588235] ; [ 4.70588235 11.29411765],0
p7,1,0.888673,0.019595,[27 19] ; [42 28],[27.36206897 18.63793103] ; [41.63793103 28.36206897],0
b4,1,0.925707,0.008695,[29 20] ; [42 30],[28.75206612 20.24793388] ; [42.24793388 29.75206612],0
s2,1,0.941865,0.005318,[19 30] ; [28 43],[19.19166667 29.80833333] ; [27.80833333 43.19166667],0
