Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-05,19.555556,[17  1] ; [16 32],[9. 9.] ; [24. 24.],1
p8,1,2.4e-05,17.840363,[14  4] ; [10 37],[ 6.64615385 11.35384615] ; [17.35384615 29.64615385],1
p7,1,0.000109,14.972222,[16  2] ; [17 31],[9. 9.] ; [24. 24.],1
a4,1,0.003373,8.59375,[11  7] ; [11 37],[ 6. 12.] ; [16. 32.],0
p3,1,0.009153,6.792735,[12  6] ; [15 33],[ 7.36363636 10.63636364] ; [19.63636364 28.36363636],0
p2,1,0.010689,6.516237,[17  1] ; [30 18],[12.81818182  5.18181818] ; [34.18181818 13.81818182],0
s5,1,0.01476,5.94489,[9 8] ; [ 9 34],[ 5.1 11.9] ; [12.9 30.1],0
a2,1,0.017008,5.695582,[ 5 13] ; [ 3 45],[ 2.18181818 15.81818182] ; [ 5.81818182 42.18181818],0
u1,1,0.023061,5.163889,[ 4 14] ; [ 2 46],[ 1.63636364 16.36363636] ; [ 4.36363636 43.63636364],0
p5,1,0.027011,4.890121,[ 3 15] ; [ 1 47],[ 1.09090909 16.90909091] ; [ 2.90909091 45.09090909],0
d1,1,0.03406,4.491667,[12  6] ; [18 30],[8.18181818 9.81818182] ; [21.81818182 26.18181818],0
p10,1,0.041498,4.155556,[17  1] ; [34 14],[13.90909091  4.09090909] ; [37.09090909 10.90909091],0
p9,1,0.041498,4.155556,[17  1] ; [34 14],[13.90909091  4.09090909] ; [37.09090909 10.90909091],0
b2,1,0.044672,4.030984,[4 6] ; [ 2 19],[1.93548387 8.06451613] ; [ 4.06451613 16.93548387],0
b3,1,0.044672,4.030984,[4 6] ; [ 2 19],[1.93548387 8.06451613] ; [ 4.06451613 16.93548387],0
p1,1,0.116854,2.458995,[ 2 16] ; [ 1 47],[ 0.81818182 17.18181818] ; [ 2.18181818 45.81818182],0
d3,1,0.132543,2.262462,[14  3] ; [30 18],[11.50769231  5.49230769] ; [32.49230769 15.50769231],0
r4,1,0.138011,2.2,[17  1] ; [38 10],[15.  3.] ; [40.  8.],0
s8,1,0.208,1.585294,[ 6 12] ; [ 9 39],[ 4.09090909 13.90909091] ; [10.90909091 37.09090909],0
d5,1,0.221713,1.493247,[14  3] ; [32 16],[12.03076923  4.96923077] ; [33.96923077 14.03076923],0
p11,1,0.240955,1.375,[14  4] ; [30 18],[12.  6.] ; [32. 16.],0
u3,1,0.265953,1.2375,[3 5] ; [15 10],[4.36363636 3.63636364] ; [13.63636364 11.36363636],0
v1,1,0.266905,1.232585,[9 8] ; [18 30],[7.06153846 9.93846154] ; [19.93846154 28.06153846],0
b1,1,0.267057,1.231803,[ 7 11] ; [12 36],[ 5.18181818 12.81818182] ; [13.81818182 34.18181818],0
a5,1,0.30023,1.073171,[13  5] ; [28 20],[11.18181818  6.81818182] ; [29.81818182 18.18181818],0
d4,1,0.30103,1.069628,[15  3] ; [34 14],[13.36363636  4.63636364] ; [35.63636364 12.36363636],0
r1,1,0.305385,1.050529,[14  4] ; [31 17],[12.27272727  5.72727273] ; [32.72727273 15.27272727],0
d2,1,0.316395,1.003792,[ 8 10] ; [15 33],[ 6.27272727 11.72727273] ; [16.72727273 31.27272727],0
b4,1,0.374572,0.788442,[13  5] ; [29 19],[11.45454545  6.54545455] ; [30.54545455 17.45454545],0
n5,1,0.381701,0.765217,[14  4] ; [32 16],[12.54545455  5.45454545] ; [33.45454545 14.54545455],0
n6,1,0.39791,0.714632,[13  4] ; [41  7],[14.12307692  2.87692308] ; [39.87692308  8.12307692],0
r2,1,0.401387,0.704169,[17  1] ; [41  6],[16.06153846  1.93846154] ; [41.93846154  5.06153846],0
u2,1,0.442695,0.589286,[2 6] ; [10 15],[2.90909091 5.09090909] ; [ 9.09090909 15.90909091],0
