Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,34.534552,[  4 271] ; [12 52],[ 12.97935103 262.02064897] ; [ 3.02064897 60.97935103],1
s2,1,3e-06,21.848019,[ 68 206] ; [35 29],[ 83.49704142 190.50295858] ; [19.50295858 44.49704142],1
s6,1,3e-06,21.572123,[123 151] ; [50 15],[139.82890855 134.17109145] ; [33.17109145 31.82890855],1
s3,1,0.00366,8.445078,[ 95 177] ; [34 28],[105.05389222 166.94610778] ; [23.94610778 38.05389222],0
p12,1,0.008729,6.877445,[ 11 264] ; [ 8 57],[ 15.36764706 259.63235294] ; [ 3.63235294 61.36764706],0
d4,1,0.017119,5.68409,[220  56] ; [60  5],[226.62756598  49.37243402] ; [53.37243402 11.62756598],0
v1,1,0.023541,5.128119,[117 151] ; [38 26],[125.12048193 142.87951807] ; [29.87951807 34.12048193],0
p10,1,0.033436,4.523292,[199  74] ; [54  9],[205.5625  67.4375] ; [47.4375 15.5625],0
a5,1,0.050935,3.810411,[182  94] ; [51 14],[188.58651026  87.41348974] ; [44.41348974 20.58651026],0
u1,1,0.054498,3.69738,[ 34 242] ; [14 51],[ 38.85043988 237.14956012] ; [ 9.14956012 55.85043988],0
n6,1,0.083098,3.003239,[209  65] ; [56  9],[214.18879056  59.81120944] ; [50.81120944 14.18879056],0
s4,1,0.110781,2.543051,[ 32 240] ; [12 50],[ 35.83233533 236.16766467] ; [ 8.16766467 53.83233533],0
p9,1,0.112114,2.52417,[209  64] ; [54  9],[213.6875  59.3125] ; [49.3125 13.6875],0
r2,1,0.126261,2.337889,[249  24] ; [62  2],[251.93768546  21.06231454] ; [59.06231454  4.93768546],0
p8,1,0.14712,2.101866,[123 148] ; [36 29],[128.24107143 142.75892857] ; [30.75892857 34.24107143],0
a6,1,0.179416,1.802453,[213  63] ; [45 20],[208.82111437  67.17888563] ; [49.17888563 15.82111437],0
d1,1,0.184323,1.76242,[149 127] ; [41 24],[153.7829912 122.2170088] ; [36.2170088 28.7829912],0
p4,1,0.20876,1.580006,[135 140] ; [37 27],[139.5280236 135.4719764] ; [32.4719764 31.5280236],0
p1,1,0.211672,1.559955,[ 18 257] ; [ 7 56],[ 20.34023669 254.65976331] ; [ 4.65976331 58.34023669],0
s8,1,0.225067,1.471769,[ 46 230] ; [15 50],[ 49.37243402 226.62756598] ; [11.62756598 53.37243402],0
r4,1,0.236647,1.400455,[235  41] ; [59  6],[237.95894428  38.04105572] ; [56.04105572  8.95894428],0
a4,1,0.26013,1.268065,[106 169] ; [30 35],[110. 165.] ; [26. 39.],0
a1,1,0.273174,1.200741,[  9 267] ; [ 4 61],[ 10.52199413 265.47800587] ; [ 2.47800587 62.52199413],0
u2,1,0.277588,1.178861,[54 46] ; [10 14],[51.61290323 48.38709677] ; [12.38709677 11.61290323],0
p3,1,0.284182,1.14698,[107 168] ; [30 35],[110.80882353 164.19117647] ; [26.19117647 38.80882353],0
a8,1,0.313345,1.016523,[ 26 228] ; [ 9 52],[ 28.22222222 225.77777778] ; [ 6.77777778 54.22222222],0
b5,1,0.339275,0.913169,[187  89] ; [40 25],[183.73020528  92.26979472] ; [43.26979472 21.73020528],0
p6,1,0.352745,0.863559,[ 70 204] ; [20 44],[ 72.95857988 201.04142012] ; [17.04142012 46.95857988],0
r1,1,0.361503,0.832664,[208  66] ; [52 12],[210.76923077  63.23076923] ; [49.23076923 14.76923077],0
v3,1,0.36456,0.822122,[ 79 188] ; [22 40],[ 81.96656535 185.03343465] ; [19.03343465 42.96656535],0
n1,1,0.377413,0.779112,[23 49] ; [5 6],[24.28915663 47.71084337] ; [3.71084337 7.28915663],0
v4,1,0.379198,0.773301,[254  22] ; [60  3],[255.6460177  20.3539823] ; [58.3539823  4.6460177],0
p7,1,0.38233,0.763196,[147 124] ; [38 25],[150.10479042 120.89520958] ; [34.89520958 28.10479042],0
d2,1,0.39298,0.729702,[109 167] ; [29 35],[112.02352941 163.97647059] ; [25.97647059 38.02352941],0
b1,1,0.437669,0.602385,[ 99 177] ; [20 45],[ 96.31671554 179.68328446] ; [22.68328446 42.31671554],0
v2,1,0.467106,0.528814,[136 126] ; [29 33],[133.42592593 128.57407407] ; [31.57407407 30.42592593],0
n2,1,0.508332,0.4375,[47 25] ; [9 3],[48. 24.] ; [8. 4.],0
n4,1,0.522934,0.408102,[189  86] ; [42 23],[186.83823529  88.16176471] ; [44.16176471 20.83823529],0
