Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,29.473684,[36 78] ; [84 42],[57. 57.] ; [63. 63.],1
v3,1,1e-05,19.539126,[26 88] ; [64 63],[42.57261411 71.42738589] ; [47.42738589 79.57261411],1
s8,1,0.000632,11.680227,[42 77] ; [74 56],[55.437751 63.562249] ; [60.562249 69.437751],1
a3,1,0.000759,11.338355,[68 51] ; [101  30],[80.444 38.556] ; [88.556 42.444],1
s2,1,0.000869,11.087531,[44 73] ; [77 54],[57.08467742 59.91532258] ; [63.91532258 67.08467742],1
p10,1,0.003916,8.322332,[78 41] ; [103  23],[87.91428571 31.08571429] ; [93.08571429 32.91428571],0
r1,1,0.004013,8.277887,[76 43] ; [105  26],[86.156 32.844] ; [94.844 36.156],0
b3,1,0.005809,7.608696,[21 48] ; [48 44],[29.57142857 39.42857143] ; [39.42857143 52.57142857],0
b2,1,0.005809,7.608696,[21 48] ; [48 44],[29.57142857 39.42857143] ; [39.42857143 52.57142857],0
d4,1,0.008048,7.022718,[80 38] ; [107  23],[88.97580645 29.02419355] ; [98.02419355 31.97580645],0
s5,1,0.017124,5.683581,[33 79] ; [56 70],[41.88235294 70.11764706] ; [47.11764706 78.88235294],0
p9,1,0.01943,5.46243,[87 32] ; [109  19],[94.4291498 24.5708502] ; [101.5708502  26.4291498],0
n5,1,0.021504,5.285439,[79 39] ; [103  26],[86.94736842 31.05263158] ; [95.05263158 33.94736842],0
n4,1,0.043391,4.080094,[83 36] ; [105  25],[89.84738956 29.15261044] ; [98.15261044 31.84738956],0
s3,1,0.054668,3.692173,[60 57] ; [83 48],[67.46370968 49.53629032] ; [75.53629032 55.46370968],0
v4,1,0.060739,3.517097,[105  13] ; [123   6],[108.92307692   9.07692308] ; [119.07692308   9.92307692],0
n1,1,0.0683,3.32342,[15 26] ; [17 12],[18.74285714 22.25714286] ; [13.25714286 15.74285714],0
p7,1,0.077635,3.113733,[68 50] ; [87 40],[74.65306122 43.34693878] ; [80.34693878 46.65306122],0
s6,1,0.081603,3.03268,[67 48] ; [87 39],[73.48547718 41.51452282] ; [80.51452282 45.48547718],0
p2,1,0.089827,2.877471,[83 35] ; [102  26],[88.7398374 29.2601626] ; [96.2601626 31.7398374],0
s7,1,0.098555,2.72877,[52 61] ; [72 55],[58.38333333 54.61666667] ; [65.61666667 61.38333333],0
d5,1,0.117189,2.454498,[81 38] ; [100  30],[86.50200803 32.49799197] ; [94.49799197 35.50200803],0
p11,1,0.139266,2.186052,[89 30] ; [108  23],[93.772 25.228] ; [103.228  27.772],0
a1,1,0.142298,2.152931,[  4 115] ; [ 10 121],[  6.664 112.336] ; [  7.336 123.664],0
a4,1,0.197567,1.660265,[48 71] ; [63 67],[53.04819277 65.95180723] ; [57.95180723 72.04819277],0
a6,1,0.203812,1.614843,[53 66] ; [48 83],[48.076 70.924] ; [52.924 78.076],0
b5,1,0.238971,1.386653,[52 67] ; [67 64],[56.644 62.356] ; [62.356 68.644],0
u3,1,0.239267,1.384906,[22 29] ; [17 13],[24.55555556 26.44444444] ; [14.44444444 15.55555556],0
p5,1,0.239777,1.381903,[ 11 108] ; [ 18 110],[ 13.97165992 105.02834008] ; [ 15.02834008 112.97165992],0
d2,1,0.264278,1.246208,[52 66] ; [67 64],[56.3935743 61.6064257] ; [62.6064257 68.3935743],0
r2,1,0.294697,1.098037,[105  14] ; [118  10],[107.43724696  11.56275304] ; [115.56275304  12.43724696],0
p4,1,0.327416,0.959091,[58 59] ; [72 57],[61.82926829 55.17073171] ; [68.17073171 60.82926829],0
d1,1,0.355488,0.853769,[53 66] ; [66 65],[56.644 62.356] ; [62.356 68.644],0
s4,1,0.376459,0.782233,[25 93] ; [ 22 109],[22.27309237 95.72690763] ; [ 24.72690763 106.27309237],0
p3,1,0.423843,0.639636,[53 66] ; [64 65],[56.14112903 62.85887097] ; [60.85887097 68.14112903],0
p8,1,0.431951,0.617572,[54 64] ; [64 62],[57.06557377 60.93442623] ; [60.93442623 65.06557377],0
a5,1,0.502782,0.449059,[77 42] ; [90 41],[79.492 39.508] ; [87.508 43.492],0
n2,1,0.505135,0.444132,[32 10] ; [24  5],[33.12676056  8.87323944] ; [22.87323944  6.12676056],0
a2,1,0.510534,0.432972,[  9 110] ; [ 13 118],[ 10.472 108.528] ; [ 11.528 119.472],0
a8,1,0.619444,0.24665,[ 12 100] ; [ 16 109],[13.23206751 98.76793249] ; [ 14.76793249 110.23206751],0
r4,1,0.628836,0.233643,[102  17] ; [115  16],[103.292  15.708] ; [113.708  17.292],0
s1,1,0.645501,0.21162,[  6 112] ; [  5 124],[  5.25506073 112.74493927] ; [  5.74493927 123.25506073],0
u1,1,0.646532,0.2103,[  8 111] ; [  7 124],[  7.14 111.86] ; [  7.86 123.14],0
p1,1,0.660306,0.193152,[ 10 109] ; [  9 121],[  9.08032129 109.91967871] ; [  9.91967871 120.08032129],0
u4,1,0.73105,0.11815,[  2 117] ; [  3 128],[  2.38 116.62] ; [  2.62 128.38],0
p6,1,0.732821,0.116537,[40 77] ; [45 79],[41.26556017 75.73443983] ; [43.73443983 80.26556017],0
n3,1,0.749406,0.102031,[29 11] ; [20  9],[28.4057971 11.5942029] ; [20.5942029  8.4057971],0
b1,1,0.776491,0.080596,[56 63] ; [64 67],[57.12 61.88] ; [62.88 68.12],0
b4,1,0.831266,0.045402,[67 52] ; [72 59],[66.164 52.836] ; [72.836 58.164],0
n6,1,0.857476,0.032252,[95 24] ; [101  27],[94.4291498 24.5708502] ; [101.5708502  26.4291498],0
u2,1,0.862448,0.030019,[26 24] ; [15 15],[25.625 24.375] ; [15.375 14.625],0
p12,1,0.870015,0.026778,[  6 112] ; [  7 119],[  6.28688525 111.71311475] ; [  6.71311475 119.28688525],0
d3,1,0.926823,0.008435,[52 67] ; [58 73],[52.36 66.64] ; [57.64 73.36],0
