Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.034294,4.48,[11 66] ; [11 24],[15.125 61.875] ; [ 6.875 28.125],0
p9,1,0.036311,4.382458,[32 43] ; [23 13],[37.16216216 37.83783784] ; [17.83783784 18.16216216],0
b1,1,0.038564,4.279992,[38 40] ; [25 11],[43.10526316 34.89473684] ; [19.89473684 16.10526316],0
n3,1,0.040265,4.206677,[15 22] ; [12  5],[18.5 18.5] ; [8.5 8.5],0
a3,1,0.045097,4.014995,[38 39] ; [25 11],[42.92920354 34.07079646] ; [20.07079646 15.92920354],0
n2,1,0.050862,3.8128,[16 22] ; [12  5],[19.34545455 18.65454545] ; [8.65454545 8.34545455],0
p2,1,0.070397,3.273735,[35 41] ; [22 12],[39.38181818 36.61818182] ; [17.61818182 16.38181818],0
n1,1,0.083005,3.005049,[ 9 29] ; [8 9],[11.74545455 26.25454545] ; [ 5.25454545 11.74545455],0
b4,1,0.114503,2.490938,[47 31] ; [16 20],[43.10526316 34.89473684] ; [19.89473684 16.10526316],0
v2,1,0.131008,2.280525,[22 53] ; [15 19],[25.4587156 49.5412844] ; [11.5412844 22.4587156],0
u1,1,0.133121,2.255726,[ 3 75] ; [ 4 32],[ 4.78947368 73.21052632] ; [ 2.21052632 33.78947368],0
u3,1,0.144328,2.131202,[ 9 30] ; [5 6],[10.92 28.08] ; [3.08 7.92],0
p3,1,0.150161,2.070615,[16 62] ; [11 22],[18.97297297 59.02702703] ; [ 8.02702703 24.97297297],0
s6,1,0.150666,2.065498,[20 58] ; [14 22],[23.26315789 54.73684211] ; [10.73684211 25.26315789],0
d4,1,0.157838,1.994823,[45 32] ; [26 10],[48.38053097 28.61946903] ; [22.61946903 13.38053097],0
p12,1,0.175371,1.836422,[ 1 77] ; [ 2 33],[ 2.07079646 75.92920354] ; [ 0.92920354 34.07079646],0
v4,1,0.178263,1.812045,[41 35] ; [23 11],[44.21818182 31.78181818] ; [19.78181818 14.21818182],0
