Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001502,10.076555,[28 29] ; [24 75],[19. 38.] ; [33. 66.],0
r3,1,0.00447,8.082105,[51  6] ; [71 31],[43.73584906 13.26415094] ; [78.26415094 23.73584906],0
r4,1,0.004694,7.993737,[47 11] ; [61 42],[38.9068323 19.0931677] ; [69.0931677 33.9068323],0
s6,1,0.006698,7.352179,[37 18] ; [46 57],[28.89240506 26.10759494] ; [54.10759494 48.89240506],0
n2,1,0.01036,6.572005,[19  4] ; [25 24],[14.05555556  8.94444444] ; [29.94444444 19.05555556],0
p2,1,0.013336,6.123977,[43 15] ; [56 47],[35.66459627 22.33540373] ; [63.33540373 39.66459627],0
r2,1,0.019213,5.482063,[54  4] ; [79 21],[48.82278481  9.17721519] ; [84.17721519 15.82278481],0
p9,1,0.034342,4.47758,[38 17] ; [51 48],[31.78571429 23.21428571] ; [57.21428571 41.78571429],0
p10,1,0.049798,3.848259,[33 22] ; [44 57],[27.1474359 27.8525641] ; [49.8525641 51.1474359],0
u3,1,0.064298,3.422909,[13  8] ; [14 24],[ 9.61016949 11.38983051] ; [17.38983051 20.61016949],0
s8,1,0.068094,3.328372,[21 36] ; [24 79],[16.03125 40.96875] ; [28.96875 74.03125],0
r1,1,0.078883,3.087763,[41 15] ; [61 42],[35.9245283 20.0754717] ; [66.0754717 36.9245283],0
n3,1,0.07991,3.066734,[17  6] ; [25 23],[13.6056338  9.3943662] ; [28.3943662 19.6056338],0
v4,1,0.102533,2.665696,[51  7] ; [79 23],[47.125 10.875] ; [82.875 19.125],0
s2,1,0.105292,2.623503,[29 29] ; [38 65],[24.13664596 33.86335404] ; [42.86335404 60.13664596],0
s5,1,0.117251,2.453669,[18 35] ; [22 77],[13.94736842 39.05263158] ; [26.05263158 72.94736842],0
p8,1,0.139101,2.187873,[19 38] ; [23 79],[15.05660377 41.94339623] ; [26.94339623 75.05660377],0
p7,1,0.14889,2.083585,[30 27] ; [42 61],[25.65 31.35] ; [46.35 56.65],0
s7,1,0.164199,1.935124,[25 29] ; [33 62],[21.02013423 32.97986577] ; [36.97986577 58.02013423],0
b1,1,0.179852,1.798845,[28 30] ; [61 42],[32.0621118 25.9378882] ; [56.9378882 46.0621118],0
p3,1,0.188994,1.725446,[23 34] ; [31 72],[19.2375 37.7625] ; [34.7625 68.2375],0
n5,1,0.191562,1.705564,[38 18] ; [59 44],[34.16352201 21.83647799] ; [62.83647799 40.16352201],0
p5,1,0.214913,1.53802,[ 5 53] ; [ 4 98],[ 3.2625 54.7375] ; [ 5.7375 96.2625],0
p12,1,0.25705,1.284575,[ 2 55] ; [  1 102],[ 1.06875 55.93125] ; [  1.93125 101.06875],0
b5,1,0.260492,1.266142,[39 19] ; [60 43],[35.66459627 22.33540373] ; [63.33540373 39.66459627],0
u4,1,0.264435,1.245391,[ 2 56] ; [  1 102],[ 1.08074534 56.91925466] ; [  1.91925466 101.08074534],0
a8,1,0.275014,1.191568,[ 7 43] ; [ 8 89],[ 5.10204082 44.89795918] ; [ 9.89795918 87.10204082],0
a1,1,0.27573,1.188018,[ 2 56] ; [ 8 95],[ 3.60248447 54.39751553] ; [ 6.39751553 96.60248447],0
p4,1,0.323347,0.975362,[26 32] ; [38 65],[23.05590062 34.94409938] ; [40.94409938 62.05590062],0
s3,1,0.327124,0.96025,[32 25] ; [49 53],[29.03773585 27.96226415] ; [51.96226415 50.03773585],0
d4,1,0.337113,0.921379,[45 13] ; [72 30],[42.4125 15.5875] ; [74.5875 27.4125],0
b3,1,0.36961,0.804976,[ 9 22] ; [22 35],[10.92045455 20.07954545] ; [20.07954545 36.92045455],0
b2,1,0.36961,0.804976,[ 9 22] ; [22 35],[10.92045455 20.07954545] ; [20.07954545 36.92045455],0
b4,1,0.490432,0.475578,[26 32] ; [52 51],[28.09937888 29.90062112] ; [49.90062112 53.09937888],0
s4,1,0.514427,0.425052,[15 43] ; [22 81],[13.32919255 44.67080745] ; [23.67080745 79.32919255],0
d2,1,0.529034,0.396247,[26 32] ; [51 51],[27.9125 30.0875] ; [49.0875 52.9125],0
n1,1,0.534138,0.386513,[ 9 14] ; [23 26],[10.22222222 12.77777778] ; [21.77777778 27.22222222],0
u1,1,0.548685,0.359679,[ 6 52] ; [14 89],[ 7.20496894 50.79503106] ; [12.79503106 90.20496894],0
a4,1,0.587555,0.294179,[26 31] ; [42 60],[24.37735849 32.62264151] ; [43.62264151 58.37735849],0
a7,1,0.599612,0.275581,[41 17] ; [68 34],[39.5125 18.4875] ; [69.4875 32.5125],0
a6,1,0.61883,0.247516,[35 23] ; [58 45],[33.50310559 24.49689441] ; [59.49689441 43.50310559],0
a5,1,0.635621,0.224515,[36 22] ; [60 43],[34.58385093 23.41614907] ; [61.41614907 41.58385093],0
a2,1,0.651169,0.204429,[13 45] ; [20 83],[11.88819876 46.11180124] ; [21.11180124 81.88819876],0
p6,1,0.674948,0.175868,[16 40] ; [26 76],[14.88607595 41.11392405] ; [27.11392405 74.88607595],0
d1,1,0.698403,0.150139,[28 30] ; [53 50],[29.18012422 28.81987578] ; [51.81987578 51.18012422],0
a3,1,0.785435,0.074116,[37 20] ; [64 38],[36.20754717 20.79245283] ; [64.79245283 37.20754717],0
d3,1,0.811752,0.056724,[35 23] ; [59 42],[34.28930818 23.71069182] ; [59.71069182 41.28930818],0
n4,1,0.840777,0.04036,[33 23] ; [59 44],[32.40251572 23.59748428] ; [59.59748428 43.40251572],0
u2,1,0.917213,0.010804,[ 8 13] ; [15 23],[ 8.18644068 12.81355932] ; [14.81355932 23.18644068],0
d5,1,0.932979,0.007072,[43 15] ; [75 27],[42.775 15.225] ; [75.225 26.775],0
s1,1,0.93441,0.006773,[ 4 52] ; [ 7 96],[ 3.87421384 52.12578616] ; [ 7.12578616 95.87421384],0
n6,1,0.979154,0.000683,[36 20] ; [66 37],[35.9245283 20.0754717] ; [66.0754717 36.9245283],0
p1,1,0.979791,0.000642,[ 5 53] ; [ 9 94],[ 5.04347826 52.95652174] ; [ 8.95652174 94.04347826],0
