Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,24.904241,[ 1 11] ; [23  2],[7.78378378 4.21621622] ; [16.21621622  8.78378378],1
a5,1,0.00172,9.826853,[ 3 10] ; [19  6],[7.52631579 5.47368421] ; [14.47368421 10.52631579],0
p2,1,0.00172,9.826853,[ 3 10] ; [19  6],[7.52631579 5.47368421] ; [14.47368421 10.52631579],0
r3,1,0.007634,7.117429,[7 6] ; [22  2],[10.18918919  2.81081081] ; [18.81081081  5.18918919],0
p7,1,0.016139,5.787692,[ 2 11] ; [14 11],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
v2,1,0.03057,4.676923,[ 3 10] ; [15 10],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
p11,1,0.033218,4.534517,[6 7] ; [20  5],[8.89473684 4.10526316] ; [17.10526316  7.89473684],0
p3,1,0.048001,3.909963,[ 2 11] ; [12 13],[4.78947368 8.21052632] ; [ 9.21052632 15.78947368],0
p4,1,0.086677,2.935035,[ 3 10] ; [13 12],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
d5,1,0.091696,2.844341,[7 6] ; [20  5],[9.23684211 3.76315789] ; [17.76315789  7.23684211],0
s5,1,0.114905,2.485428,[ 1 12] ; [ 7 16],[ 2.88888889 10.11111111] ; [ 5.11111111 17.88888889],0
s8,1,0.121458,2.398422,[ 2 11] ; [10 15],[4.10526316 8.89473684] ; [ 7.89473684 17.10526316],0
n5,1,0.122325,2.387291,[8 5] ; [21  4],[9.92105263 3.07894737] ; [19.07894737  5.92105263],0
n4,1,0.122325,2.387291,[8 5] ; [21  4],[9.92105263 3.07894737] ; [19.07894737  5.92105263],0
s3,1,0.139464,2.183863,[4 9] ; [14 11],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
v1,1,0.155808,2.014444,[ 2 10] ; [10 15],[3.89189189 8.10810811] ; [ 8.10810811 16.89189189],0
a3,1,0.191189,1.708433,[6 7] ; [17  8],[7.86842105 5.13157895] ; [15.13157895  9.86842105],0
n2,1,0.196706,1.666667,[1 3] ; [4 2],[2. 2.] ; [3. 3.],0
a8,1,0.199408,1.646703,[ 1 12] ; [ 6 18],[ 2.45945946 10.54054054] ; [ 4.54054054 19.45945946],0
a7,1,0.211767,1.559302,[4 9] ; [13 12],[5.81578947 7.18421053] ; [11.18421053 13.81578947],0
p8,1,0.269818,1.21767,[ 2 11] ; [ 8 17],[3.42105263 9.57894737] ; [ 6.57894737 18.42105263],0
b1,1,0.304976,1.052308,[5 8] ; [14 11],[6.5 6.5] ; [12.5 12.5],0
r1,1,0.307431,1.041678,[4 9] ; [12 13],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
r4,1,0.307431,1.041678,[4 9] ; [12 13],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
u2,1,0.310437,1.028815,[1 6] ; [3 5],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
a4,1,0.325538,0.966568,[ 2 10] ; [ 8 17],[3.24324324 8.75675676] ; [ 6.75675676 18.24324324],0
s7,1,0.326379,0.963211,[3 9] ; [10 14],[4.33333333 7.66666667] ; [ 8.66666667 15.33333333],0
d1,1,0.428591,0.62664,[4 9] ; [11 14],[5.13157895 7.86842105] ; [ 9.86842105 15.13157895],0
p1,1,0.481615,0.495204,[ 2 11] ; [ 2 23],[ 1.36842105 11.63157895] ; [ 2.63157895 22.36842105],0
s6,1,0.549495,0.358222,[6 7] ; [13 10],[6.86111111 6.13888889] ; [12.13888889 10.86111111],0
d2,1,0.556067,0.346559,[5 7] ; [13 12],[5.83783784 6.16216216] ; [12.16216216 12.83783784],0
s1,1,0.628687,0.233846,[ 1 12] ; [ 1 24],[ 0.68421053 12.31578947] ; [ 1.31578947 23.68421053],0
r2,1,0.635256,0.225,[6 6] ; [14 10],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
u1,1,0.681442,0.168507,[ 1 12] ; [ 3 22],[ 1.36842105 11.63157895] ; [ 2.63157895 22.36842105],0
s2,1,0.690397,0.158656,[5 8] ; [ 8 17],[4.44736842 8.55263158] ; [ 8.55263158 16.44736842],0
u3,1,0.714393,0.133929,[2 5] ; [3 5],[2.33333333 4.66666667] ; [2.66666667 5.33333333],0
b5,1,0.742867,0.107622,[8 5] ; [14 11],[7.52631579 5.47368421] ; [14.47368421 10.52631579],0
b4,1,0.858273,0.031888,[9 4] ; [18  7],[9.23684211 3.76315789] ; [17.76315789  7.23684211],0
d4,1,0.858273,0.031888,[9 4] ; [18  7],[9.23684211 3.76315789] ; [17.76315789  7.23684211],0
d3,1,0.913892,0.011692,[7 6] ; [13 12],[6.84210526 6.15789474] ; [13.15789474 11.84210526],0
a6,1,0.913892,0.011692,[6 7] ; [12 13],[6.15789474 6.84210526] ; [11.84210526 13.15789474],0
p12,1,0.94563,0.004651,[ 1 12] ; [ 2 22],[ 1.05405405 11.94594595] ; [ 1.94594595 22.05405405],0
v3,1,0.949371,0.004032,[ 3 10] ; [ 6 19],[3.07894737 9.92105263] ; [ 5.92105263 19.07894737],0
s4,1,0.960637,0.002436,[ 2 11] ; [ 4 21],[ 2.05263158 10.94736842] ; [ 3.94736842 21.05263158],0
