Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.6e-05,17.702484,[56  4] ; [42 26],[45.9375 14.0625] ; [52.0625 15.9375],1
v4,1,0.000192,13.903362,[55  6] ; [42 26],[45.86821705 15.13178295] ; [51.13178295 16.86821705],1
p9,1,0.003457,8.549074,[27 34] ; [13 52],[19.36507937 41.63492063] ; [20.63492063 44.36507937],0
p4,1,0.003706,8.422734,[26 35] ; [13 55],[18.44186047 42.55813953] ; [20.55813953 47.44186047],0
b5,1,0.012458,6.244439,[42 19] ; [32 36],[34.99224806 26.00775194] ; [39.00775194 28.99224806],0
r4,1,0.014542,5.97107,[45 16] ; [36 32],[38.30232558 22.69767442] ; [42.69767442 25.30232558],0
a7,1,0.0215,5.28583,[42 18] ; [34 34],[35.625 24.375] ; [40.375 27.625],0
a1,1,0.025691,4.976689,[ 2 59] ; [10 58],[ 5.6744186 55.3255814] ; [ 6.3255814 61.6744186],0
p3,1,0.028541,4.795117,[19 42] ; [10 57],[13.8203125 47.1796875] ; [15.1796875 51.8203125],0
a6,1,0.029789,4.721446,[42 19] ; [34 34],[35.9379845 25.0620155] ; [40.0620155 27.9379845],0
s8,1,0.036733,4.362756,[18 42] ; [10 58],[13.125 46.875] ; [14.875 53.125],0
p6,1,0.041474,4.156523,[12 48] ; [ 5 61],[ 8.0952381 51.9047619] ; [ 8.9047619 57.0952381],0
d5,1,0.04211,4.13077,[50 11] ; [45 23],[44.92248062 16.07751938] ; [50.07751938 17.92248062],0
p8,1,0.045698,3.992677,[13 48] ; [ 6 62],[ 8.98449612 52.01550388] ; [10.01550388 57.98449612],0
p11,1,0.050748,3.816578,[31 30] ; [23 45],[25.53488372 35.46511628] ; [28.46511628 39.53488372],0
a8,1,0.056443,3.638942,[ 9 43] ; [ 4 61],[ 5.77777778 46.22222222] ; [ 7.22222222 57.77777778],0
v2,1,0.058884,3.568531,[28 32] ; [20 46],[22.85714286 37.14285714] ; [25.14285714 40.85714286],0
s1,1,0.076105,3.146188,[ 2 58] ; [ 8 60],[ 4.6875 55.3125] ; [ 5.3125 62.6875],0
v1,1,0.078161,3.102732,[26 34] ; [19 48],[21.25984252 38.74015748] ; [23.74015748 43.25984252],0
s2,1,0.079743,3.070132,[21 37] ; [15 53],[16.57142857 41.42857143] ; [19.42857143 48.57142857],0
s3,1,0.08877,2.896533,[25 35] ; [18 48],[20.47619048 39.52380952] ; [22.52380952 43.47619048],0
r1,1,0.113349,2.506902,[44 17] ; [40 28],[39.72093023 21.27906977] ; [44.27906977 23.72093023],0
s7,1,0.133466,2.251723,[21 36] ; [15 47],[17.24369748 39.75630252] ; [18.75630252 43.24369748],0
n3,1,0.171997,1.865455,[16  8] ; [16 17],[13.47368421 10.52631579] ; [18.52631579 14.47368421],0
n1,1,0.200466,1.638974,[ 7 16] ; [17 19],[ 9.3559322 13.6440678] ; [14.6440678 21.3559322],0
d3,1,0.20637,1.596708,[39 22] ; [36 32],[35.46511628 25.53488372] ; [39.53488372 28.46511628],0
