Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4.5e-05,16.663562,[300  11] ; [49 10],[293.34864865  17.65135135] ; [55.65135135  3.34864865],1
r4,1,7.1e-05,15.794607,[282  31] ; [42 17],[272.61290323  40.38709677] ; [51.38709677  7.61290323],1
p8,1,0.0005,12.115272,[167 141] ; [17 41],[154.84153005 153.15846995] ; [29.15846995 28.84153005],1
p10,1,0.000766,11.320674,[283  27] ; [45 14],[275.55555556  34.44444444] ; [52.44444444  6.55555556],1
n6,1,0.000989,10.847797,[263  49] ; [39 20],[253.97304582  58.02695418] ; [48.02695418 10.97304582],1
p4,1,0.002186,9.386804,[170 141] ; [19 39],[159.29268293 151.70731707] ; [29.70731707 28.29268293],0
p3,1,0.008013,7.030592,[139 173] ; [15 43],[129.85945946 182.14054054] ; [24.14054054 33.85945946],0
r1,1,0.00881,6.861014,[235  75] ; [35 24],[226.82926829  83.17073171] ; [43.17073171 15.82926829],0
p2,1,0.009301,6.764085,[266  43] ; [42 16],[259.32425068  49.67574932] ; [48.67574932  9.32425068],0
a6,1,0.012666,6.215232,[226  87] ; [33 26],[217.92204301  95.07795699] ; [41.07795699 17.92204301],0
n4,1,0.014766,5.944119,[225  88] ; [33 26],[217.08064516  95.91935484] ; [40.91935484 18.08064516],0
v2,1,0.029824,4.719421,[162 132] ; [22 34],[154.56 139.44] ; [29.44 26.56],0
p6,1,0.035634,4.414537,[ 95 213] ; [10 48],[ 88.36065574 219.63934426] ; [16.63934426 41.36065574],0
s8,1,0.067854,3.334183,[ 70 243] ; [ 7 52],[ 64.78763441 248.21236559] ; [12.21236559 46.78763441],0
v4,1,0.06851,3.318364,[293  17] ; [52  7],[289.83739837  20.16260163] ; [55.16260163  3.83739837],0
v1,1,0.082507,3.014814,[162 139] ; [24 34],[155.94986072 145.05013928] ; [30.05013928 27.94986072],0
u2,1,0.098845,2.724077,[65 54] ; [10 17],[61.13013699 57.86986301] ; [13.86986301 13.13013699],0
n5,1,0.115695,2.474657,[221  89] ; [36 23],[215.90785908  94.09214092] ; [41.09214092 17.90785908],0
