Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,34.269238,[40 34] ; [94  8],[56.34090909 17.65909091] ; [77.65909091 24.34090909],1
r4,1,0.0,26.731949,[30 44] ; [81 22],[46.40677966 27.59322034] ; [64.59322034 38.40677966],1
p10,1,0.0,25.407695,[25 48] ; [74 28],[41.29714286 31.70285714] ; [57.70285714 44.29714286],1
n6,1,1e-06,25.041283,[32 41] ; [82 20],[47.55428571 25.44571429] ; [66.44571429 35.55428571],1
p2,1,5e-06,20.956143,[33 41] ; [79 22],[47.36 26.64] ; [64.64 36.36],1
p9,1,2.2e-05,17.973754,[30 40] ; [77 26],[43.29479769 26.70520231] ; [63.70520231 39.29479769],1
v4,1,0.000104,15.056379,[48 26] ; [90 11],[58.35428571 15.64571429] ; [79.64571429 21.35428571],1
p4,1,0.000253,13.391342,[15 59] ; [48 54],[26.48863636 47.51136364] ; [36.51136364 65.48863636],1
b1,1,0.001177,10.525336,[41 33] ; [32 71],[30.51977401 43.48022599] ; [42.48022599 60.51977401],0
a1,1,0.001468,10.117796,[ 9 65] ; [  1 102],[ 4.18079096 69.81920904] ; [ 5.81920904 97.18079096],0
r2,1,0.005782,7.617011,[52 19] ; [92 11],[58.75862069 12.24137931] ; [85.24137931 17.75862069],0
u3,1,0.005873,7.588936,[ 8 23] ; [26 19],[13.86842105 17.13157895] ; [20.13157895 24.86842105],0
u2,1,0.00788,7.060645,[ 9 22] ; [27 18],[14.68421053 16.31578947] ; [21.31578947 23.68421053],0
p8,1,0.010955,6.472535,[16 57] ; [41 61],[23.77714286 49.22285714] ; [33.22285714 68.77714286],0
p7,1,0.024768,5.040001,[23 51] ; [48 52],[30.1954023 43.8045977] ; [40.8045977 59.1954023],0
r1,1,0.032078,4.594319,[32 41] ; [62 41],[38.98863636 34.01136364] ; [55.01136364 47.98863636],0
d5,1,0.044144,4.051038,[41 32] ; [73 30],[47.28409091 25.71590909] ; [66.71590909 36.28409091],0
d4,1,0.044211,4.048494,[44 30] ; [76 27],[50.16949153 23.83050847] ; [69.83050847 33.16949153],0
s1,1,0.067697,3.337986,[ 7 67] ; [ 3 98],[ 4.22857143 69.77142857] ; [ 5.77142857 95.22857143],0
v1,1,0.0774,3.118662,[15 58] ; [33 68],[20.13793103 52.86206897] ; [27.86206897 73.13793103],0
a7,1,0.143847,2.136312,[41 32] ; [69 34],[45.625 27.375] ; [64.375 38.625],0
b4,1,0.163227,1.944074,[36 38] ; [61 42],[40.55367232 33.44632768] ; [56.44632768 46.55367232],0
s4,1,0.212161,1.556621,[10 64] ; [ 8 95],[ 7.52542373 66.47457627] ; [10.47457627 92.52542373],0
d2,1,0.216656,1.526386,[34 39] ; [38 64],[30.03428571 42.96571429] ; [41.96571429 60.03428571],0
n3,1,0.227878,1.454057,[15 15] ; [19 10],[17.28813559 12.71186441] ; [16.71186441 12.28813559],0
s8,1,0.255644,1.292193,[ 6 68] ; [14 89],[ 8.36158192 65.63841808] ; [11.63841808 91.36158192],0
a2,1,0.264892,1.243008,[13 61] ; [12 91],[10.4519774 63.5480226] ; [14.5480226 88.4519774],0
n2,1,0.264925,1.242835,[17 16] ; [19 10],[19.16129032 13.83870968] ; [16.83870968 12.16129032],0
p3,1,0.27433,1.194966,[19 55] ; [34 68],[22.28409091 51.71590909] ; [30.71590909 71.28409091],0
p1,1,0.278835,1.172761,[ 4 70] ; [10 91],[ 5.92 68.08] ; [ 8.08 92.92],0
p5,1,0.307814,1.040031,[ 1 72] ; [ 4 96],[ 2.10982659 70.89017341] ; [ 2.89017341 97.10982659],0
p6,1,0.319014,0.992983,[12 61] ; [23 79],[14.6 58.4] ; [20.4 81.6],0
