Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9e-06,19.776815,[5 4] ; [231  14],[8.36220472 0.63779528] ; [227.63779528  17.36220472],1
v4,1,1.5e-05,18.761725,[6 3] ; [235   8],[8.60714286 0.39285714] ; [232.39285714  10.60714286],1
s2,1,0.000755,11.348014,[2 7] ; [179  64],[6.46428571 2.53571429] ; [174.53571429  68.46428571],1
n2,1,0.001056,10.72746,[1 3] ; [50  7],[3.3442623 0.6557377] ; [47.6557377  9.3442623],0
s3,1,0.00195,9.596327,[2 7] ; [170  70],[6.21686747 2.78313253] ; [165.78313253  74.21686747],0
d1,1,0.004036,8.267632,[3 6] ; [186  59],[6.69685039 2.30314961] ; [182.30314961  62.69685039],0
r3,1,0.00428,8.160882,[7 2] ; [235   8],[8.64285714 0.35714286] ; [233.35714286   9.64285714],0
p5,1,0.00746,7.158826,[5 4] ; [ 46 196],[1.82868526 7.17131474] ; [ 49.17131474 192.82868526],0
r1,1,0.012491,6.239771,[5 4] ; [208  34],[7.6374502 1.3625498] ; [205.3625498  36.6374502],0
d3,1,0.024115,5.086377,[4 5] ; [189  56],[6.83858268 2.16141732] ; [186.16141732  58.83858268],0
n6,1,0.031998,4.598626,[6 3] ; [216  25],[7.992 1.008] ; [214.008  26.992],0
a4,1,0.040737,4.186941,[2 7] ; [139 106],[4.99606299 4.00393701] ; [136.00393701 108.99606299],0
a5,1,0.041302,4.163574,[5 4] ; [202  43],[7.33464567 1.66535433] ; [199.66535433  45.33464567],0
n3,1,0.042063,4.132653,[1 3] ; [41 15],[2.8 1.2] ; [39.2 16.8],0
a7,1,0.11585,2.47255,[4 5] ; [169  75],[6.1541502 2.8458498] ; [166.8458498  77.1541502],0
p4,1,0.202455,1.624576,[8 1] ; [167  75],[6.2749004 2.7250996] ; [168.7250996  73.2749004],0
a3,1,0.23012,1.440118,[6 3] ; [201  43],[7.36363636 1.63636364] ; [199.63636364  44.36363636],0
b5,1,0.2445,1.354461,[3 6] ; [130 115],[4.71259843 4.28740157] ; [128.28740157 116.71259843],0
n1,1,0.255278,1.294186,[1 3] ; [31 26],[2.09836066 1.90163934] ; [29.90163934 27.09836066],0
p1,1,0.307896,1.039678,[2 7] ; [ 27 215],[1.03984064 7.96015936] ; [ 27.96015936 214.03984064],0
s8,1,0.369677,0.804749,[4 5] ; [145  99],[5.30039526 3.69960474] ; [143.69960474 100.30039526],0
v1,1,0.377025,0.780379,[7 2] ; [154  89],[5.75 3.25] ; [155.25  87.75],0
p11,1,0.380761,0.768242,[8 1] ; [187  58],[6.90944882 2.09055118] ; [188.09055118  56.90944882],0
d2,1,0.389424,0.740741,[4 5] ; [143 100],[5.25 3.75] ; [141.75 101.25],0
n5,1,0.438467,0.600291,[6 3] ; [188  54],[6.9561753 2.0438247] ; [187.0438247  54.9561753],0
s6,1,0.4728,0.515426,[7 2] ; [207  33],[7.73493976 1.26506024] ; [206.26506024  33.73493976],0
s7,1,0.557379,0.344262,[6 2] ; [152  82],[5.2231405 2.7768595] ; [152.7768595  81.2231405],0
a6,1,0.607838,0.263336,[5 4] ; [156  88],[5.72727273 3.27272727] ; [155.27272727  88.72727273],0
p3,1,0.656627,0.197647,[6 3] ; [144  99],[5.35714286 3.64285714] ; [144.64285714  98.35714286],0
p7,1,0.693478,0.155347,[6 3] ; [170  64],[6.51851852 2.48148148] ; [169.48148148  64.51851852],0
b1,1,0.694105,0.154677,[4 5] ; [ 93 152],[3.43700787 5.56299213] ; [ 93.56299213 151.43700787],0
b4,1,0.713003,0.135296,[5 4] ; [151  94],[5.52755906 3.47244094] ; [150.47244094  94.52755906],0
b2,1,0.728895,0.120128,[3 3] ; [66 88],[2.5875 3.4125] ; [66.4125 87.5875],0
b3,1,0.728895,0.120128,[3 3] ; [66 88],[2.5875 3.4125] ; [66.4125 87.5875],0
v2,1,0.730899,0.118288,[5 4] ; [147  93],[5.4939759 3.5060241] ; [146.5060241  93.4939759],0
s4,1,0.807708,0.059236,[2 7] ; [ 62 178],[2.31325301 6.68674699] ; [ 61.68674699 178.31325301],0
a8,1,0.856791,0.032566,[1 8] ; [ 29 191],[1.1790393 7.8209607] ; [ 28.8209607 191.1790393],0
p6,1,0.876247,0.024251,[4 5] ; [113 127],[4.22891566 4.77108434] ; [112.77108434 127.22891566],0
p8,1,0.896377,0.016962,[5 4] ; [138 101],[5.18951613 3.81048387] ; [137.81048387 101.18951613],0
p10,1,0.904886,0.014278,[8 1] ; [211  30],[7.884 1.116] ; [211.116  29.884],0
n4,1,0.95288,0.003492,[7 2] ; [191  52],[7.07142857 1.92857143] ; [190.92857143  52.07142857],0
p9,1,0.982465,0.000483,[8 1] ; [213  26],[8.02016129 0.97983871] ; [212.97983871  26.02016129],0
v3,1,0.995602,3e-05,[4 5] ; [106 133],[3.99193548 5.00806452] ; [106.00806452 132.99193548],0
p12,1,0.996572,1.8e-05,[1 8] ; [ 27 215],[1.00398406 7.99601594] ; [ 26.99601594 215.00398406],0
