Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,42.775455,[108  30] ; [ 3 22],[93.97546012 44.02453988] ; [17.02453988  7.97546012],1
v4,1,0.0,25.702671,[119  17] ; [11 14],[109.8136646  26.1863354] ; [20.1863354  4.8136646],1
r3,1,1e-05,19.608159,[119  19] ; [12 13],[110.90797546  27.09202454] ; [20.09202454  4.90797546],1
r1,1,7.3e-05,15.720934,[96 42] ; [ 7 18],[87.20245399 50.79754601] ; [15.79754601  9.20245399],1
a5,1,0.002974,8.823555,[88 50] ; [ 8 17],[81.27607362 56.72392638] ; [14.72392638 10.27607362],0
d5,1,0.004341,8.135573,[96 42] ; [10 15],[89.74233129 48.25766871] ; [16.25766871  8.74233129],0
u3,1,0.005384,7.745864,[21 20] ; [ 1 12],[16.7037037 24.2962963] ; [5.2962963 7.7037037],0
s8,1,0.00712,7.242498,[48 89] ; [ 2 23],[42.28395062 94.71604938] ; [ 7.71604938 17.28395062],0
p11,1,0.010528,6.543297,[97 41] ; [11 14],[91.43558282 46.56441718] ; [16.56441718  8.43558282],0
a4,1,0.011981,6.313725,[64 72] ; [ 5 20],[58.28571429 77.71428571] ; [10.71428571 14.28571429],0
n2,1,0.014503,5.975921,[43 11] ; [6 7],[39.49253731 14.50746269] ; [9.50746269 3.49253731],0
a3,1,0.025434,4.994064,[97 40] ; [12 13],[92.17901235 44.82098765] ; [16.82098765  8.17901235],0
v1,1,0.025914,4.961734,[64 69] ; [ 6 19],[58.92405063 74.07594937] ; [11.07594937 13.92405063],0
p10,1,0.026322,4.934719,[84 52] ; [ 9 15],[79.05 56.95] ; [13.95 10.05],0
s6,1,0.030369,4.68826,[75 60] ; [ 8 17],[70.03125 64.96875] ; [12.96875 12.03125],0
p1,1,0.045065,4.016196,[  7 131] ; [ 4 21],[  9.31288344 128.68711656] ; [ 1.68711656 23.31288344],0
p9,1,0.046141,3.976452,[94 42] ; [11 12],[89.81132075 46.18867925] ; [15.18867925  7.81132075],0
d1,1,0.050407,3.827853,[56 82] ; [ 5 20],[51.64417178 86.35582822] ; [ 9.35582822 15.64417178],0
s5,1,0.052511,3.759417,[40 89] ; [ 3 22],[36.01948052 92.98051948] ; [ 6.98051948 18.01948052],0
p6,1,0.062236,3.476785,[ 27 109] ; [ 1 23],[ 23.8 112.2] ; [ 4.2 19.8],0
n3,1,0.063368,3.44697,[38 14] ; [6 7],[35.2 16.8] ; [8.8 4.2],0
s7,1,0.066148,3.376121,[57 74] ; [ 5 17],[53.08496732 77.91503268] ; [ 8.91503268 13.08496732],0
v2,1,0.067781,3.335952,[53 78] ; [ 5 19],[49.01935484 81.98064516] ; [ 8.98064516 15.01935484],0
s3,1,0.082333,3.018236,[72 65] ; [ 8 16],[68.07453416 68.92546584] ; [11.92546584 12.07453416],0
b1,1,0.091216,2.852788,[63 75] ; [16  9],[66.88343558 71.11656442] ; [12.11656442 12.88343558],0
a6,1,0.100874,2.691672,[63 75] ; [ 7 18],[59.26380368 78.73619632] ; [10.73619632 14.26380368],0
d2,1,0.111724,2.529668,[67 69] ; [ 8 17],[63.35403727 72.64596273] ; [11.64596273 13.35403727],0
v3,1,0.128445,2.311194,[40 89] ; [ 4 21],[36.85714286 92.14285714] ; [ 7.14285714 17.85714286],0
n1,1,0.179074,1.805292,[23 30] ; [ 3 10],[20.87878788 32.12121212] ; [5.12121212 7.87878788],0
p5,1,0.196004,1.671901,[  7 128] ; [ 3 22],[  8.4375 126.5625] ; [ 1.5625 23.4375],0
d4,1,0.218594,1.513577,[94 43] ; [14 11],[91.33333333 45.66666667] ; [16.66666667  8.33333333],0
p3,1,0.280255,1.165855,[42 95] ; [ 5 20],[39.74691358 97.25308642] ; [ 7.25308642 17.74691358],0
s2,1,0.31982,0.989684,[58 78] ; [ 8 17],[55.7515528 80.2484472] ; [10.2484472 14.7515528],0
b2,1,0.319825,0.989663,[40 51] ; [ 6 13],[38.05454545 52.94545455] ; [ 7.94545455 11.05454545],0
b3,1,0.319825,0.989663,[40 51] ; [ 6 13],[38.05454545 52.94545455] ; [ 7.94545455 11.05454545],0
n6,1,0.331847,0.941676,[99 38] ; [15  9],[97.00621118 39.99378882] ; [16.99378882  7.00621118],0
u2,1,0.452505,0.564369,[17 23] ; [4 9],[15.8490566 24.1509434] ; [5.1509434 7.8490566],0
n4,1,0.596826,0.27981,[95 42] ; [16  9],[93.87037037 43.12962963] ; [17.12962963  7.87037037],0
b5,1,0.651887,0.20353,[73 65] ; [12 13],[71.96319018 66.03680982] ; [13.03680982 11.96319018],0
s4,1,0.666606,0.185598,[ 21 116] ; [ 3 22],[ 20.2962963 116.7037037] ; [ 3.7037037 21.2962963],0
p2,1,0.687542,0.161759,[82 54] ; [14 11],[81.0931677 54.9068323] ; [14.9068323 10.0931677],0
s1,1,0.69393,0.154864,[  8 127] ; [ 2 23],[  8.4375 126.5625] ; [ 1.5625 23.4375],0
p12,1,0.711954,0.136333,[  8 129] ; [ 1 24],[  7.61111111 129.38888889] ; [ 1.38888889 23.61111111],0
b4,1,0.746485,0.104508,[78 60] ; [15 10],[78.73619632 59.26380368] ; [14.26380368 10.73619632],0
p4,1,0.75841,0.094599,[45 92] ; [ 9 16],[45.66666667 91.33333333] ; [ 8.33333333 16.66666667],0
n5,1,0.829227,0.046524,[95 41] ; [18  7],[95.45341615 40.54658385] ; [17.54658385  7.45341615],0
d3,1,0.927299,0.008325,[51 87] ; [ 9 16],[50.79754601 87.20245399] ; [ 9.20245399 15.79754601],0
a8,1,0.93461,0.006732,[ 12 118] ; [ 2 21],[ 11.89542484 118.10457516] ; [ 2.10457516 20.89542484],0
a1,1,0.996073,2.4e-05,[ 11 127] ; [ 2 23],[ 11.00613497 126.99386503] ; [ 1.99386503 23.00613497],0
p7,1,1.0,0.0,[54 81] ; [10 15],[54. 81.] ; [10. 15.],0
