Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,35.659518,[ 8 33] ; [63 20],[23.47580645 17.52419355] ; [47.52419355 35.47580645],1
d1,1,0.0,31.529647,[ 1 40] ; [45 38],[15.20967742 25.79032258] ; [30.79032258 52.20967742],1
d3,1,3e-06,21.704096,[ 7 34] ; [51 32],[19.17741935 21.82258065] ; [38.82258065 44.17741935],1
a4,1,0.005992,7.552779,[ 7 33] ; [35 47],[13.7704918 26.2295082] ; [28.2295082 53.7704918],0
a3,1,0.017509,5.644572,[15 24] ; [51 32],[21.09836066 17.90163934] ; [44.90163934 38.09836066],0
u2,1,0.018279,5.569257,[ 7 19] ; [18 13],[11.40350877 14.59649123] ; [13.59649123 17.40350877],0
d2,1,0.022468,5.209196,[10 31] ; [37 44],[15.79508197 25.20491803] ; [31.20491803 49.79508197],0
a5,1,0.035423,4.424667,[17 24] ; [51 32],[22.48387097 18.51612903] ; [45.51612903 37.48387097],0
n5,1,0.043144,4.089761,[30 10] ; [46 36],[24.91803279 15.08196721] ; [51.08196721 30.91803279],0
s5,1,0.066773,3.360625,[ 3 35] ; [17 62],[ 6.4957265 31.5042735] ; [13.5042735 65.4957265],0
p12,1,0.072892,3.21667,[ 4 37] ; [ 2 81],[ 1.98387097 39.01612903] ; [ 4.01612903 78.98387097],0
n1,1,0.073235,3.208979,[9 6] ; [10 21],[6.19565217 8.80434783] ; [12.80434783 18.19565217],0
b5,1,0.084158,2.982713,[19 22] ; [52 31],[23.47580645 17.52419355] ; [47.52419355 35.47580645],0
r1,1,0.111074,2.538875,[19 21] ; [52 31],[23.08943089 16.91056911] ; [47.91056911 35.08943089],0
a2,1,0.112794,2.514631,[ 2 39] ; [12 71],[ 4.62903226 36.37096774] ; [ 9.37096774 73.62903226],0
r3,1,0.114897,2.485537,[26 14] ; [65 18],[29.59349593 10.40650407] ; [61.40650407 21.59349593],0
s2,1,0.135814,2.224754,[ 6 33] ; [23 60],[ 9.2704918 29.7295082] ; [19.7295082 63.2704918],0
a7,1,0.143437,2.140697,[19 21] ; [51 32],[22.76422764 17.23577236] ; [47.23577236 35.76422764],0
u1,1,0.146029,2.113253,[ 1 40] ; [ 8 75],[ 2.97580645 38.02419355] ; [ 6.02419355 76.97580645],0
v2,1,0.198749,1.651542,[12 25] ; [36 44],[15.17948718 21.82051282] ; [32.82051282 47.17948718],0
s1,1,0.209388,1.575654,[ 5 34] ; [ 5 77],[ 3.2231405 35.7768595] ; [ 6.7768595 75.2231405],0
p3,1,0.309021,1.034856,[13 28] ; [19 63],[10.66666667 30.33333333] ; [21.33333333 60.66666667],0
p8,1,0.314535,1.011535,[12 28] ; [18 65],[ 9.75609756 30.24390244] ; [20.24390244 62.75609756],0
v4,1,0.314535,1.011535,[28 12] ; [65 18],[30.24390244  9.75609756] ; [62.75609756 20.24390244],0
s3,1,0.327807,0.957544,[ 9 30] ; [26 56],[11.28099174 27.71900826] ; [23.71900826 58.28099174],0
r4,1,0.328026,0.956675,[24 17] ; [56 27],[26.4516129 14.5483871] ; [53.5483871 29.4516129],0
p5,1,0.348686,0.878232,[ 3 37] ; [ 3 80],[ 1.95121951 38.04878049] ; [ 4.04878049 78.95121951],0
n6,1,0.369334,0.805905,[23 17] ; [54 28],[25.24590164 14.75409836] ; [51.75409836 30.24590164],0
b1,1,0.408874,0.682074,[20 21] ; [34 49],[17.85483871 23.14516129] ; [36.14516129 46.85483871],0
b4,1,0.40952,0.680194,[20 21] ; [47 36],[22.15322581 18.84677419] ; [44.84677419 38.15322581],0
a6,1,0.40952,0.680194,[20 21] ; [47 36],[22.15322581 18.84677419] ; [44.84677419 38.15322581],0
n4,1,0.446802,0.578753,[26 14] ; [48 35],[24.06504065 15.93495935] ; [49.93495935 33.06504065],0
v1,1,0.46123,0.542909,[14 27] ; [23 60],[12.23387097 28.76612903] ; [24.76612903 58.23387097],0
p10,1,0.499831,0.455295,[16 23] ; [39 43],[17.72727273 21.27272727] ; [37.27272727 44.72727273],0
v3,1,0.520026,0.413843,[11 28] ; [18 61],[ 9.58474576 29.41525424] ; [19.41525424 59.58474576],0
n3,1,0.552516,0.352828,[9 5] ; [17 14],[8.08888889 5.91111111] ; [17.91111111 13.08888889],0
p9,1,0.564313,0.332292,[20 18] ; [39 44],[18.52892562 19.47107438] ; [40.47107438 42.52892562],0
p11,1,0.566871,0.327946,[19 22] ; [43 40],[20.5 20.5] ; [41.5 41.5],0
p4,1,0.610279,0.259769,[10 31] ; [23 57],[11.18181818 29.81818182] ; [21.81818182 58.18181818],0
u3,1,0.635099,0.225209,[13 13] ; [14 18],[12.10344828 13.89655172] ; [14.89655172 17.10344828],0
a1,1,0.661977,0.191131,[ 5 36] ; [ 8 75],[ 4.2983871 36.7016129] ; [ 8.7016129 74.2983871],0
