Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,9.6e-05,15.214341,[11 13] ; [67 12],[18.17475728  5.82524272] ; [59.82524272 19.17475728],1
v4,1,0.000445,12.333772,[13 10] ; [71  9],[18.75728155  4.24271845] ; [65.24271845 14.75728155],1
r4,1,0.000495,12.134099,[10 14] ; [63 17],[16.84615385  7.15384615] ; [56.15384615 23.84615385],1
b5,1,0.000822,11.191937,[ 6 18] ; [51 29],[13.15384615 10.84615385] ; [43.84615385 36.15384615],1
r1,1,0.00366,8.445113,[12 12] ; [64 16],[17.53846154  6.46153846] ; [58.46153846 21.53846154],0
p11,1,0.003722,8.41465,[ 6 18] ; [47 33],[12.23076923 11.76923077] ; [40.76923077 39.23076923],0
s6,1,0.004353,8.130298,[ 6 18] ; [46 33],[12.11650485 11.88349515] ; [39.88349515 39.11650485],0
p4,1,0.012903,6.182399,[ 4 20] ; [35 43],[ 9.17647059 14.82352941] ; [29.82352941 48.17647059],0
v3,1,0.016199,5.781176,[ 3 21] ; [31 49],[ 7.84615385 16.15384615] ; [26.15384615 53.84615385],0
r2,1,0.019935,5.417565,[18  6] ; [73  6],[21.2038835  2.7961165] ; [69.7961165  9.2038835],0
a1,1,0.033545,4.51773,[ 5 19] ; [ 5 75],[ 2.30769231 21.69230769] ; [ 7.69230769 72.30769231],0
p8,1,0.04305,4.093435,[ 3 20] ; [28 52],[ 6.9223301 16.0776699] ; [24.0776699 55.9223301],0
p3,1,0.051519,3.791326,[ 3 21] ; [26 53],[ 6.75728155 17.24271845] ; [22.24271845 56.75728155],0
n4,1,0.052799,3.750282,[17  7] ; [70 10],[20.07692308  3.92307692] ; [66.92307692 13.07692308],0
s2,1,0.082743,3.01018,[ 5 19] ; [31 46],[ 8.55445545 15.44554455] ; [27.44554455 49.55445545],0
d5,1,0.090555,2.864476,[13 11] ; [58 22],[16.38461538  7.61538462] ; [54.61538462 25.38461538],0
d4,1,0.093864,2.806824,[12 11] ; [56 23],[15.33333333  7.66666667] ; [52.66666667 26.33333333],0
u1,1,0.102961,2.659076,[ 1 23] ; [14 66],[ 3.46153846 20.53846154] ; [11.53846154 68.46153846],0
v1,1,0.10563,2.61841,[ 5 19] ; [31 49],[ 8.30769231 15.69230769] ; [27.69230769 52.30769231],0
p2,1,0.112729,2.515542,[10 14] ; [48 32],[13.38461538 10.61538462] ; [44.61538462 35.38461538],0
u3,1,0.116551,2.463069,[2 7] ; [18 17],[4.09090909 4.90909091] ; [15.90909091 19.09090909],0
s8,1,0.186035,1.748744,[ 4 20] ; [24 55],[ 6.52427184 17.47572816] ; [21.47572816 57.52427184],0
n2,1,0.199053,1.649306,[7 7] ; [17  7],[8.84210526 5.15789474] ; [15.15789474  8.84210526],0
b3,1,0.215613,1.533333,[7 8] ; [16 38],[ 5. 10.] ; [18. 36.],0
b2,1,0.215613,1.533333,[7 8] ; [16 38],[ 5. 10.] ; [18. 36.],0
s7,1,0.275195,1.190665,[ 5 17] ; [27 50],[ 7.11111111 14.88888889] ; [24.88888889 52.11111111],0
a6,1,0.285895,1.138854,[17  7] ; [47 33],[14.76923077  9.23076923] ; [49.23076923 30.76923077],0
p10,1,0.291551,1.112447,[ 5 19] ; [25 53],[ 7.05882353 16.94117647] ; [22.94117647 55.05882353],0
s4,1,0.303751,1.057655,[ 2 22] ; [13 64],[ 3.56435644 20.43564356] ; [11.43564356 65.56435644],0
d1,1,0.332232,0.940179,[ 9 15] ; [39 41],[11.07692308 12.92307692] ; [36.92307692 43.07692308],0
a7,1,0.358065,0.844669,[13 11] ; [51 28],[14.91262136  9.08737864] ; [49.08737864 29.91262136],0
