Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.00015,14.366803,[ 9 18] ; [53 18],[17.08163265  9.91836735] ; [44.91836735 26.08163265],1
n4,1,0.000953,10.915953,[12 15] ; [56 15],[18.73469388  8.26530612] ; [49.26530612 21.73469388],1
v4,1,0.001501,10.07733,[17 10] ; [64  7],[22.31632653  4.68367347] ; [58.68367347 12.31632653],0
r4,1,0.002798,8.93491,[14 13] ; [58 13],[19.83673469  7.16326531] ; [52.16326531 18.83673469],0
r3,1,0.00497,7.89033,[18  9] ; [64  7],[22.59183673  4.40816327] ; [59.40816327 11.59183673],0
s8,1,0.005613,7.670435,[ 5 22] ; [35 36],[11.02040816 15.97959184] ; [28.97959184 42.02040816],0
p1,1,0.007007,7.271057,[ 5 22] ; [ 2 69],[ 1.92857143 25.07142857] ; [ 5.07142857 65.92857143],0
p11,1,0.01103,6.460413,[ 9 18] ; [44 27],[14.60204082 12.39795918] ; [38.39795918 32.60204082],0
u1,1,0.011239,6.427057,[ 2 25] ; [23 48],[ 6.8877551 20.1122449] ; [18.1122449 52.8877551],0
p4,1,0.018057,5.590627,[ 4 23] ; [28 42],[ 8.90721649 18.09278351] ; [23.09278351 46.90721649],0
r2,1,0.027269,4.87368,[22  4] ; [66  2],[24.34042553  1.65957447] ; [63.65957447  4.34042553],0
p10,1,0.04634,3.969185,[11 15] ; [46 25],[15.27835052 10.72164948] ; [41.72164948 29.27835052],0
v3,1,0.05155,3.790304,[ 4 20] ; [25 40],[ 7.82022472 16.17977528] ; [21.17977528 43.82022472],0
a6,1,0.061867,3.486609,[13 13] ; [50 21],[16.88659794  9.11340206] ; [46.11340206 24.88659794],0
s1,1,0.085297,2.96097,[ 3 23] ; [ 2 69],[ 1.34020619 24.65979381] ; [ 3.65979381 67.34020619],0
v2,1,0.119415,2.42498,[10 15] ; [39 28],[13.31521739 11.68478261] ; [35.68478261 31.31521739],0
r1,1,0.135941,2.223315,[16 11] ; [53 18],[19.01020408  7.98979592] ; [49.98979592 21.01020408],0
s6,1,0.139871,2.179377,[11 15] ; [42 29],[14.20618557 11.79381443] ; [38.79381443 32.20618557],0
s5,1,0.190042,1.717289,[ 4 20] ; [21 48],[ 6.4516129 17.5483871] ; [18.5483871 50.4516129],0
n2,1,0.190578,1.713143,[ 9 10] ; [18  9],[11.15217391  7.84782609] ; [15.84782609 11.15217391],0
p9,1,0.195818,1.673294,[14 12] ; [47 22],[16.69473684  9.30526316] ; [44.30526316 24.69473684],0
s7,1,0.205115,1.605573,[ 9 14] ; [37 31],[11.62637363 11.37362637] ; [34.37362637 33.62637363],0
a5,1,0.222415,1.488721,[19  8] ; [58 13],[21.21428571  5.78571429] ; [55.78571429 15.21428571],0
p3,1,0.311364,1.024883,[ 6 20] ; [24 47],[ 8.04123711 17.95876289] ; [21.95876289 49.04123711],0
a7,1,0.319378,0.991492,[17 10] ; [52 19],[19.01020408  7.98979592] ; [49.98979592 21.01020408],0
a2,1,0.381172,0.76692,[ 7 20] ; [25 46],[ 8.81632653 18.18367347] ; [23.18367347 47.81632653],0
b4,1,0.399574,0.709609,[15 12] ; [46 25],[16.80612245 10.19387755] ; [44.19387755 26.80612245],0
s2,1,0.400056,0.708158,[10 17] ; [33 38],[11.84693878 15.15306122] ; [31.15306122 39.84693878],0
d2,1,0.426269,0.632967,[21  5] ; [51 19],[19.5  6.5] ; [52.5 17.5],0
n3,1,0.447425,0.577166,[9 9] ; [16 10],[10.22727273  7.77272727] ; [14.77272727 11.22727273],0
d5,1,0.454248,0.56003,[25  1] ; [70  1],[25.46391753  0.53608247] ; [69.53608247  1.46391753],0
p7,1,0.460204,0.545399,[ 6 19] ; [22 47],[ 7.44680851 17.55319149] ; [20.55319149 48.44680851],0
a8,1,0.480467,0.497803,[ 1 26] ; [ 5 60],[ 1.76086957 25.23913043] ; [ 4.23913043 60.76086957],0
p6,1,0.488971,0.47879,[ 4 21] ; [16 55],[ 5.20833333 19.79166667] ; [14.79166667 56.20833333],0
u4,1,0.537958,0.379337,[ 1 26] ; [ 5 66],[ 1.65306122 25.34693878] ; [ 4.34693878 66.65306122],0
v1,1,0.563618,0.333479,[ 9 18] ; [27 41],[10.23157895 16.76842105] ; [25.76842105 42.23157895],0
b1,1,0.63431,0.226261,[14 13] ; [33 38],[12.94897959 14.05102041] ; [34.05102041 36.94897959],0
b3,1,0.634861,0.225526,[ 6 12] ; [21 32],[ 6.84507042 11.15492958] ; [20.15492958 32.84507042],0
b2,1,0.634861,0.225526,[ 6 12] ; [21 32],[ 6.84507042 11.15492958] ; [20.15492958 32.84507042],0
p5,1,0.704186,0.144153,[ 1 25] ; [ 4 65],[ 1.36842105 24.63157895] ; [ 3.63157895 65.36842105],0
a1,1,0.707306,0.140983,[ 2 25] ; [ 7 64],[ 2.47959184 24.52040816] ; [ 6.52040816 64.47959184],0
s4,1,0.708484,0.139796,[ 6 21] ; [13 56],[ 5.34375 21.65625] ; [13.65625 55.34375],0
s3,1,0.725768,0.123033,[14 13] ; [34 37],[13.2244898 13.7755102] ; [34.7755102 36.2244898],0
a4,1,0.726224,0.122607,[18  9] ; [44 26],[17.25773196  9.74226804] ; [44.74226804 25.25773196],0
u2,1,0.768571,0.08658,[3 3] ; [8 6],[3.3 2.7] ; [7.7 6.3],0
p8,1,0.774705,0.081926,[ 5 22] ; [15 56],[ 5.51020408 21.48979592] ; [14.48979592 56.51020408],0
b5,1,0.84476,0.038341,[15 12] ; [41 30],[15.42857143 11.57142857] ; [40.57142857 30.42857143],0
d3,1,0.858496,0.031787,[22  4] ; [59 12],[21.71134021  4.28865979] ; [59.28865979 11.71134021],0
