Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,3e-06,21.898539,[5 5] ; [72  3],[9.05882353 0.94117647] ; [67.94117647  7.05882353],1
r4,1,0.001379,10.233831,[4 6] ; [63 12],[7.88235294 2.11764706] ; [59.11764706 15.88235294],0
r2,1,0.007209,7.220195,[6 4] ; [67  7],[8.69047619 1.30952381] ; [64.30952381  9.69047619],0
n6,1,0.007422,7.168,[3 6] ; [57 18],[6.42857143 2.57142857] ; [53.57142857 21.42857143],0
p2,1,0.008732,6.876864,[4 6] ; [59 16],[7.41176471 2.58823529] ; [55.58823529 19.41176471],0
d5,1,0.025478,4.991095,[5 5] ; [61 14],[7.76470588 2.23529412] ; [58.23529412 16.76470588],0
n2,1,0.039406,4.24329,[2 3] ; [20  4],[3.79310345 1.20689655] ; [18.20689655  5.79310345],0
r1,1,0.04118,4.168582,[4 6] ; [54 21],[6.82352941 3.17647059] ; [51.17647059 23.82352941],0
s7,1,0.042404,4.119025,[1 8] ; [34 39],[3.84146341 5.15853659] ; [31.15853659 41.84146341],0
p11,1,0.057136,3.618625,[2 8] ; [39 36],[4.82352941 5.17647059] ; [36.17647059 38.82352941],0
n5,1,0.059614,3.548091,[3 7] ; [46 29],[5.76470588 4.23529412] ; [43.23529412 31.76470588],0
n4,1,0.099841,2.708084,[4 6] ; [50 25],[6.35294118 3.64705882] ; [47.64705882 27.35294118],0
s1,1,0.149661,2.075702,[2 8] ; [ 5 70],[0.82352941 9.17647059] ; [ 6.17647059 68.82352941],0
v1,1,0.193502,1.690754,[2 8] ; [31 44],[3.88235294 6.11764706] ; [29.11764706 45.88235294],0
p9,1,0.220128,1.503538,[2 8] ; [30 45],[3.76470588 6.23529412] ; [28.23529412 46.76470588],0
p6,1,0.23788,1.393114,[2 8] ; [29 45],[3.69047619 6.30952381] ; [27.30952381 46.69047619],0
a7,1,0.259418,1.27186,[5 5] ; [51 24],[6.58823529 3.41176471] ; [49.41176471 25.58823529],0
a5,1,0.281298,1.160808,[8 2] ; [47 28],[6.47058824 3.52941176] ; [48.52941176 26.47058824],0
s2,1,0.285432,1.141042,[3 7] ; [35 38],[4.57831325 5.42168675] ; [33.42168675 39.57831325],0
s6,1,0.31514,1.009009,[5 5] ; [49 25],[6.42857143 3.57142857] ; [47.57142857 26.42857143],0
d1,1,0.340194,0.909699,[4 6] ; [42 33],[5.41176471 4.58823529] ; [40.58823529 34.41176471],0
p8,1,0.404478,0.694974,[3 6] ; [36 39],[4.17857143 4.82142857] ; [34.82142857 40.17857143],0
s4,1,0.42778,0.628843,[1 9] ; [15 58],[1.92771084 8.07228916] ; [14.07228916 58.92771084],0
a2,1,0.447315,0.577446,[1 9] ; [15 60],[1.88235294 8.11764706] ; [14.11764706 60.88235294],0
n1,1,0.512691,0.428571,[2 3] ; [14 11],[2.66666667 2.33333333] ; [13.33333333 11.66666667],0
u2,1,0.593301,0.285219,[1 3] ; [12 19],[1.48571429 2.51428571] ; [11.51428571 19.48571429],0
p3,1,0.634007,0.226667,[6 4] ; [39 36],[5.29411765 4.70588235] ; [39.70588235 35.29411765],0
a6,1,0.660401,0.193037,[5 5] ; [43 32],[5.64705882 4.35294118] ; [42.35294118 32.64705882],0
s3,1,0.686238,0.163188,[5 5] ; [42 32],[5.5952381 4.4047619] ; [41.4047619 32.5952381],0
a4,1,0.691066,0.157934,[4 6] ; [35 40],[4.58823529 5.41176471] ; [34.41176471 40.58823529],0
p7,1,0.691066,0.157934,[6 4] ; [40 35],[5.41176471 4.58823529] ; [40.58823529 34.41176471],0
s5,1,0.713272,0.135031,[2 8] ; [18 53],[2.4691358 7.5308642] ; [17.5308642 53.4691358],0
d4,1,0.713384,0.134921,[8 2] ; [56 19],[7.52941176 2.47058824] ; [56.47058824 18.52941176],0
n3,1,0.729034,0.12,[3 2] ; [17  8],[3.33333333 1.66666667] ; [16.66666667  8.33333333],0
b5,1,0.769993,0.085489,[7 3] ; [49 26],[6.58823529 3.41176471] ; [49.41176471 25.58823529],0
p5,1,0.86369,0.029474,[1 8] ; [ 7 68],[0.85714286 8.14285714] ; [ 7.14285714 67.85714286],0
a3,1,0.872637,0.025699,[6 4] ; [43 32],[5.76470588 4.23529412] ; [43.23529412 31.76470588],0
v3,1,0.890594,0.018921,[3 6] ; [23 51],[2.81927711 6.18072289] ; [23.18072289 50.81927711],0
d3,1,0.895002,0.017418,[7 3] ; [54 21],[7.17647059 2.82352941] ; [53.82352941 21.17647059],0
d2,1,0.905361,0.014135,[5 5] ; [39 36],[5.17647059 4.82352941] ; [38.82352941 36.17647059],0
b1,1,0.905361,0.014135,[5 5] ; [39 36],[5.17647059 4.82352941] ; [38.82352941 36.17647059],0
p1,1,0.945929,0.0046,[1 9] ; [ 7 68],[0.94117647 9.05882353] ; [ 7.05882353 67.94117647],0
v2,1,0.967592,0.001651,[5 5] ; [36 37],[4.93975904 5.06024096] ; [36.06024096 36.93975904],0
b3,1,0.975393,0.000951,[2 4] ; [18 35],[2.03389831 3.96610169] ; [17.96610169 35.03389831],0
b2,1,0.975393,0.000951,[2 4] ; [18 35],[2.03389831 3.96610169] ; [17.96610169 35.03389831],0
b4,1,1.0,0.0,[6 4] ; [45 30],[6. 4.] ; [45. 30.],0
