Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,51.856541,[75  3] ; [14 25],[59.33333333 18.66666667] ; [29.66666667  9.33333333],1
r1,1,0.0,37.4232,[59 18] ; [ 7 33],[43.43589744 33.56410256] ; [22.56410256 17.43589744],1
v4,1,0.0,36.363894,[76  1] ; [21 17],[64.94782609 12.05217391] ; [32.05217391  5.94782609],1
r2,1,0.0,26.422395,[75  3] ; [23 16],[65.33333333 12.66666667] ; [32.66666667  6.33333333],1
s3,1,1.6e-05,18.615317,[44 31] ; [ 7 34],[32.97413793 42.02586207] ; [18.02586207 22.97413793],1
s6,1,3.8e-05,16.982937,[47 29] ; [ 9 32],[36.37606838 39.62393162] ; [19.62393162 21.37606838],1
n6,1,7.4e-05,15.716979,[63 15] ; [18 22],[53.54237288 24.45762712] ; [27.45762712 12.54237288],1
b3,1,0.000847,11.13448,[ 4 35] ; [11 12],[ 9.43548387 29.56451613] ; [ 5.56451613 17.43548387],1
b2,1,0.000847,11.13448,[ 4 35] ; [11 12],[ 9.43548387 29.56451613] ; [ 5.56451613 17.43548387],1
p10,1,0.000883,11.058022,[54 20] ; [16 23],[45.84070796 28.15929204] ; [24.15929204 14.84070796],1
n2,1,0.001165,10.54583,[25  2] ; [12 11],[19.98  7.02] ; [17.02  5.98],0
s2,1,0.001823,9.719711,[35 41] ; [ 7 34],[27.28205128 48.71794872] ; [14.71794872 26.28205128],0
s8,1,0.00224,9.341397,[28 50] ; [ 4 37],[20.97478992 57.02521008] ; [11.02521008 29.97478992],0
p9,1,0.003522,8.514995,[56 20] ; [18 21],[48.90434783 27.09565217] ; [25.09565217 13.90434783],0
s7,1,0.004309,8.148725,[31 43] ; [ 6 33],[24.2300885 49.7699115] ; [12.7699115 26.2300885],0
n3,1,0.004571,8.041739,[23  2] ; [13 10],[18.75  6.25] ; [17.25  5.75],0
p11,1,0.007232,7.214532,[54 24] ; [18 23],[47.19327731 30.80672269] ; [24.80672269 16.19327731],0
s5,1,0.017975,5.598631,[19 56] ; [ 3 38],[14.22413793 60.77586207] ; [ 7.77586207 33.22413793],0
b1,1,0.021941,5.250422,[25 53] ; [22 19],[30.80672269 47.19327731] ; [16.19327731 24.80672269],0
a7,1,0.02307,5.163259,[44 33] ; [14 26],[38.17094017 38.82905983] ; [19.82905983 20.17094017],0
a6,1,0.028637,4.789308,[45 33] ; [15 26],[39.32773109 38.67226891] ; [20.67226891 20.32773109],0
p2,1,0.04815,3.904756,[57 21] ; [22 18],[52.22033898 25.77966102] ; [26.77966102 13.22033898],0
d5,1,0.048646,3.887511,[37 40] ; [12 29],[31.97457627 45.02542373] ; [17.02542373 23.97457627],0
u3,1,0.056481,3.637823,[21 22] ; [ 6 18],[17.32835821 25.67164179] ; [ 9.67164179 14.32835821],0
v3,1,0.066877,3.358063,[21 54] ; [ 5 34],[17.10526316 57.89473684] ; [ 8.89473684 30.10526316],0
a8,1,0.079223,3.080778,[12 58] ; [ 2 36],[ 9.07407407 60.92592593] ; [ 4.92592593 33.07407407],0
v1,1,0.102195,2.670953,[34 42] ; [12 29],[29.88034188 46.11965812] ; [16.11965812 24.88034188],0
b5,1,0.11708,2.455952,[46 32] ; [18 23],[41.94957983 36.05042017] ; [22.05042017 18.94957983],0
d3,1,0.119797,2.419969,[26 51] ; [ 8 32],[22.37606838 54.62393162] ; [11.62393162 28.37606838],0
a5,1,0.12648,2.335186,[40 38] ; [15 26],[36.05042017 41.94957983] ; [18.94957983 22.05042017],0
v2,1,0.144615,2.128154,[26 45] ; [ 9 30],[22.59090909 48.40909091] ; [12.40909091 26.59090909],0
p7,1,0.171075,1.873499,[37 38] ; [14 25],[33.55263158 41.44736842] ; [17.44736842 21.55263158],0
p4,1,0.195328,1.676965,[26 52] ; [ 9 32],[22.94117647 55.05882353] ; [12.05882353 28.94117647],0
u1,1,0.234374,1.414116,[ 1 77] ; [ 2 39],[ 1.96638655 76.03361345] ; [ 1.03361345 39.96638655],0
d2,1,0.258432,1.277137,[14 64] ; [11 30],[16.38655462 61.61344538] ; [ 8.61344538 32.38655462],0
n4,1,0.283248,1.151441,[52 25] ; [23 17],[49.35897436 27.64102564] ; [25.64102564 14.35897436],0
p8,1,0.288739,1.125492,[28 47] ; [11 29],[25.43478261 49.56521739] ; [13.56521739 26.43478261],0
s4,1,0.331073,0.944695,[17 60] ; [ 6 35],[15.00847458 61.99152542] ; [ 7.99152542 33.00847458],0
u2,1,0.385193,0.754063,[19 24] ; [ 8 16],[17.32835821 25.67164179] ; [ 9.67164179 14.32835821],0
n5,1,0.42731,0.630125,[53 25] ; [30 10],[54.86440678 23.13559322] ; [28.13559322 11.86440678],0
p5,1,0.50985,0.434374,[ 4 73] ; [ 1 38],[ 3.31896552 73.68103448] ; [ 1.68103448 37.31896552],0
a2,1,0.560163,0.339422,[ 6 72] ; [ 2 39],[ 5.24369748 72.75630252] ; [ 2.75630252 38.24369748],0
p12,1,0.677069,0.173444,[ 3 74] ; [ 1 40],[ 2.61016949 74.38983051] ; [ 1.38983051 39.61016949],0
a3,1,0.760312,0.093068,[35 42] ; [17 23],[34.22222222 42.77777778] ; [17.77777778 22.22222222],0
b4,1,0.795348,0.067274,[40 38] ; [20 21],[39.32773109 38.67226891] ; [20.67226891 20.32773109],0
a4,1,0.843926,0.038759,[16 60] ; [ 8 33],[15.58974359 60.41025641] ; [ 8.41025641 32.58974359],0
