Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.302989,[ 2 49] ; [9 7],[ 8.37313433 42.62686567] ; [ 2.62686567 13.37313433],1
s2,1,9.7e-05,15.18899,[ 9 42] ; [11  5],[15.2238806 35.7761194] ; [ 4.7761194 11.2238806],1
s6,1,0.000455,12.293369,[11 40] ; [11  5],[16.74626866 34.25373134] ; [ 5.25373134 10.74626866],1
s3,1,0.00054,11.971939,[13 36] ; [12  4],[18.84615385 30.15384615] ; [6.15384615 9.84615385],1
p4,1,0.010844,6.49066,[ 9 41] ; [8 8],[12.87878788 37.12121212] ; [ 4.12121212 11.87878788],0
s4,1,0.018797,5.520279,[ 8 43] ; [7 9],[11.41791045 39.58208955] ; [ 3.58208955 12.41791045],0
s5,1,0.034264,4.481474,[ 6 45] ; [5 9],[ 8.63076923 42.36923077] ; [ 2.36923077 11.63076923],0
n3,1,0.051938,3.777778,[15 10] ; [2 7],[12.5 12.5] ; [4.5 4.5],0
r1,1,0.052844,3.748851,[10 41] ; [7 9],[12.94029851 38.05970149] ; [ 4.05970149 11.94029851],0
p8,1,0.061587,3.494118,[14 37] ; [8 7],[17. 34.] ; [ 5. 10.],0
d3,1,0.061933,3.48485,[18 32] ; [10  6],[21.21212121 28.78787879] ; [6.78787879 9.21212121],0
d5,1,0.075379,3.161823,[19 32] ; [10  6],[22.07462687 28.92537313] ; [6.92537313 9.07462687],0
u3,1,0.086483,2.938655,[ 9 26] ; [5 4],[11.13636364 23.86363636] ; [2.86363636 6.13636364],0
p2,1,0.092431,2.831518,[29 21] ; [13  3],[31.81818182 18.18181818] ; [10.18181818  5.81818182],0
p6,1,0.10118,2.686839,[ 5 45] ; [ 4 11],[ 6.92307692 43.07692308] ; [ 2.07692308 12.92307692],0
d4,1,0.105185,2.625113,[26 24] ; [12  4],[28.78787879 21.21212121] ; [9.21212121 6.78787879],0
p10,1,0.140099,2.176871,[22 27] ; [10  5],[24.5 24.5] ; [7.5 7.5],0
p11,1,0.176113,1.830125,[22 29] ; [10  6],[24.35820896 26.64179104] ; [7.64179104 8.35820896],0
n6,1,0.176113,1.830125,[29 22] ; [ 6 10],[26.64179104 24.35820896] ; [8.35820896 7.64179104],0
p7,1,0.195428,1.676213,[17 32] ; [8 7],[19.140625 29.859375] ; [5.859375 9.140625],0
v4,1,0.196304,1.669662,[31 19] ; [12  3],[33.07692308 16.92307692] ; [9.92307692 5.07692308],0
v2,1,0.212912,1.551515,[13 35] ; [7 9],[15. 33.] ; [ 5. 11.],0
p3,1,0.242947,1.363411,[ 9 42] ; [ 5 11],[10.65671642 40.34328358] ; [ 3.34328358 12.65671642],0
n2,1,0.248983,1.329003,[14 11] ; [7 2],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
r3,1,0.29878,1.079633,[27 23] ; [11  5],[28.78787879 21.21212121] ; [9.21212121 6.78787879],0
a6,1,0.362953,0.82765,[16 35] ; [7 9],[17.50746269 33.49253731] ; [ 5.49253731 10.50746269],0
v1,1,0.376546,0.781948,[13 37] ; [ 6 10],[14.39393939 35.60606061] ; [ 4.60606061 11.39393939],0
a3,1,0.390599,0.737078,[16 34] ; [7 9],[17.42424242 32.57575758] ; [ 5.57575758 10.42424242],0
a4,1,0.421081,0.647295,[ 7 44] ; [ 1 15],[ 6.08955224 44.91044776] ; [ 1.91044776 14.08955224],0
d1,1,0.428096,0.627984,[11 40] ; [ 5 11],[12.17910448 38.82089552] ; [ 3.82089552 12.17910448],0
n4,1,0.435888,0.607085,[23 28] ; [9 7],[24.35820896 26.64179104] ; [7.64179104 8.35820896],0
u2,1,0.540714,0.374219,[15 19] ; [5 4],[15.81395349 18.18604651] ; [4.18604651 4.81395349],0
b4,1,0.541753,0.3723,[33 18] ; [9 7],[31.97014925 19.02985075] ; [10.02985075  5.97014925],0
d2,1,0.555866,0.346912,[13 37] ; [ 3 13],[12.12121212 37.87878788] ; [ 3.87878788 12.12121212],0
p9,1,0.565659,0.33,[24 26] ; [9 7],[25. 25.] ; [8. 8.],0
s1,1,0.569247,0.323945,[ 4 47] ; [ 2 14],[ 4.56716418 46.43283582] ; [ 1.43283582 14.56716418],0
a7,1,0.574671,0.31493,[21 29] ; [8 8],[21.96969697 28.03030303] ; [7.03030303 8.96969697],0
p1,1,0.649723,0.20625,[ 5 45] ; [ 1 15],[ 4.54545455 45.45454545] ; [ 1.45454545 14.54545455],0
p5,1,0.706865,0.141429,[ 2 48] ; [ 1 15],[ 2.27272727 47.72727273] ; [ 0.72727273 15.27272727],0
b1,1,0.731524,0.117717,[23 28] ; [8 8],[23.59701493 27.40298507] ; [7.40298507 8.59701493],0
n1,1,0.736193,0.113501,[ 7 18] ; [2 7],[ 6.61764706 18.38235294] ; [2.38235294 6.61764706],0
n5,1,0.816855,0.053635,[27 24] ; [9 7],[27.40298507 23.59701493] ; [8.59701493 7.40298507],0
b5,1,0.816855,0.053635,[27 24] ; [9 7],[27.40298507 23.59701493] ; [8.59701493 7.40298507],0
v3,1,0.912865,0.011974,[10 40] ; [ 3 13],[ 9.84848485 40.15151515] ; [ 3.15151515 12.84848485],0
r2,1,0.939268,0.005805,[28 22] ; [8 6],[28.125 21.875] ; [7.875 6.125],0
b2,1,0.951264,0.003736,[ 9 20] ; [3 7],[ 8.92307692 20.07692308] ; [3.07692308 6.92307692],0
b3,1,0.951264,0.003736,[ 9 20] ; [3 7],[ 8.92307692 20.07692308] ; [3.07692308 6.92307692],0
