Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,76.116116,[116 212] ; [167  62],[166.64991023 161.35008977] ; [116.35008977 112.64991023],1
p2,1,0.0,44.058754,[227 106] ; [212  19],[259.19680851  73.80319149] ; [179.80319149  51.19680851],1
p4,1,0.0,26.131172,[126 205] ; [139  93],[155.79928952 175.20071048] ; [109.20071048 122.79928952],1
p3,1,4e-06,21.165255,[104 229] ; [117 115],[130.25309735 202.74690265] ; [ 90.74690265 141.25309735],1
p10,1,9e-06,19.812284,[231  97] ; [199  31],[252.75985663  75.24014337] ; [177.24014337  52.75985663],1
p11,1,0.000127,14.691899,[237  96] ; [198  35],[255.92756184  77.07243816] ; [179.07243816  53.92756184],1
p9,1,0.000425,12.420495,[245  83] ; [199  30],[261.45780969  66.54219031] ; [182.54219031  46.45780969],1
a5,1,0.003187,8.697105,[219 114] ; [180  53],[234.74734982  98.25265018] ; [164.25265018  68.74734982],0
v2,1,0.028112,4.821208,[158 156] ; [133  89],[170.4738806 143.5261194] ; [120.5261194 101.4738806],0
v1,1,0.039108,4.256156,[138 181] ; [118 108],[149.84220183 169.15779817] ; [106.15779817 119.84220183],0
n5,1,0.040584,4.193293,[216 114] ; [170  61],[227.05882353 102.94117647] ; [158.94117647  72.05882353],0
p1,1,0.046583,3.960369,[ 12 320] ; [ 17 213],[ 17.1316726 314.8683274] ; [ 11.8683274 218.1316726],0
b5,1,0.053629,3.724216,[214 119] ; [131 102],[202.9770318 130.0229682] ; [142.0229682  90.9770318],0
b4,1,0.056454,3.638603,[204 129] ; [124 109],[192.97526502 140.02473498] ; [135.02473498  97.97526502],0
p5,1,0.075266,3.164262,[ 16 312] ; [ 20 212],[ 21.08571429 306.91428571] ; [ 14.91428571 217.08571429],0
v3,1,0.085462,2.957832,[107 207] ; [ 93 132],[116.51205937 197.48794063] ; [ 83.48794063 141.51205937],0
a7,1,0.092652,2.827689,[230 103] ; [176  57],[238.86572438  94.13427562] ; [167.13427562  65.86572438],0
