Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,38.078592,[ 9 42] ; [35  8],[23.87234043 27.12765957] ; [20.12765957 22.87234043],1
r3,1,0.00088,11.063816,[27 23] ; [37  6],[34.40860215 15.59139785] ; [29.59139785 13.40860215],1
p11,1,0.002318,9.278741,[16 35] ; [27 16],[23.32978723 27.67021277] ; [19.67021277 23.32978723],0
n2,1,0.003675,8.437609,[12 15] ; [15  2],[16.56818182 10.43181818] ; [10.43181818  6.56818182],0
b5,1,0.003958,8.303203,[18 33] ; [28 15],[24.95744681 26.04255319] ; [21.04255319 21.95744681],0
n3,1,0.006264,7.47274,[ 9 14] ; [14  3],[13.225  9.775] ; [9.775 7.225],0
r4,1,0.011007,6.464151,[21 30] ; [29 14],[27.12765957 23.87234043] ; [22.87234043 20.12765957],0
d2,1,0.052076,3.773316,[28 22] ; [15 27],[23.36956522 26.63043478] ; [19.63043478 22.36956522],0
a7,1,0.059009,3.565014,[24 26] ; [29 14],[28.49462366 21.50537634] ; [24.50537634 18.49462366],0
p3,1,0.061012,3.509647,[ 8 42] ; [14 29],[11.82795699 38.17204301] ; [10.17204301 32.82795699],0
a8,1,0.062394,3.472577,[ 1 47] ; [ 5 37],[ 3.2 44.8] ; [ 2.8 39.2],0
s2,1,0.067085,3.352931,[ 4 47] ; [ 9 34],[ 7.05319149 43.94680851] ; [ 5.94680851 37.05319149],0
u3,1,0.077787,3.110539,[ 6 14] ; [10  7],[ 8.64864865 11.35135135] ; [7.35135135 9.64864865],0
v4,1,0.085026,2.966113,[30 20] ; [33 10],[33.87096774 16.12903226] ; [29.12903226 13.87096774],0
p8,1,0.097228,2.750436,[ 7 43] ; [12 31],[10.21505376 39.78494624] ; [ 8.78494624 34.21505376],0
s8,1,0.103378,2.652648,[ 3 48] ; [ 7 36],[ 5.42553191 45.57446809] ; [ 4.57446809 38.42553191],0
p4,1,0.142062,2.155481,[ 7 43] ; [11 31],[ 9.7826087 40.2173913] ; [ 8.2173913 33.7826087],0
s5,1,0.172432,1.861668,[ 5 46] ; [ 1 38],[ 3.4 47.6] ; [ 2.6 36.4],0
