Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.8e-05,18.415179,[29 83] ; [15  5],[37.33333333 74.66666667] ; [ 6.66666667 13.33333333],1
r3,1,0.030508,4.680452,[82 31] ; [19  1],[85.81203008 27.18796992] ; [15.18796992  4.81203008],0
d2,1,0.038861,4.266913,[56 56] ; [ 5 15],[51.75757576 60.24242424] ; [ 9.24242424 10.75757576],0
p2,1,0.048368,3.897154,[53 62] ; [14  6],[57.07407407 57.92592593] ; [ 9.92592593 10.07407407],0
p3,1,0.094781,2.791233,[17 98] ; [ 6 14],[19.59259259 95.40740741] ; [ 3.40740741 16.59259259],0
n1,1,0.108516,2.575701,[19 30] ; [1 8],[16.89655172 32.10344828] ; [3.10344828 5.89655172],0
p8,1,0.131485,2.274886,[18 95] ; [ 6 14],[20.39097744 92.60902256] ; [ 3.60902256 16.39097744],0
v4,1,0.14495,2.124602,[85 28] ; [18  2],[87.5112782 25.4887218] ; [15.4887218  4.5112782],0
b5,1,0.157104,2.001878,[67 48] ; [15  5],[69.85185185 45.14814815] ; [12.14814815  7.85185185],0
s3,1,0.168737,1.894133,[38 74] ; [10 10],[40.72727273 71.27272727] ; [ 7.27272727 12.72727273],0
a5,1,0.171171,1.872658,[65 50] ; [ 8 12],[62.18518519 52.81481481] ; [10.81481481  9.18518519],0
d1,1,0.178292,1.8118,[47 68] ; [ 5 15],[44.2962963 70.7037037] ; [ 7.7037037 12.2962963],0
n3,1,0.18342,1.769693,[27 20] ; [8 2],[28.85964912 18.14035088] ; [6.14035088 3.85964912],0
d5,1,0.203423,1.617627,[74 40] ; [10 10],[71.46268657 42.53731343] ; [12.53731343  7.46268657],0
b4,1,0.21001,1.571356,[69 46] ; [ 9 11],[66.44444444 48.55555556] ; [11.55555556  8.44444444],0
d3,1,0.21545,1.53442,[57 57] ; [ 7 13],[54.44776119 59.55223881] ; [ 9.55223881 10.44776119],0
p11,1,0.221717,1.493226,[52 63] ; [12  8],[54.51851852 60.48148148] ; [ 9.48148148 10.51851852],0
b3,1,0.241827,1.369914,[22 52] ; [4 4],[23.46341463 50.53658537] ; [2.53658537 5.46341463],0
b2,1,0.241827,1.369914,[22 52] ; [4 4],[23.46341463 50.53658537] ; [2.53658537 5.46341463],0
a8,1,0.244663,1.353526,[15 88] ; [ 1 19],[13.39837398 89.60162602] ; [ 2.60162602 17.39837398],0
a6,1,0.246405,1.343574,[64 50] ; [14  6],[66.35820896 47.64179104] ; [11.64179104  8.35820896],0
s2,1,0.28342,1.150616,[27 87] ; [ 7 13],[28.92537313 85.07462687] ; [ 5.07462687 14.92537313],0
a3,1,0.32936,0.951414,[69 43] ; [10 10],[67.03030303 44.96969697] ; [11.96969697  8.03030303],0
n2,1,0.351294,0.868778,[27 23] ; [7 3],[28.33333333 21.66666667] ; [5.66666667 4.33333333],0
r4,1,0.353577,0.860578,[74 41] ; [15  5],[75.81481481 39.18518519] ; [13.18518519  6.81481481],0
u3,1,0.364672,0.821739,[21 25] ; [3 7],[19.71428571 26.28571429] ; [4.28571429 5.71428571],0
