Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000185,13.972947,[31 19] ; [ 82 161],[19.28327645 30.71672355] ; [ 93.71672355 149.28327645],1
s7,1,0.000282,13.187131,[33 16] ; [ 93 145],[21.51219512 27.48780488] ; [104.48780488 133.51219512],1
p5,1,0.002906,8.865815,[12 39] ; [ 22 224],[ 5.83838384 45.16161616] ; [ 28.16161616 217.83838384],0
u1,1,0.010853,6.489229,[12 39] ; [ 26 222],[ 6.48160535 44.51839465] ; [ 31.51839465 216.48160535],0
n4,1,0.01831,5.566285,[45  6] ; [180  68],[38.37792642 12.62207358] ; [186.62207358  61.37792642],0
b1,1,0.024514,5.057868,[26 25] ; [ 85 163],[18.93311037 32.06688963] ; [ 92.06688963 155.93311037],0
s8,1,0.027996,4.828294,[27 24] ; [ 90 157],[20.02348993 30.97651007] ; [ 96.97651007 150.02348993],0
s6,1,0.045012,4.018198,[39 11] ; [153  89],[32.87671233 17.12328767] ; [159.12328767  82.87671233],0
p3,1,0.053591,3.725395,[29 22] ; [104 143],[22.76174497 28.23825503] ; [110.23825503 136.76174497],0
r1,1,0.085694,2.95346,[42  9] ; [175  73],[37.01337793 13.98662207] ; [179.98662207  68.01337793],0
n6,1,0.087937,2.911734,[47  4] ; [204  43],[42.95637584  8.04362416] ; [208.04362416  38.95637584],0
a3,1,0.092152,2.836375,[38 13] ; [154  94],[32.74916388 18.25083612] ; [159.25083612  88.74916388],0
s2,1,0.113593,2.503509,[29 22] ; [110 136],[23.86868687 27.13131313] ; [115.13131313 130.86868687],0
r4,1,0.122106,2.390103,[48  3] ; [214  34],[44.68896321  6.31103679] ; [217.31103679  30.68896321],0
s1,1,0.129664,2.296519,[ 4 47] ; [  8 238],[ 2.06060606 48.93939394] ; [  9.93939394 236.06060606],0
d1,1,0.129742,2.295588,[30 21] ; [117 131],[25.0735786 25.9264214] ; [121.9264214 126.0735786],0
p6,1,0.14006,2.177299,[23 27] ; [ 86 160],[18.41216216 31.58783784] ; [ 90.58783784 155.41216216],0
u2,1,0.158334,1.990063,[10  3] ; [53 41],[7.65420561 5.34579439] ; [55.34579439 38.65420561],0
p1,1,0.167518,1.905015,[ 7 44] ; [ 19 227],[ 4.46464646 46.53535354] ; [ 21.53535354 224.46464646],0
p2,1,0.183055,1.772648,[40 11] ; [212  35],[43.12751678  7.87248322] ; [208.87248322  38.12751678],0
n5,1,0.194905,1.680147,[41 10] ; [176  70],[37.26262626 13.73737374] ; [179.73737374  66.26262626],0
a5,1,0.199487,1.646126,[39 12] ; [167  81],[35.13712375 15.86287625] ; [170.86287625  77.13712375],0
v4,1,0.205434,1.603313,[50  1] ; [231  16],[48.09060403  2.90939597] ; [232.90939597  14.09060403],0
b4,1,0.21471,1.539382,[25 26] ; [145 103],[28.99665552 22.00334448] ; [141.00334448 106.99665552],0
n2,1,0.223447,1.482098,[8 1] ; [43 19],[6.46478873 2.53521127] ; [44.53521127 17.46478873],0
s3,1,0.225306,1.470251,[31 19] ; [130 117],[27.1043771 22.8956229] ; [133.8956229 113.1043771],0
a7,1,0.229167,1.446024,[29 22] ; [163  85],[32.74916388 18.25083612] ; [159.25083612  88.74916388],0
