Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.5e-05,18.701548,[45  8] ; [87 82],[31.51351351 21.48648649] ; [100.48648649  68.51351351],1
s2,1,9.9e-05,15.154267,[37 17] ; [ 65 105],[24.58928571 29.41071429] ; [77.41071429 92.58928571],1
s5,1,0.000128,14.671762,[27 24] ; [ 41 126],[15.90825688 35.09174312] ; [ 52.09174312 114.90825688],1
s7,1,0.001162,10.55004,[25 26] ; [ 41 123],[15.65581395 35.34418605] ; [ 50.34418605 113.65581395],0
s3,1,0.002011,9.53921,[37 17] ; [75 94],[27.12107623 26.87892377] ; [84.87892377 84.12107623],0
p6,1,0.010435,6.559053,[20 34] ; [ 33 133],[13.00909091 40.99090909] ; [ 39.99090909 126.00909091],0
p1,1,0.01056,6.537918,[ 7 47] ; [  6 162],[ 3.16216216 50.83783784] ; [  9.83783784 158.16216216],0
d3,1,0.092875,2.82382,[40 13] ; [107  63],[34.93721973 18.06278027] ; [112.06278027  57.93721973],0
r2,1,0.10075,2.693632,[52  2] ; [151  19],[48.9375  5.0625] ; [154.0625  15.9375],0
r1,1,0.11754,2.449803,[33 21] ; [123  47],[37.60714286 16.39285714] ; [118.39285714  51.60714286],0
u3,1,0.176207,1.829323,[16  7] ; [38 33],[13.21276596  9.78723404] ; [40.78723404 30.21276596],0
n6,1,0.177496,1.818467,[39 14] ; [108  62],[34.93721973 18.06278027] ; [112.06278027  57.93721973],0
p11,1,0.185326,1.754386,[32 22] ; [118  53],[36. 18.] ; [114.  57.],0
s8,1,0.192265,1.700177,[21 33] ; [ 50 120],[17.11607143 36.88392857] ; [ 53.88392857 116.11607143],0
b4,1,0.195166,1.67818,[36 18] ; [97 74],[31.92 22.08] ; [101.08  69.92],0
d5,1,0.19724,1.662696,[42 11] ; [120  51],[38.33035714 14.66964286] ; [123.66964286  47.33035714],0
p10,1,0.21832,1.515378,[40 13] ; [111  56],[36.37727273 16.62272727] ; [114.62272727  52.37727273],0
d4,1,0.21971,1.506266,[45  9] ; [128  42],[41.70535714 12.29464286] ; [131.29464286  38.70535714],0
p5,1,0.279965,1.167262,[ 1 53] ; [  9 159],[ 2.43243243 51.56756757] ; [  7.56756757 160.43243243],0
a6,1,0.281562,1.159535,[31 23] ; [112  59],[34.32 19.68] ; [108.68  62.32],0
a2,1,0.312381,1.02058,[ 5 49] ; [ 25 146],[ 7.2 46.8] ; [ 22.8 148.2],0
b1,1,0.414539,0.665746,[16 38] ; [ 61 110],[18.48 35.52] ; [ 58.52 112.48],0
v1,1,0.414771,0.665084,[19 34] ; [70 96],[21.53881279 31.46118721] ; [67.46118721 98.53881279],0
p7,1,0.427336,0.630053,[31 21] ; [88 77],[28.51612903 23.48387097] ; [90.48387097 74.51612903],0
a1,1,0.438034,0.601428,[ 1 53] ; [  7 164],[ 1.92 52.08] ; [  6.08 164.92],0
v2,1,0.444176,0.58547,[23 28] ; [82 78],[25.37914692 25.62085308] ; [79.62085308 80.37914692],0
n5,1,0.489722,0.477136,[20 34] ; [ 54 115],[17.91928251 36.08071749] ; [ 56.08071749 112.91928251],0
d2,1,0.501003,0.452812,[22 32] ; [ 61 110],[19.92 34.08] ; [ 63.08 107.92],0
p9,1,0.515477,0.422933,[41 11] ; [125  43],[39.23636364 12.76363636] ; [126.76363636  41.23636364],0
n1,1,0.531967,0.390632,[ 7 16] ; [14 45],[ 5.8902439 17.1097561] ; [15.1097561 43.8902439],0
s1,1,0.540949,0.373784,[ 1 53] ; [  6 165],[ 1.68 52.32] ; [  5.32 165.68],0
b5,1,0.546767,0.363141,[35 19] ; [103  68],[33.12 20.88] ; [104.88  66.12],0
p12,1,0.549312,0.358552,[ 1 52] ; [  6 164],[ 1.66367713 51.33632287] ; [  5.33632287 164.66367713],0
p8,1,0.563911,0.332978,[21 32] ; [75 95],[22.8161435 30.1838565] ; [73.1838565 96.8161435],0
n2,1,0.588859,0.292129,[17  6] ; [40 19],[15.98780488  7.01219512] ; [41.01219512 17.98780488],0
u2,1,0.639525,0.219364,[12 11] ; [41 30],[12.96808511 10.03191489] ; [40.03191489 30.96808511],0
b2,1,0.663476,0.189329,[ 9 18] ; [24 59],[ 8.1 18.9] ; [24.9 58.1],0
b3,1,0.663476,0.189329,[ 9 18] ; [24 59],[ 8.1 18.9] ; [24.9 58.1],0
d1,1,0.679906,0.170231,[27 27] ; [80 91],[25.68 28.32] ; [81.32 89.68],0
p4,1,0.68938,0.159757,[25 29] ; [73 96],[23.7309417 30.2690583] ; [74.2690583 94.7309417],0
n3,1,0.708665,0.139614,[15  8] ; [41 18],[15.70731707  7.29268293] ; [40.29268293 18.70731707],0
v3,1,0.712394,0.135897,[14 38] ; [ 39 121],[13. 39.] ; [ 40. 120.],0
p3,1,0.715463,0.132882,[20 34] ; [ 58 111],[18.88789238 35.11210762] ; [ 59.11210762 109.88789238],0
a4,1,0.747113,0.103973,[18 36] ; [ 53 118],[17.04 36.96] ; [ 53.96 117.04],0
a7,1,0.907587,0.013475,[38 15] ; [124  47],[38.33035714 14.66964286] ; [123.66964286  47.33035714],0
r4,1,0.944406,0.004863,[46  8] ; [145  26],[45.84  8.16] ; [145.16  25.84],0
v4,1,0.94786,0.004276,[50  4] ; [156  12],[50.10810811  3.89189189] ; [155.89189189  12.10810811],0
p2,1,0.954684,0.003229,[39 15] ; [122  46],[39.16216216 14.83783784] ; [121.83783784  46.16216216],0
a3,1,0.975235,0.000964,[31 23] ; [98 72],[31.09821429 22.90178571] ; [97.90178571 72.09821429],0
u1,1,0.982875,0.000461,[ 5 49] ; [ 16 155],[ 5.04 48.96] ; [ 15.96 155.04],0
a5,1,0.989928,0.000159,[31 23] ; [98 73],[30.96 23.04] ; [98.04 72.96],0
