Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,5.7e-05,16.189937,[89 18] ; [16 17],[80.25 26.75] ; [24.75  8.25],1
r3,1,0.000359,12.735829,[103   3] ; [26  7],[98.37410072  7.62589928] ; [30.62589928  2.37410072],1
p10,1,0.001107,10.639855,[88 17] ; [18 14],[81.24087591 23.75912409] ; [24.75912409  7.24087591],0
d4,1,0.001592,9.968628,[91 15] ; [20 13],[84.64748201 21.35251799] ; [26.35251799  6.64748201],0
b1,1,0.001622,9.935161,[27 80] ; [18 15],[34.39285714 72.60714286] ; [10.60714286 22.39285714],0
p9,1,0.001757,9.787317,[90 15] ; [20 13],[83.69565217 21.30434783] ; [26.30434783  6.69565217],0
p2,1,0.005742,7.629564,[90 16] ; [20 12],[84.49275362 21.50724638] ; [25.50724638  6.49275362],0
d1,1,0.005796,7.612574,[68 39] ; [12 21],[61.14285714 45.85714286] ; [18.85714286 14.14285714],0
d5,1,0.009661,6.69643,[88 19] ; [20 13],[82.54285714 24.45714286] ; [25.45714286  7.54285714],0
s8,1,0.031225,4.640565,[29 78] ; [ 3 30],[24.45714286 82.54285714] ; [ 7.54285714 25.45714286],0
v4,1,0.031792,4.609698,[104   3] ; [29  4],[101.65   5.35] ; [31.35  1.65],0
p8,1,0.03253,4.570351,[60 44] ; [12 21],[54.65693431 49.34306569] ; [17.34306569 15.65693431],0
p4,1,0.039842,4.224601,[60 43] ; [12 20],[54.93333333 48.06666667] ; [17.06666667 14.93333333],0
r4,1,0.04332,4.08287,[98  9] ; [26  7],[94.77142857 12.22857143] ; [29.22857143  3.77142857],0
d3,1,0.04934,3.863749,[75 32] ; [17 16],[70.31428571 36.68571429] ; [21.68571429 11.31428571],0
p6,1,0.05263,3.755614,[30 74] ; [ 4 29],[25.81021898 78.18978102] ; [ 8.18978102 24.81021898],0
p7,1,0.060135,3.533644,[65 39] ; [14 18],[60.41176471 43.58823529] ; [18.58823529 13.41176471],0
n6,1,0.066521,3.366849,[90 17] ; [23 10],[86.36428571 20.63571429] ; [26.63571429  6.36428571],0
p3,1,0.075933,3.149864,[52 54] ; [10 22],[47.62318841 58.37681159] ; [14.37681159 17.62318841],0
a7,1,0.095868,2.772975,[82 23] ; [21 12],[78.36956522 26.63043478] ; [24.63043478  8.36956522],0
p12,1,0.097184,2.75116,[14 91] ; [ 1 32],[11.41304348 93.58695652] ; [ 3.58695652 29.41304348],0
b4,1,0.122069,2.390566,[74 33] ; [18 15],[70.31428571 36.68571429] ; [21.68571429 11.31428571],0
r2,1,0.125592,2.346163,[102   3] ; [30  3],[100.43478261   4.56521739] ; [31.56521739  1.43478261],0
s5,1,0.129901,2.293689,[26 77] ; [ 4 28],[22.88888889 80.11111111] ; [ 7.11111111 24.88888889],0
u3,1,0.144735,2.126885,[14 17] ; [9 4],[16.20454545 14.79545455] ; [6.79545455 6.20454545],0
r1,1,0.196563,1.667726,[86 21] ; [23 10],[83.30714286 23.69285714] ; [25.69285714  7.30714286],0
s1,1,0.222949,1.485285,[  2 101] ; [ 2 31],[ 3.02941176 99.97058824] ; [ 0.97058824 32.02941176],0
v1,1,0.24572,1.347473,[66 39] ; [17 16],[63.15217391 41.84782609] ; [19.84782609 13.15217391],0
a3,1,0.259548,1.271165,[76 31] ; [20 13],[73.37142857 33.62857143] ; [22.62857143 10.37142857],0
b5,1,0.306121,1.047336,[64 43] ; [23 10],[66.49285714 40.50714286] ; [20.50714286 12.49285714],0
n3,1,0.326109,0.964286,[13  8] ; [5 1],[14.  7.] ; [4. 2.],0
n4,1,0.336627,0.923234,[78 28] ; [27  6],[80.07194245 25.92805755] ; [24.92805755  8.07194245],0
u1,1,0.376396,0.782439,[13 94] ; [ 6 27],[14.52142857 92.47857143] ; [ 4.47857143 28.52142857],0
a5,1,0.46648,0.530302,[74 33] ; [25  8],[75.66428571 31.33571429] ; [23.33571429  9.66428571],0
s4,1,0.475127,0.510027,[11 94] ; [ 2 30],[ 9.96350365 95.03649635] ; [ 3.03649635 28.96350365],0
a1,1,0.475669,0.508776,[  6 101] ; [ 3 30],[  6.87857143 100.12142857] ; [ 2.12142857 30.87857143],0
u2,1,0.486001,0.485368,[15 15] ; [8 5],[16.04651163 13.95348837] ; [6.95348837 6.04651163],0
b3,1,0.507176,0.43989,[21 36] ; [ 7 17],[19.7037037 37.2962963] ; [ 8.2962963 15.7037037],0
b2,1,0.507176,0.43989,[21 36] ; [ 7 17],[19.7037037 37.2962963] ; [ 8.2962963 15.7037037],0
p1,1,0.520894,0.412122,[ 9 98] ; [ 4 29],[ 9.93571429 97.06428571] ; [ 3.06428571 29.93571429],0
s3,1,0.583397,0.300775,[43 60] ; [12 21],[41.65441176 61.34558824] ; [13.34558824 19.65441176],0
d2,1,0.626711,0.236547,[49 56] ; [17 16],[50.2173913 54.7826087] ; [15.7826087 17.2173913],0
p5,1,0.722547,0.126065,[11 96] ; [ 4 28],[11.54676259 95.45323741] ; [ 3.45323741 28.54676259],0
a8,1,0.725077,0.12368,[12 85] ; [ 3 27],[11.45669291 85.54330709] ; [ 3.54330709 26.45669291],0
s2,1,0.732887,0.116477,[32 74] ; [11 22],[32.79136691 73.20863309] ; [10.20863309 22.79136691],0
