Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.7e-05,17.588874,[ 1 11] ; [37 13],[7.35483871 4.64516129] ; [30.64516129 19.35483871],1
d2,1,0.004308,8.149006,[ 1 11] ; [27 23],[5.41935484 6.58064516] ; [22.58064516 27.41935484],0
a3,1,0.031421,4.629825,[5 7] ; [37 13],[8.12903226 3.87096774] ; [33.87096774 16.12903226],0
d5,1,0.03294,4.548913,[6 6] ; [40 10],[8.90322581 3.09677419] ; [37.09677419 12.90322581],0
p1,1,0.039343,4.245982,[4 8] ; [ 5 45],[ 1.74193548 10.25806452] ; [ 7.25806452 42.74193548],0
p8,1,0.071038,3.258875,[9 3] ; [23 27],[6.19354839 5.80645161] ; [25.80645161 24.19354839],0
n5,1,0.089514,2.883095,[6 5] ; [14 36],[3.60655738 7.39344262] ; [16.39344262 33.60655738],0
s5,1,0.101714,2.678453,[ 1 10] ; [16 31],[3.22413793 7.77586207] ; [13.77586207 33.22413793],0
a8,1,0.106617,2.603662,[2 9] ; [ 2 44],[ 0.77192982 10.22807018] ; [ 3.22807018 42.77192982],0
a6,1,0.160838,1.966334,[10  2] ; [31 19],[7.93548387 4.06451613] ; [33.06451613 16.93548387],0
a5,1,0.162059,1.954909,[7 5] ; [39 11],[8.90322581 3.09677419] ; [37.09677419 12.90322581],0
u3,1,0.17595,1.831502,[4 3] ; [11  2],[5.25 1.75] ; [9.75 3.25],0
s3,1,0.19989,1.643177,[5 7] ; [31 19],[6.96774194 5.03225806] ; [29.03225806 20.96774194],0
u2,1,0.211088,1.563946,[4 3] ; [10  2],[5.15789474 1.84210526] ; [8.84210526 3.15789474],0
v1,1,0.220515,1.501017,[4 8] ; [26 23],[5.90163934 6.09836066] ; [24.09836066 24.90163934],0
p11,1,0.277597,1.178816,[9 3] ; [29 21],[7.35483871 4.64516129] ; [30.64516129 19.35483871],0
p4,1,0.277597,1.178816,[9 3] ; [29 21],[7.35483871 4.64516129] ; [30.64516129 19.35483871],0
a2,1,0.281876,1.158022,[ 1 11] ; [11 39],[2.32258065 9.67741935] ; [ 9.67741935 40.32258065],0
p9,1,0.293322,1.10431,[10  2] ; [34 16],[8.51612903 3.48387097] ; [35.48387097 14.51612903],0
v3,1,0.312886,1.018456,[5 7] ; [12 33],[3.57894737 8.42105263] ; [13.42105263 31.57894737],0
s2,1,0.359237,0.84056,[4 8] ; [24 26],[5.41935484 6.58064516] ; [22.58064516 27.41935484],0
r2,1,0.361814,0.831587,[10  2] ; [46  4],[10.83870968  1.16129032] ; [45.16129032  4.83870968],0
p10,1,0.397984,0.714409,[9 3] ; [31 19],[7.74193548 4.25806452] ; [32.25806452 17.74193548],0
s7,1,0.434446,0.610909,[3 8] ; [18 27],[4.125 6.875] ; [16.875 28.125],0
b3,1,0.454591,0.559181,[2 7] ; [11 20],[2.925 6.075] ; [10.075 20.925],0
b2,1,0.454591,0.559181,[2 7] ; [11 20],[2.925 6.075] ; [10.075 20.925],0
s4,1,0.497788,0.45965,[ 2 10] ; [13 37],[2.90322581 9.09677419] ; [12.09677419 37.90322581],0
r1,1,0.56354,0.333612,[10  2] ; [37 12],[9.24590164 2.75409836] ; [37.75409836 11.24590164],0
n2,1,0.57077,0.321396,[2 1] ; [9 2],[2.35714286 0.64285714] ; [8.64285714 2.35714286],0
n3,1,0.57077,0.321396,[2 1] ; [9 2],[2.35714286 0.64285714] ; [8.64285714 2.35714286],0
p2,1,0.58151,0.3038,[9 3] ; [41  9],[9.67741935 2.32258065] ; [40.32258065  9.67741935],0
b5,1,0.582589,0.302068,[8 4] ; [29 21],[7.16129032 4.83870968] ; [29.83870968 20.16129032],0
p6,1,0.588279,0.29304,[5 7] ; [16 32],[4.2 7.8] ; [16.8 31.2],0
s6,1,0.67027,0.181287,[8 4] ; [30 20],[7.35483871 4.64516129] ; [30.64516129 19.35483871],0
n4,1,0.707614,0.140672,[6 6] ; [28 22],[6.58064516 5.41935484] ; [27.41935484 22.58064516],0
v4,1,0.718531,0.129905,[11  1] ; [44  6],[10.64516129  1.35483871] ; [44.35483871  5.64516129],0
v2,1,0.737669,0.112186,[5 6] ; [24 23],[5.5 5.5] ; [23.5 23.5],0
b1,1,0.763776,0.090316,[8 4] ; [31 19],[7.5483871 4.4516129] ; [31.4516129 18.5483871],0
b4,1,0.803061,0.062194,[6 6] ; [27 23],[6.38709677 5.61290323] ; [26.61290323 23.38709677],0
r4,1,0.813825,0.055458,[10  2] ; [43  7],[10.25806452  1.74193548] ; [42.74193548  7.25806452],0
s8,1,0.814847,0.054839,[5 7] ; [19 31],[4.64516129 7.35483871] ; [19.35483871 30.64516129],0
a4,1,0.814847,0.054839,[5 7] ; [19 31],[4.64516129 7.35483871] ; [19.35483871 30.64516129],0
a7,1,0.862353,0.030061,[8 4] ; [32 18],[7.74193548 4.25806452] ; [32.25806452 17.74193548],0
p7,1,0.964114,0.002024,[8 4] ; [33 16],[8.06557377 3.93442623] ; [32.93442623 16.06557377],0
