Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.019863,5.423924,[5 1] ; [74  1],[5.85185185 0.14814815] ; [73.14814815  1.85185185],0
s3,1,0.085782,2.951806,[2 4] ; [51 24],[3.92592593 2.07407407] ; [49.07407407 25.92592593],0
b5,1,0.101254,2.685676,[2 4] ; [50 25],[3.85185185 2.14814815] ; [48.14814815 26.85185185],0
a8,1,0.124531,2.35939,[2 3] ; [10 61],[0.78947368 4.21052632] ; [11.21052632 59.78947368],0
s1,1,0.168216,1.898766,[1 5] ; [ 3 72],[0.2962963 5.7037037] ; [ 3.7037037 71.2962963],0
d1,1,0.202809,1.622028,[2 4] ; [45 30],[3.48148148 2.51851852] ; [43.51851852 31.48148148],0
a4,1,0.212315,1.555568,[1 5] ; [32 43],[2.44444444 3.55555556] ; [30.55555556 44.44444444],0
s7,1,0.243539,1.359992,[5 1] ; [42 29],[3.66233766 2.33766234] ; [43.33766234 27.66233766],0
p7,1,0.25339,1.304514,[5 1] ; [43 29],[3.69230769 2.30769231] ; [44.30769231 27.69230769],0
v2,1,0.260643,1.265339,[4 1] ; [39 33],[2.79220779 2.20779221] ; [40.20779221 31.79220779],0
s6,1,0.288561,1.126321,[4 2] ; [62 12],[4.95 1.05] ; [61.05 12.95],0
r2,1,0.365133,0.820163,[4 1] ; [68  6],[4.55696203 0.44303797] ; [67.44303797  6.55696203],0
r4,1,0.36812,0.81,[5 1] ; [70  5],[5.55555556 0.44444444] ; [69.44444444  5.55555556],0
d2,1,0.378847,0.774439,[2 4] ; [39 36],[3.03703704 2.96296296] ; [37.96296296 37.03703704],0
b3,1,0.398987,0.711377,[3 3] ; [16 33],[2.07272727 3.92727273] ; [16.92727273 32.07272727],0
b2,1,0.398987,0.711377,[3 3] ; [16 33],[2.07272727 3.92727273] ; [16.92727273 32.07272727],0
a3,1,0.400095,0.708042,[5 1] ; [50 25],[4.07407407 1.92592593] ; [50.92592593 24.07407407],0
p3,1,0.413835,0.667756,[4 2] ; [37 38],[3.03703704 2.96296296] ; [37.96296296 37.03703704],0
n6,1,0.423161,0.641521,[3 3] ; [49 25],[3.9 2.1] ; [48.1 25.9],0
a5,1,0.433987,0.612129,[5 1] ; [51 24],[4.14814815 1.85185185] ; [51.85185185 23.14814815],0
n4,1,0.45039,0.56967,[2 4] ; [37 38],[2.88888889 3.11111111] ; [36.11111111 38.88888889],0
a6,1,0.45094,0.568289,[3 3] ; [49 26],[3.85185185 2.14814815] ; [48.14814815 26.85185185],0
b4,1,0.494398,0.466941,[3 3] ; [48 27],[3.77777778 2.22222222] ; [47.22222222 27.77777778],0
v1,1,0.53462,0.385603,[2 4] ; [33 38],[2.72727273 3.27272727] ; [32.27272727 38.72727273],0
d3,1,0.590679,0.289286,[5 1] ; [55 20],[4.44444444 1.55555556] ; [55.55555556 19.44444444],0
r1,1,0.683331,0.166401,[5 1] ; [57 18],[4.59259259 1.40740741] ; [57.40740741 17.59259259],0
p8,1,0.727142,0.121752,[3 3] ; [32 43],[2.59259259 3.40740741] ; [32.40740741 42.59259259],0
v3,1,0.760509,0.092911,[2 3] ; [24 48],[1.68831169 3.31168831] ; [24.31168831 47.68831169],0
u1,1,0.843563,0.038942,[1 5] ; [15 60],[1.18518519 4.81481481] ; [14.81481481 60.18518519],0
d5,1,0.843563,0.038942,[5 1] ; [60 15],[4.81481481 1.18518519] ; [60.18518519 14.81481481],0
p4,1,0.874902,0.024786,[3 3] ; [40 35],[3.18518519 2.81481481] ; [39.81481481 35.18518519],0
b1,1,0.895693,0.017188,[2 4] ; [27 48],[2.14814815 3.85185185] ; [26.85185185 48.14814815],0
s5,1,0.898461,0.016283,[2 3] ; [26 44],[1.86666667 3.13333333] ; [26.13333333 43.86666667],0
n2,1,0.906537,0.013784,[2 1] ; [12  7],[1.90909091 1.09090909] ; [12.09090909  6.90909091],0
