Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.7e-05,18.479662,[1 5] ; [52  7],[4.89230769 1.10769231] ; [48.10769231 10.89230769],1
d4,1,2.5e-05,17.760263,[2 4] ; [54  4],[5.25 0.75] ; [50.75  7.25],1
v4,1,0.000293,13.11297,[3 3] ; [56  3],[5.44615385 0.55384615] ; [53.55384615  5.44615385],1
r2,1,0.0013,10.342899,[3 2] ; [56  2],[4.68253968 0.31746032] ; [54.31746032  3.68253968],0
d5,1,0.005305,7.772479,[2 4] ; [48 10],[4.6875 1.3125] ; [45.3125 12.6875],0
r1,1,0.017783,5.617384,[2 4] ; [46 13],[4.43076923 1.56923077] ; [43.56923077 15.43076923],0
p9,1,0.048047,3.908338,[1 5] ; [33 23],[3.29032258 2.70967742] ; [30.70967742 25.29032258],0
s6,1,0.07507,3.16853,[3 3] ; [48 11],[4.70769231 1.29230769] ; [46.29230769 12.70769231],0
s4,1,0.129755,2.295432,[3 3] ; [13 46],[1.47692308 4.52307692] ; [14.52307692 44.47692308],0
p7,1,0.172919,1.857456,[1 5] ; [26 31],[2.57142857 3.42857143] ; [24.42857143 32.57142857],0
d1,1,0.189853,1.718759,[2 4] ; [36 23],[3.50769231 2.49230769] ; [34.49230769 24.50769231],0
p8,1,0.237552,1.39506,[1 5] ; [24 34],[2.34375 3.65625] ; [22.65625 35.34375],0
p3,1,0.249407,1.326624,[1 5] ; [24 35],[2.30769231 3.69230769] ; [22.69230769 36.30769231],0
p2,1,0.284052,1.147599,[3 3] ; [42 17],[4.15384615 1.84615385] ; [40.84615385 18.15384615],0
p4,1,0.290095,1.119182,[2 4] ; [33 26],[3.23076923 2.76923077] ; [31.76923077 27.23076923],0
d3,1,0.297941,1.083386,[3 3] ; [41 17],[4.125 1.875] ; [39.875 18.125],0
s8,1,0.328712,0.953966,[2 4] ; [32 27],[3.13846154 2.86153846] ; [30.86153846 28.13846154],0
v2,1,0.347958,0.880889,[2 4] ; [31 27],[3.09375 2.90625] ; [29.90625 28.09375],0
n5,1,0.376261,0.782882,[5 1] ; [38 20],[4.03125 1.96875] ; [38.96875 19.03125],0
b4,1,0.380102,0.770371,[3 3] ; [40 19],[3.96923077 2.03076923] ; [39.03076923 19.96923077],0
s1,1,0.386551,0.749765,[1 5] ; [ 4 55],[0.46153846 5.53846154] ; [ 4.53846154 54.46153846],0
b5,1,0.389843,0.739431,[5 1] ; [39 20],[4.06153846 1.93846154] ; [39.93846154 19.06153846],0
a7,1,0.431954,0.617565,[3 3] ; [39 20],[3.87692308 2.12307692] ; [38.12307692 20.87692308],0
n3,1,0.458902,0.548571,[3 1] ; [11  9],[2.33333333 1.66666667] ; [11.66666667  8.33333333],0
n6,1,0.475729,0.508637,[4 2] ; [46 12],[4.6875 1.3125] ; [45.3125 12.6875],0
a3,1,0.477565,0.504418,[5 1] ; [41 18],[4.24615385 1.75384615] ; [41.75384615 17.24615385],0
s5,1,0.494289,0.467176,[1 4] ; [20 37],[1.69354839 3.30645161] ; [19.30645161 37.69354839],0
u1,1,0.526415,0.401307,[1 5] ; [17 42],[1.66153846 4.33846154] ; [16.33846154 42.66153846],0
s3,1,0.620468,0.245211,[4 2] ; [44 14],[4.5 1.5] ; [43.5 14.5],0
p1,1,0.624753,0.239243,[1 5] ; [ 6 53],[0.64615385 5.35384615] ; [ 6.35384615 52.64615385],0
b2,1,0.625137,0.238713,[3 3] ; [17 26],[2.44897959 3.55102041] ; [17.55102041 25.44897959],0
b3,1,0.625137,0.238713,[3 3] ; [17 26],[2.44897959 3.55102041] ; [17.55102041 25.44897959],0
a2,1,0.674472,0.176415,[2 4] ; [15 44],[1.56923077 4.43076923] ; [15.43076923 43.56923077],0
d2,1,0.683977,0.165683,[3 3] ; [34 24],[3.46875 2.53125] ; [33.53125 24.46875],0
n1,1,0.711138,0.137143,[2 2] ; [12  8],[2.33333333 1.66666667] ; [11.66666667  8.33333333],0
a6,1,0.762539,0.091294,[4 2] ; [35 23],[3.65625 2.34375] ; [35.34375 22.65625],0
p6,1,0.762539,0.091294,[2 4] ; [23 35],[2.34375 3.65625] ; [22.65625 35.34375],0
n4,1,0.81563,0.054368,[5 1] ; [46 12],[4.78125 1.21875] ; [46.21875 11.78125],0
n2,1,0.840825,0.040336,[3 1] ; [14  6],[2.83333333 1.16666667] ; [14.16666667  5.83333333],0
b1,1,0.842764,0.039346,[3 3] ; [27 32],[2.76923077 3.23076923] ; [27.23076923 31.76923077],0
v3,1,0.858252,0.031898,[2 4] ; [20 34],[2.2 3.8] ; [19.8 34.2],0
a5,1,0.886421,0.020402,[4 2] ; [41 18],[4.15384615 1.84615385] ; [40.84615385 18.15384615],0
v1,1,0.967391,0.001671,[3 3] ; [28 29],[2.95238095 3.04761905] ; [28.04761905 28.95238095],0
a4,1,0.968445,0.001565,[3 3] ; [30 29],[3.04615385 2.95384615] ; [29.95384615 29.04615385],0
p11,1,0.968445,0.001565,[3 3] ; [30 29],[3.04615385 2.95384615] ; [29.95384615 29.04615385],0
s2,1,0.977771,0.000776,[4 2] ; [39 20],[3.96923077 2.03076923] ; [39.03076923 19.96923077],0
