Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,101.91858,[110  54] ; [ 23 150],[64.72403561 99.27596439] ; [ 68.27596439 104.72403561],1
d3,1,0.0,94.528318,[149  17] ; [ 67 105],[106.08284024  59.91715976] ; [109.91715976  62.08284024],1
d4,1,0.0,90.924308,[162   3] ; [93 81],[124.11504425  40.88495575] ; [130.88495575  43.11504425],1
d5,1,0.0,87.259588,[163   3] ; [95 78],[126.33628319  39.66371681] ; [131.66371681  41.33628319],1
a2,1,0.0,37.276821,[ 52 114] ; [ 10 164],[ 30.27058824 135.72941176] ; [ 31.72941176 142.27058824],1
a4,1,0.0,35.423234,[92 73] ; [ 42 132],[65.22123894 99.77876106] ; [ 68.77876106 105.22123894],1
u1,1,0.0,29.57814,[ 33 133] ; [  3 171],[ 17.57647059 148.42352941] ; [ 18.42352941 155.57647059],1
a5,1,0.0,29.254685,[133  33] ; [91 83],[109.36470588  56.63529412] ; [114.63529412  59.36470588],1
a3,1,1e-06,23.428747,[125  40] ; [87 86],[103.49112426  61.50887574] ; [108.50887574  64.49112426],1
a6,1,8.7e-05,15.397132,[131  35] ; [103  71],[114.24705882  51.75294118] ; [119.75294118  54.24705882],1
r1,1,0.000267,13.2921,[127  38] ; [101  72],[111.30177515  53.69822485] ; [116.69822485  56.30177515],1
a7,1,0.001024,10.783484,[128  37] ; [105  67],[114.08011869  50.91988131] ; [118.91988131  53.08011869],0
v2,1,0.002898,8.870454,[93 68] ; [69 98],[79.51829268 81.48170732] ; [82.48170732 84.51829268],0
r4,1,0.006617,7.374119,[138  28] ; [123  51],[127.42941176  38.57058824] ; [133.57058824  40.42941176],0
n4,1,0.022977,5.17028,[121  45] ; [106  67],[111.15634218  54.84365782] ; [115.84365782  57.15634218],0
r2,1,0.025005,5.023571,[148  14] ; [143  29],[141.14371257  20.85628743] ; [149.85628743  22.14371257],0
p4,1,0.040842,4.182547,[86 77] ; [ 72 101],[76.64880952 86.35119048] ; [81.35119048 91.64880952],0
n6,1,0.045658,3.994185,[135  30] ; [125  47],[127.29970326  37.70029674] ; [132.70029674  39.29970326],0
v1,1,0.05375,3.72045,[82 82] ; [ 68 104],[73.21428571 90.78571429] ; [76.78571429 95.21428571],0
v4,1,0.059885,3.540579,[152  14] ; [147  26],[146.41297935  19.58702065] ; [152.58702065  20.41297935],0
p11,1,0.060156,3.533066,[126  40] ; [116  58],[118.15294118  47.84705882] ; [123.84705882  50.15294118],0
p7,1,0.070304,3.275915,[90 73] ; [77 93],[81.74474474 81.25525526] ; [85.25525526 84.74474474],0
s1,1,0.10383,2.645714,[  2 163] ; [  7 165],[  4.40652819 160.59347181] ; [  4.59347181 167.40652819],0
p10,1,0.113346,2.506944,[119  45] ; [109  60],[112.28828829  51.71171171] ; [115.71171171  53.28828829],0
s4,1,0.11513,2.482358,[ 13 150] ; [ 23 150],[ 17.46428571 145.53571429] ; [ 18.53571429 154.46428571],0
n1,1,0.137204,2.209042,[11 36] ; [19 32],[14.3877551 32.6122449] ; [15.6122449 35.3877551],0
r3,1,0.151178,2.060329,[147  18] ; [144  28],[142.47774481  22.52225519] ; [148.52225519  23.47774481],0
n2,1,0.154278,2.029437,[27 20] ; [37 15],[30.38383838 16.61616162] ; [33.61616162 18.38383838],0
u3,1,0.167616,1.904133,[23 18] ; [37 49],[19.37007874 21.62992126] ; [40.62992126 45.37007874],0
p12,1,0.274742,1.192916,[  4 160] ; [  8 164],[  5.85714286 158.14285714] ; [  6.14285714 165.85714286],0
p2,1,0.278801,1.172925,[123  39] ; [123  51],[118.60714286  43.39285714] ; [127.39285714  46.60714286],0
p9,1,0.284256,1.146627,[121  41] ; [118  52],[116.62048193  45.37951807] ; [122.37951807  47.62048193],0
p8,1,0.291162,1.11424,[78 85] ; [72 99],[73.20359281 89.79640719] ; [76.79640719 94.20359281],0
v3,1,0.31962,0.990501,[ 50 109] ; [ 45 125],[ 45.9118541 113.0881459] ; [ 49.0881459 120.9118541],0
b1,1,0.322164,0.98014,[ 60 106] ; [ 72 102],[ 64.44705882 101.55294118] ; [ 67.55294118 106.44705882],0
a1,1,0.386236,0.750759,[  7 159] ; [ 11 163],[  8.78823529 157.21176471] ; [  9.21176471 164.78823529],0
p3,1,0.421605,0.645837,[65 98] ; [ 62 112],[ 61.4272997 101.5727003] ; [ 65.5727003 108.4272997],0
s5,1,0.466368,0.530568,[ 31 133] ; [ 27 143],[ 28.47904192 135.52095808] ; [ 29.52095808 140.47904192],0
b3,1,0.471559,0.518319,[29 67] ; [33 61],[31.32631579 64.67368421] ; [30.67368421 63.32631579],0
b2,1,0.471559,0.518319,[29 67] ; [33 61],[31.32631579 64.67368421] ; [30.67368421 63.32631579],0
p1,1,0.479584,0.499809,[ 11 155] ; [ 15 158],[ 12.73156342 153.26843658] ; [ 13.26843658 159.73156342],0
s6,1,0.534036,0.386707,[ 59 105] ; [ 56 115],[ 56.29850746 107.70149254] ; [ 58.70149254 112.29850746],0
a8,1,0.584774,0.29858,[ 15 129] ; [ 14 149],[ 13.60260586 130.39739414] ; [ 15.39739414 147.60260586],0
b5,1,0.590517,0.289537,[103  63] ; [103  71],[100.57647059  65.42352941] ; [105.42352941  68.57647059],0
b4,1,0.633402,0.227475,[93 73] ; [93 81],[90.81176471 75.18823529] ; [95.18823529 78.81176471],0
n3,1,0.658061,0.195887,[29 17] ; [35 17],[30.04081633 15.95918367] ; [33.95918367 18.04081633],0
p6,1,0.703689,0.144662,[ 42 120] ; [ 41 129],[ 40.5 121.5] ; [ 42.5 127.5],0
p5,1,0.729744,0.119347,[ 14 150] ; [ 13 160],[ 13.13946588 150.86053412] ; [ 13.86053412 159.13946588],0
s2,1,0.814948,0.054778,[ 16 149] ; [ 18 154],[ 16.64688427 148.35311573] ; [ 17.35311573 154.64688427],0
u2,1,0.821581,0.050856,[19 21] ; [39 47],[18.41269841 21.58730159] ; [39.58730159 46.41269841],0
s7,1,0.964794,0.001948,[ 24 131] ; [ 26 140],[ 24.14330218 130.85669782] ; [ 25.85669782 140.14330218],0
n5,1,0.968792,0.001531,[111  55] ; [114  57],[110.83086053  55.16913947] ; [114.16913947  56.83086053],0
