Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,54.241453,[ 4 23] ; [80 11],[19.22033898  7.77966102] ; [64.77966102 26.22033898],1
s7,1,0.003848,8.35437,[11 17] ; [60 26],[17.43859649 10.56140351] ; [53.56140351 32.43859649],0
s6,1,0.012482,6.241051,[20  7] ; [81  7],[23.71304348  3.28695652] ; [77.28695652 10.71304348],0
a4,1,0.019225,5.480911,[ 8 20] ; [49 42],[13.41176471 14.58823529] ; [43.58823529 47.41176471],0
s8,1,0.020647,5.356345,[ 9 19] ; [52 39],[14.35294118 13.64705882] ; [46.64705882 44.35294118],0
p2,1,0.028931,4.771686,[18 10] ; [76 15],[22.11764706  5.88235294] ; [71.88235294 19.11764706],0
u2,1,0.040078,4.214583,[1 7] ; [11  9],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
r3,1,0.053359,3.732628,[25  3] ; [87  2],[26.8034188  1.1965812] ; [85.1965812  3.8034188],0
a6,1,0.059914,3.539755,[15 13] ; [66 25],[19.05882353  8.94117647] ; [61.94117647 29.05882353],0
b1,1,0.109795,2.557167,[ 7 21] ; [38 53],[10.58823529 17.41176471] ; [34.41176471 56.58823529],0
d2,1,0.114835,2.48639,[10 18] ; [48 43],[13.64705882 14.35294118] ; [44.35294118 46.64705882],0
a5,1,0.187291,1.7388,[24  4] ; [67 24],[21.41176471  6.58823529] ; [69.58823529 21.41176471],0
u3,1,0.200679,1.637427,[4 4] ; [15  5],[5.42857143 2.57142857] ; [13.57142857  6.42857143],0
p10,1,0.203454,1.617408,[26  2] ; [74 15],[23.93162393  4.06837607] ; [76.06837607 12.93162393],0
n6,1,0.210084,1.570846,[26  2] ; [75 15],[23.96610169  4.03389831] ; [77.03389831 12.96610169],0
d5,1,0.24316,1.362179,[21  7] ; [77 14],[23.05882353  4.94117647] ; [74.94117647 16.05882353],0
n5,1,0.284126,1.147248,[17 11] ; [65 26],[19.29411765  8.70588235] ; [62.70588235 28.29411765],0
p6,1,0.291692,1.111794,[15 13] ; [38 52],[12.57627119 15.42372881] ; [40.42372881 49.57627119],0
b3,1,0.335476,0.927644,[ 4 11] ; [ 7 38],[ 2.75 12.25] ; [ 8.25 36.75],0
b2,1,0.335476,0.927644,[ 4 11] ; [ 7 38],[ 2.75 12.25] ; [ 8.25 36.75],0
p11,1,0.33869,0.915385,[18 10] ; [67 24],[20.  8.] ; [65. 26.],0
a2,1,0.358651,0.84261,[ 5 23] ; [24 67],[ 6.82352941 21.17647059] ; [22.17647059 68.82352941],0
p3,1,0.372169,0.796411,[13 15] ; [51 40],[15.05882353 12.94117647] ; [48.94117647 42.05882353],0
