Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.1e-05,17.333186,[6 4] ; [ 4 49],[1.58730159 8.41269841] ; [ 8.41269841 44.58730159],1
p3,1,0.000488,12.162186,[7 3] ; [ 9 43],[2.58064516 7.41935484] ; [13.41935484 38.58064516],1
r4,1,0.001568,9.996792,[7 3] ; [11 42],[2.85714286 7.14285714] ; [15.14285714 37.85714286],0
s6,1,0.004494,8.072508,[8 2] ; [17 36],[3.96825397 6.03174603] ; [21.03174603 31.96825397],0
p12,1,0.016174,5.783863,[3 7] ; [ 3 50],[0.95238095 9.04761905] ; [ 5.04761905 47.95238095],0
p10,1,0.017049,5.691275,[9 1] ; [25 26],[5.57377049 4.42622951] ; [28.42622951 22.57377049],0
p4,1,0.01879,5.520969,[8 2] ; [21 32],[4.6031746 5.3968254] ; [24.3968254 28.6031746],0
d2,1,0.024978,5.02544,[6 4] ; [13 40],[3.01587302 6.98412698] ; [15.98412698 37.01587302],0
p8,1,0.036378,4.379315,[6 4] ; [14 39],[3.17460317 6.82539683] ; [16.82539683 36.17460317],0
p11,1,0.046081,3.978647,[9 1] ; [30 23],[6.19047619 3.80952381] ; [32.80952381 20.19047619],0
v3,1,0.051326,3.797609,[5 5] ; [11 42],[2.53968254 7.46031746] ; [13.46031746 39.53968254],0
p9,1,0.055246,3.674641,[9 1] ; [29 21],[6.33333333 3.66666667] ; [31.66666667 18.33333333],0
p7,1,0.058622,3.575943,[7 3] ; [20 33],[4.28571429 5.71428571] ; [22.71428571 30.28571429],0
u3,1,0.061407,3.498965,[2 1] ; [ 5 22],[0.7 2.3] ; [ 6.3 20.7],0
n5,1,0.111287,2.535849,[8 2] ; [28 25],[5.71428571 4.28571429] ; [30.28571429 22.71428571],0
p1,1,0.123884,2.367521,[2 8] ; [ 3 50],[0.79365079 9.20634921] ; [ 4.20634921 48.79365079],0
d1,1,0.136086,2.221664,[5 5] ; [14 39],[3.01587302 6.98412698] ; [15.98412698 37.01587302],0
b3,1,0.175567,1.834753,[4 3] ; [ 9 21],[2.45945946 4.54054054] ; [10.54054054 19.45945946],0
b2,1,0.175567,1.834753,[4 3] ; [ 9 21],[2.45945946 4.54054054] ; [10.54054054 19.45945946],0
p2,1,0.1989,1.650435,[8 2] ; [31 22],[6.19047619 3.80952381] ; [32.80952381 20.19047619],0
v1,1,0.222862,1.485849,[5 5] ; [16 37],[3.33333333 6.66666667] ; [17.66666667 35.33333333],0
a3,1,0.245708,1.347544,[7 3] ; [26 26],[5.32258065 4.67741935] ; [27.67741935 24.32258065],0
a5,1,0.267448,1.229789,[7 3] ; [27 26],[5.3968254 4.6031746] ; [28.6031746 24.3968254],0
n4,1,0.267448,1.229789,[7 3] ; [27 26],[5.3968254 4.6031746] ; [28.6031746 24.3968254],0
p6,1,0.281696,1.158891,[3 7] ; [ 8 43],[1.80327869 8.19672131] ; [ 9.19672131 41.80327869],0
v2,1,0.315578,1.007187,[5 5] ; [17 34],[3.60655738 6.39344262] ; [18.39344262 32.60655738],0
v4,1,0.31624,1.004434,[7 3] ; [28 25],[5.55555556 4.44444444] ; [29.44444444 23.55555556],0
n3,1,0.363892,0.824418,[1 2] ; [14  9],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
n2,1,0.363892,0.824418,[1 2] ; [14  9],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
d5,1,0.370389,0.802358,[7 3] ; [29 24],[5.71428571 4.28571429] ; [30.28571429 22.71428571],0
d4,1,0.384305,0.756885,[8 2] ; [35 18],[6.82539683 3.17460317] ; [36.17460317 16.82539683],0
u1,1,0.396423,0.719151,[1 9] ; [ 2 51],[0.47619048 9.52380952] ; [ 2.52380952 50.47619048],0
r1,1,0.398003,0.714351,[5 5] ; [19 34],[3.80952381 6.19047619] ; [20.19047619 32.80952381],0
s7,1,0.43254,0.615994,[3 6] ; [10 37],[2.08928571 6.91071429] ; [10.91071429 36.08928571],0
a7,1,0.456656,0.554078,[4 6] ; [28 25],[5.07936508 4.92063492] ; [26.92063492 26.07936508],0
r3,1,0.49202,0.472106,[8 2] ; [36 16],[7.09677419 2.90322581] ; [36.90322581 15.09677419],0
a6,1,0.525494,0.403096,[6 4] ; [26 27],[5.07936508 4.92063492] ; [26.92063492 26.07936508],0
b5,1,0.540952,0.373779,[5 5] ; [32 21],[5.87301587 4.12698413] ; [31.12698413 21.87301587],0
b1,1,0.618741,0.247642,[5 5] ; [31 22],[5.71428571 4.28571429] ; [30.28571429 22.71428571],0
s3,1,0.624293,0.23988,[2 8] ; [14 37],[2.62295082 7.37704918] ; [13.37704918 37.62295082],0
u2,1,0.625585,0.238095,[2 1] ; [14 13],[1.6 1.4] ; [14.4 12.6],0
s2,1,0.639664,0.219182,[3 7] ; [12 40],[2.41935484 7.58064516] ; [12.58064516 39.41935484],0
a8,1,0.646942,0.209778,[2 7] ; [ 8 42],[1.52542373 7.47457627] ; [ 8.47457627 41.52542373],0
s8,1,0.669039,0.182728,[2 8] ; [14 39],[2.53968254 7.46031746] ; [13.46031746 39.53968254],0
a2,1,0.792401,0.069271,[1 9] ; [ 4 49],[0.79365079 9.20634921] ; [ 4.20634921 48.79365079],0
a1,1,0.792401,0.069271,[1 9] ; [ 4 49],[0.79365079 9.20634921] ; [ 4.20634921 48.79365079],0
b4,1,0.802533,0.062535,[6 4] ; [34 19],[6.34920635 3.65079365] ; [33.65079365 19.34920635],0
a4,1,0.81479,0.054874,[3 7] ; [14 39],[2.6984127 7.3015873] ; [14.3015873 38.6984127],0
d3,1,0.956351,0.002996,[5 5] ; [27 26],[5.07936508 4.92063492] ; [26.92063492 26.07936508],0
