Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,168.073247,[ 4 48] ; [296  39],[40.31007752 11.68992248] ; [259.68992248  75.31007752],1
v4,1,0.0,71.912221,[27 25] ; [310  22],[45.63541667  6.36458333] ; [291.36458333  40.63541667],1
p11,1,0.0,53.170944,[14 38] ; [257  78],[36.41343669 15.58656331] ; [234.58656331 100.41343669],1
p2,1,0.0,46.346883,[18 33] ; [266  66],[37.81723238 13.18276762] ; [246.18276762  85.81723238],1
n6,1,0.0,33.916779,[21 30] ; [266  69],[37.91968912 13.08031088] ; [249.08031088  85.91968912],1
r2,1,0.0,33.538502,[32 18] ; [304  26],[44.21052632  5.78947368] ; [291.78947368  38.21052632],1
r1,1,0.0,28.799626,[19 33] ; [246  88],[35.69948187 16.30051813] ; [229.30051813 104.69948187],1
p9,1,0.0,28.326088,[19 30] ; [250  80],[34.77836412 14.22163588] ; [234.22163588  95.77836412],1
a1,1,1e-06,23.857489,[ 9 43] ; [  8 327],[ 2.28423773 49.71576227] ; [ 14.71576227 320.28423773],1
p10,1,3e-06,21.631913,[19 32] ; [231  97],[33.64116095 17.35883905] ; [216.35883905 111.64116095],1
v2,1,1e-05,19.423961,[10 41] ; [169 151],[24.606469 26.393531] ; [154.393531 165.606469],1
a7,1,7.7e-05,15.641191,[22 30] ; [235 100],[34.53229974 17.46770026] ; [222.46770026 112.53229974],1
b1,1,8.5e-05,15.442256,[33 19] ; [117 218],[20.15503876 31.84496124] ; [129.84496124 205.15503876],1
a6,1,0.000123,14.739118,[23 29] ; [238  97],[35.06976744 16.93023256] ; [225.93023256 109.06976744],1
p4,1,0.000562,11.899067,[12 39] ; [163 167],[23.42519685 27.57480315] ; [151.57480315 178.42519685],1
n3,1,0.000979,10.865938,[12 15] ; [64 18],[18.82568807  8.17431193] ; [57.17431193 24.82568807],1
d4,1,0.001745,9.800045,[29 23] ; [255  79],[38.25906736 13.74093264] ; [245.74093264  88.25906736],0
p8,1,0.001816,9.726579,[12 39] ; [154 175],[22.27894737 28.72105263] ; [143.72105263 185.27894737],0
p7,1,0.0021,9.459904,[16 34] ; [182 147],[26.12137203 23.87862797] ; [171.87862797 157.12137203],0
d3,1,0.004122,8.229261,[23 29] ; [217 117],[32.33160622 19.66839378] ; [207.66839378 126.33160622],0
b5,1,0.005266,7.785739,[22 30] ; [210 125],[31.17312661 20.82687339] ; [200.82687339 134.17312661],0
v1,1,0.005653,7.657574,[13 39] ; [149 179],[22.16842105 29.83157895] ; [139.83157895 188.16842105],0
s6,1,0.006831,7.316786,[10 42] ; [127 202],[18.69816273 33.30183727] ; [118.30183727 210.69816273],0
d5,1,0.008549,6.914745,[31 21] ; [257  78],[38.69767442 13.30232558] ; [249.30232558  85.69767442],0
s1,1,0.013222,6.139113,[ 4 48] ; [  6 326],[ 1.35416667 50.64583333] ; [  8.64583333 323.35416667],0
n2,1,0.013517,6.100218,[12 15] ; [60 25],[17.35714286  9.64285714] ; [54.64285714 30.35714286],0
p3,1,0.016238,5.776909,[12 39] ; [137 196],[19.7890625 31.2109375] ; [129.2109375 203.7890625],0
p6,1,0.017282,5.667474,[ 5 46] ; [ 81 245],[11.63395225 39.36604775] ; [ 74.36604775 251.63395225],0
a5,1,0.028902,4.773467,[26 26] ; [220 115],[33.05426357 18.94573643] ; [212.94573643 122.05426357],0
d1,1,0.064521,3.417183,[18 34] ; [162 173],[24.18604651 27.81395349] ; [155.81395349 179.18604651],0
u3,1,0.066679,3.362943,[ 6 16] ; [60 64],[ 9.94520548 12.05479452] ; [56.05479452 67.94520548],0
v3,1,0.098088,2.736356,[10 42] ; [ 98 224],[15.01604278 36.98395722] ; [ 92.98395722 229.01604278],0
n4,1,0.100152,2.703122,[30 22] ; [231 103],[35.16062176 16.83937824] ; [225.83937824 108.16062176],0
p1,1,0.101018,2.689399,[ 7 45] ; [ 23 310],[ 4.05194805 47.94805195] ; [ 25.94805195 307.05194805],0
s3,1,0.10515,2.625645,[ 6 43] ; [ 74 257],[10.31578947 38.68421053] ; [ 69.68421053 261.31578947],0
u1,1,0.119775,2.420264,[ 2 50] ; [ 36 299],[ 5.10594315 46.89405685] ; [ 32.89405685 302.10594315],0
