Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,40.872595,[65  5] ; [ 6 16],[54.02173913 15.97826087] ; [16.97826087  5.02173913],1
p11,1,0.004237,8.179354,[56 15] ; [11 12],[50.60638298 20.39361702] ; [16.39361702  6.60638298],0
n5,1,0.00573,7.633441,[59 11] ; [13 10],[54.19354839 15.80645161] ; [17.80645161  5.19354839],0
u2,1,0.008151,7.0,[16 12] ; [ 2 12],[12. 16.] ; [6. 8.],0
s6,1,0.017891,5.606749,[45 22] ; [ 9 14],[40.2 26.8] ; [13.8  9.2],0
s1,1,0.051733,3.784374,[ 2 68] ; [ 3 19],[ 3.80434783 66.19565217] ; [ 1.19565217 20.80434783],0
a6,1,0.052595,3.756755,[47 24] ; [10 13],[43.05319149 27.94680851] ; [13.94680851  9.05319149],0
d3,1,0.059625,3.547785,[19 52] ; [11 12],[22.65957447 48.34042553] ; [ 7.34042553 15.65957447],0
p3,1,0.060955,3.51122,[48 23] ; [10 12],[44.27956989 26.72043011] ; [13.72043011  8.27956989],0
s3,1,0.065932,3.381496,[32 38] ; [15  7],[35.76086957 34.23913043] ; [11.23913043 10.76086957],0
a5,1,0.070305,3.275884,[46 25] ; [10 13],[42.29787234 28.70212766] ; [13.70212766  9.29787234],0
b1,1,0.072359,3.228681,[28 43] ; [14  9],[31.72340426 39.27659574] ; [10.27659574 12.72340426],0
a3,1,0.072359,3.228681,[43 28] ; [ 9 14],[39.27659574 31.72340426] ; [12.72340426 10.27659574],0
r3,1,0.079052,3.084293,[67  4] ; [19  4],[64.95744681  6.04255319] ; [21.04255319  1.95744681],0
s7,1,0.081201,3.040706,[33 31] ; [ 7 16],[29.42528736 34.57471264] ; [10.57471264 12.42528736],0
a4,1,0.086722,2.934195,[23 48] ; [ 3 19],[19.84946237 51.15053763] ; [ 6.15053763 15.84946237],0
v1,1,0.10458,2.634272,[38 32] ; [ 8 15],[34.62365591 35.37634409] ; [11.37634409 11.62365591],0
n6,1,0.113474,2.505159,[60 11] ; [16  7],[57.40425532 13.59574468] ; [18.59574468  4.40425532],0
n4,1,0.126703,2.332441,[54 16] ; [14  9],[51.1827957 18.8172043] ; [16.8172043  6.1827957],0
v2,1,0.148178,2.090909,[36 33] ; [ 8 15],[33. 36.] ; [11. 12.],0
a7,1,0.180695,1.791895,[48 23] ; [12 11],[45.31914894 25.68085106] ; [14.68085106  8.31914894],0
p6,1,0.21568,1.532887,[32 39] ; [ 7 16],[29.45744681 41.54255319] ; [ 9.54255319 13.45744681],0
p8,1,0.225279,1.470425,[39 31] ; [ 9 13],[36.52173913 33.47826087] ; [11.47826087 10.52173913],0
b5,1,0.232582,1.425,[41 30] ; [10 13],[38.5212766 32.4787234] ; [12.4787234 10.5212766],0
s8,1,0.261263,1.262053,[31 40] ; [ 7 16],[28.70212766 42.29787234] ; [ 9.29787234 13.70212766],0
n1,1,0.276116,1.186108,[8 9] ; [5 2],[9.20833333 7.79166667] ; [3.79166667 3.20833333],0
s5,1,0.298149,1.082457,[19 48] ; [ 4 19],[17.12222222 49.87777778] ; [ 5.87777778 17.12222222],0
b3,1,0.314019,1.013697,[13 32] ; [ 3 15],[11.42857143 33.57142857] ; [ 4.57142857 13.42857143],0
b2,1,0.314019,1.013697,[13 32] ; [ 3 15],[11.42857143 33.57142857] ; [ 4.57142857 13.42857143],0
n2,1,0.355703,0.853006,[12  5] ; [7 1],[12.92  4.08] ; [6.08 1.92],0
p5,1,0.370721,0.801247,[12 59] ; [ 2 20],[10.68817204 60.31182796] ; [ 3.31182796 18.68817204],0
p7,1,0.394335,0.725533,[49 22] ; [18  5],[50.60638298 20.39361702] ; [16.39361702  6.60638298],0
p2,1,0.488479,0.479874,[60 11] ; [18  5],[58.91489362 12.08510638] ; [19.08510638  3.91489362],0
r2,1,0.529112,0.396096,[64  6] ; [20  3],[63.22580645  6.77419355] ; [20.77419355  2.22580645],0
r1,1,0.573184,0.317384,[50 20] ; [15  8],[48.92473118 21.07526882] ; [16.07526882  6.92473118],0
d5,1,0.720783,0.127743,[37 34] ; [11 12],[36.25531915 34.74468085] ; [11.74468085 11.25531915],0
a8,1,0.735596,0.114035,[ 8 58] ; [ 3 17],[ 8.44186047 57.55813953] ; [ 2.55813953 17.44186047],0
b4,1,0.81039,0.057563,[36 35] ; [11 12],[35.5 35.5] ; [11.5 11.5],0
d1,1,0.811228,0.057045,[ 4 67] ; [ 1 22],[ 3.77659574 67.22340426] ; [ 1.22340426 21.77659574],0
u3,1,0.826483,0.048055,[13 15] ; [6 8],[12.66666667 15.33333333] ; [6.33333333 7.66666667],0
v3,1,0.935427,0.006564,[25 45] ; [ 8 15],[24.83870968 45.16129032] ; [ 8.16129032 14.83870968],0
s2,1,0.947339,0.004362,[26 44] ; [ 8 14],[25.86956522 44.13043478] ; [ 8.13043478 13.86956522],0
p1,1,0.956671,0.002952,[12 59] ; [ 4 19],[12.08510638 58.91489362] ; [ 3.91489362 19.08510638],0
r4,1,0.956671,0.002952,[59 12] ; [19  4],[58.91489362 12.08510638] ; [19.08510638  3.91489362],0
d2,1,0.960334,0.002474,[22 49] ; [ 7 16],[21.90425532 49.09574468] ; [ 7.09574468 15.90425532],0
s4,1,0.978149,0.00075,[12 58] ; [ 4 19],[12.04301075 57.95698925] ; [ 3.95698925 19.04301075],0
v4,1,0.985293,0.00034,[64  6] ; [21  2],[63.97849462  6.02150538] ; [21.02150538  1.97849462],0
