Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.019131,5.489521,[16  7] ; [1 5],[13.48275862  9.51724138] ; [3.51724138 2.48275862],0
p10,1,0.046572,3.960775,[ 3 20] ; [3 3],[ 4.75862069 18.24137931] ; [1.24137931 4.75862069],0
p3,1,0.05365,3.723568,[ 9 14] ; [5 1],[11.10344828 11.89655172] ; [2.89655172 3.10344828],0
s7,1,0.057667,3.603232,[ 7 14] ; [4 1],[ 8.88461538 12.11538462] ; [2.11538462 2.88461538],0
s8,1,0.096451,2.763269,[ 4 19] ; [3 3],[ 5.55172414 17.44827586] ; [1.44827586 4.55172414],0
b4,1,0.103332,2.653345,[16  7] ; [2 4],[14.27586207  8.72413793] ; [3.72413793 2.27586207],0
s3,1,0.200602,1.637984,[12 10] ; [5 1],[13.35714286  8.64285714] ; [3.64285714 2.35714286],0
d4,1,0.228052,1.452972,[13 10] ; [5 1],[14.27586207  8.72413793] ; [3.72413793 2.27586207],0
s2,1,0.262125,1.257498,[ 9 13] ; [4 2],[10.21428571 11.78571429] ; [2.78571429 3.21428571],0
a6,1,0.302557,1.062891,[ 9 14] ; [1 5],[ 7.93103448 15.06896552] ; [2.06896552 3.93103448],0
u2,1,0.310437,1.028815,[5 6] ; [3 1],[5.86666667 5.13333333] ; [2.13333333 1.86666667],0
a7,1,0.311405,1.024707,[13 10] ; [2 4],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
n4,1,0.311405,1.024707,[13 10] ; [2 4],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
s5,1,0.392742,0.730435,[ 5 18] ; [2 3],[ 5.75 17.25] ; [1.25 3.75],0
a4,1,0.39299,0.72967,[ 8 15] ; [1 5],[ 7.13793103 15.86206897] ; [1.86206897 4.13793103],0
s6,1,0.39299,0.72967,[15  8] ; [5 1],[15.86206897  7.13793103] ; [4.13793103 1.86206897],0
v1,1,0.39299,0.72967,[ 8 15] ; [1 5],[ 7.13793103 15.86206897] ; [1.86206897 4.13793103],0
r3,1,0.39299,0.72967,[15  8] ; [5 1],[15.86206897  7.13793103] ; [4.13793103 1.86206897],0
d2,1,0.410806,0.676467,[12 11] ; [2 4],[11.10344828 11.89655172] ; [2.89655172 3.10344828],0
a3,1,0.410806,0.676467,[12 11] ; [2 4],[11.10344828 11.89655172] ; [2.89655172 3.10344828],0
r2,1,0.422702,0.642792,[18  4] ; [4 2],[17.28571429  4.71428571] ; [4.71428571 1.28571429],0
n6,1,0.493886,0.46805,[15  8] ; [3 3],[14.27586207  8.72413793] ; [3.72413793 2.27586207],0
p11,1,0.493886,0.46805,[ 8 15] ; [3 3],[ 8.72413793 14.27586207] ; [2.27586207 3.72413793],0
d3,1,0.524967,0.404125,[12 11] ; [4 2],[12.68965517 10.31034483] ; [3.31034483 2.68965517],0
r1,1,0.524967,0.404125,[12 11] ; [4 2],[12.68965517 10.31034483] ; [3.31034483 2.68965517],0
v2,1,0.554492,0.349332,[ 5 18] ; [2 4],[ 5.55172414 17.44827586] ; [1.44827586 4.55172414],0
d1,1,0.630209,0.231777,[ 9 14] ; [3 3],[ 9.51724138 13.48275862] ; [2.48275862 3.51724138],0
v3,1,0.631069,0.230614,[ 6 17] ; [1 5],[ 5.55172414 17.44827586] ; [1.44827586 4.55172414],0
d5,1,0.723582,0.125086,[17  6] ; [4 2],[16.65517241  6.34482759] ; [4.34482759 1.65517241],0
r4,1,0.774826,0.081835,[13 10] ; [3 3],[12.68965517 10.31034483] ; [3.31034483 2.68965517],0
a5,1,0.774826,0.081835,[10 13] ; [3 3],[10.31034483 12.68965517] ; [2.68965517 3.31034483],0
n3,1,0.825498,0.048611,[7 5] ; [1 1],[6.85714286 5.14285714] ; [1.14285714 0.85714286],0
n5,1,0.924393,0.009006,[12 11] ; [3 3],[11.89655172 11.10344828] ; [3.10344828 2.89655172],0
u3,1,0.929859,0.007748,[8 3] ; [3 1],[8.06666667 2.93333333] ; [2.93333333 1.06666667],0
