Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.159934,[17  5] ; [25 76],[ 7.51219512 14.48780488] ; [34.48780488 66.51219512],1
s6,1,1.1e-05,19.259984,[18  3] ; [34 67],[ 8.95081967 12.04918033] ; [43.04918033 57.95081967],1
p3,1,1.3e-05,19.072011,[15  7] ; [22 81],[ 6.512 15.488] ; [30.488 72.512],1
p8,1,1.3e-05,19.028088,[13  9] ; [16 86],[ 5.14516129 16.85483871] ; [23.85483871 78.14516129],1
s8,1,0.000514,12.065466,[12  9] ; [21 82],[ 5.58870968 15.41129032] ; [27.41129032 75.58870968],1
v1,1,0.001585,9.977175,[13  9] ; [25 76],[ 6.79674797 15.20325203] ; [31.20325203 69.79674797],0
s2,1,0.001651,9.901467,[14  8] ; [29 73],[ 7.62903226 14.37096774] ; [35.37096774 66.62903226],0
p4,1,0.003651,8.449522,[12 10] ; [24 78],[ 6.38709677 15.61290323] ; [29.61290323 72.38709677],0
s7,1,0.009758,6.678474,[11 11] ; [22 75],[ 6.10084034 15.89915966] ; [26.89915966 70.10084034],0
v4,1,0.018586,5.540039,[21  1] ; [74 29],[16.72  5.28] ; [78.28 24.72],0
r3,1,0.022399,5.214535,[21  1] ; [75 28],[16.896  5.104] ; [79.104 23.896],0
s5,1,0.022738,5.18843,[ 8 11] ; [18 80],[ 4.22222222 14.77777778] ; [21.77777778 76.22222222],0
r4,1,0.028969,4.76944,[19  3] ; [64 39],[14.608  7.392] ; [68.392 34.608],0
u2,1,0.04236,4.120756,[7 3] ; [15 28],[4.1509434 5.8490566] ; [17.8490566 25.1509434],0
v2,1,0.047018,3.94475,[12  9] ; [34 66],[ 7.98347107 13.01652893] ; [38.01652893 61.98347107],0
r2,1,0.082121,3.022417,[21  1] ; [80 20],[18.21311475  3.78688525] ; [82.78688525 17.21311475],0
a2,1,0.106429,2.606465,[ 1 21] ; [19 84],[ 3.52 18.48] ; [16.48 86.52],0
u3,1,0.125498,2.347328,[7 3] ; [19 25],[4.81481481 5.18518519] ; [21.18518519 22.81481481],0
p9,1,0.133476,2.251607,[15  7] ; [49 48],[11.83193277 10.16806723] ; [52.16806723 44.83193277],0
a8,1,0.170743,1.876403,[ 4 17] ; [ 9 92],[ 2.23770492 18.76229508] ; [10.76229508 90.23770492],0
b5,1,0.206808,1.593632,[16  6] ; [60 43],[13.376  8.624] ; [62.624 40.376],0
u1,1,0.275576,1.188779,[ 1 21] ; [13 90],[ 2.464 19.536] ; [11.536 91.464],0
n4,1,0.333413,0.935598,[11 11] ; [63 40],[13.024  8.976] ; [60.976 42.024],0
r1,1,0.345004,0.891748,[15  7] ; [59 44],[13.024  8.976] ; [60.976 42.024],0
b2,1,0.366546,0.815341,[7 9] ; [21 45],[ 5.46341463 10.53658537] ; [22.53658537 43.46341463],0
b3,1,0.366546,0.815341,[7 9] ; [21 45],[ 5.46341463 10.53658537] ; [22.53658537 43.46341463],0
s3,1,0.418357,0.654926,[11 11] ; [41 60],[ 9.30081301 12.69918699] ; [42.69918699 58.30081301],0
n6,1,0.421057,0.647363,[16  6] ; [65 37],[14.37096774  7.62903226] ; [66.62903226 35.37096774],0
p10,1,0.439814,0.596767,[13  9] ; [50 50],[11.36065574 10.63934426] ; [51.63934426 48.36065574],0
d1,1,0.447082,0.578039,[12 10] ; [47 56],[10.384 11.616] ; [48.616 54.384],0
p11,1,0.463328,0.537842,[13  9] ; [52 51],[11.44 10.56] ; [53.56 49.44],0
u4,1,0.468863,0.524654,[ 1 21] ; [  2 101],[ 0.528 21.472] ; [  2.472 100.528],0
p12,1,0.474235,0.512092,[ 1 21] ; [  2 100],[ 0.53225806 21.46774194] ; [ 2.46774194 99.53225806],0
d5,1,0.488833,0.479095,[16  6] ; [67 36],[14.608  7.392] ; [68.392 34.608],0
a1,1,0.510564,0.432912,[ 1 21] ; [ 9 94],[ 1.76 20.24] ; [ 8.24 94.76],0
b1,1,0.514957,0.423981,[13  9] ; [53 50],[11.616 10.384] ; [54.384 48.616],0
d4,1,0.603508,0.269737,[17  5] ; [74 29],[16.016  5.984] ; [74.984 28.016],0
a5,1,0.624582,0.239479,[12 10] ; [62 41],[13.024  8.976] ; [60.976 42.024],0
b4,1,0.686001,0.163448,[13  9] ; [56 47],[12.144  9.856] ; [56.856 46.144],0
n3,1,0.70224,0.146152,[4 3] ; [31 17],[4.45454545 2.54545455] ; [30.54545455 17.45454545],0
d2,1,0.704125,0.144216,[11 11] ; [46 55],[10.19512195 11.80487805] ; [46.80487805 54.19512195],0
s1,1,0.705439,0.142875,[ 2 20] ; [ 7 96],[ 1.584 20.416] ; [ 7.416 95.584],0
p1,1,0.705439,0.142875,[ 2 20] ; [ 7 96],[ 1.584 20.416] ; [ 7.416 95.584],0
a6,1,0.709148,0.139129,[11 11] ; [56 47],[11.792 10.208] ; [55.208 47.792],0
a3,1,0.739132,0.110891,[12 10] ; [59 42],[12.69918699  9.30081301] ; [58.30081301 42.69918699],0
n1,1,0.761708,0.091954,[3 4] ; [24 25],[3.375 3.625] ; [23.625 25.375],0
n5,1,0.803293,0.062045,[14  8] ; [62 40],[13.48387097  8.51612903] ; [62.51612903 39.48387097],0
a7,1,0.814073,0.055307,[12 10] ; [59 44],[12.496  9.504] ; [58.504 44.496],0
a4,1,0.871396,0.026207,[10 12] ; [44 57],[ 9.65853659 12.34146341] ; [44.34146341 56.65853659],0
s4,1,0.904937,0.014263,[ 5 17] ; [22 80],[ 4.79032258 17.20967742] ; [22.20967742 79.79032258],0
d3,1,0.967026,0.001709,[11 11] ; [51 52],[10.912 11.088] ; [51.088 51.912],0
