Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,36.932649,[86 15] ; [29 42],[67.52906977 33.47093023] ; [47.47093023 23.52906977],1
r3,1,5.3e-05,16.345792,[90 11] ; [45 26],[79.27325581 21.72674419] ; [55.72674419 15.27325581],1
r2,1,9.1e-05,15.309974,[91  8] ; [48 22],[81.4260355 17.5739645] ; [57.5739645 12.4260355],1
p11,1,0.000984,10.856956,[77 24] ; [37 34],[66.94186047 34.05813953] ; [47.05813953 23.94186047],1
p10,1,0.003257,8.657708,[67 32] ; [31 38],[57.75 41.25] ; [40.25 28.75],0
a5,1,0.003522,8.514982,[64 37] ; [29 42],[54.61046512 46.38953488] ; [38.38953488 32.61046512],0
d4,1,0.005506,7.705424,[74 26] ; [38 33],[65.49707602 34.50292398] ; [46.50292398 24.49707602],0
p2,1,0.00863,6.897904,[75 24] ; [39 30],[67.17857143 31.82142857] ; [46.82142857 22.17857143],0
v4,1,0.014495,5.976829,[86 13] ; [51 20],[79.78235294 19.21764706] ; [57.21764706 13.78235294],0
v1,1,0.021744,5.266151,[46 54] ; [20 50],[38.82352941 61.17647059] ; [27.17647059 42.82352941],0
v2,1,0.027905,4.833906,[46 51] ; [21 48],[39.15060241 57.84939759] ; [27.84939759 41.15060241],0
d5,1,0.031431,4.629256,[69 32] ; [37 34],[62.24418605 38.75581395] ; [43.75581395 27.24418605],0
b1,1,0.038736,4.272417,[38 63] ; [38 33],[44.62790698 56.37209302] ; [31.37209302 39.62790698],0
a3,1,0.039807,4.226077,[65 36] ; [34 36],[58.47368421 42.52631579] ; [40.52631579 29.47368421],0
u3,1,0.041097,4.172027,[17 19] ; [ 9 28],[12.82191781 23.17808219] ; [13.17808219 23.82191781],0
s6,1,0.051581,3.789303,[45 52] ; [22 48],[38.91616766 58.08383234] ; [28.08383234 41.91616766],0
s5,1,0.071586,3.24628,[32 65] ; [14 55],[26.87951807 70.12048193] ; [19.12048193 49.87951807],0
p3,1,0.072276,3.23055,[37 62] ; [17 53],[31.63313609 67.36686391] ; [22.36686391 47.63313609],0
v3,1,0.073645,3.19986,[28 68] ; [12 58],[23.13253012 72.86746988] ; [16.86746988 53.13253012],0
s1,1,0.083154,3.002149,[ 7 91] ; [ 1 70],[ 4.63905325 93.36094675] ; [ 3.36094675 67.63905325],0
d1,1,0.107586,2.589333,[42 59] ; [21 50],[36.99418605 64.00581395] ; [26.00581395 44.99418605],0
s3,1,0.112394,2.520238,[43 57] ; [21 47],[38.0952381 61.9047619] ; [25.9047619 42.0952381],0
a4,1,0.126525,2.334631,[43 57] ; [22 48],[38.23529412 61.76470588] ; [26.76470588 43.23529412],0
u2,1,0.162854,1.947521,[18 17] ; [13 24],[15.06944444 19.93055556] ; [15.93055556 21.06944444],0
s7,1,0.209466,1.575116,[25 70] ; [12 55],[21.69753086 73.30246914] ; [15.30246914 51.69753086],0
a6,1,0.216261,1.529009,[48 53] ; [27 44],[44.04069767 56.95930233] ; [30.95930233 40.04069767],0
p7,1,0.245126,1.350868,[52 44] ; [32 39],[48.28742515 47.71257485] ; [35.71257485 35.28742515],0
n4,1,0.253458,1.304141,[71 30] ; [44 27],[67.52906977 33.47093023] ; [47.47093023 23.52906977],0
p6,1,0.257394,1.28272,[23 74] ; [11 56],[20.1097561 76.8902439] ; [13.8902439 53.1097561],0
a1,1,0.355634,0.853253,[ 5 96] ; [ 6 65],[ 6.45930233 94.54069767] ; [ 4.54069767 66.45930233],0
p9,1,0.404076,0.696164,[68 32] ; [42 26],[65.47619048 34.52380952] ; [44.52380952 23.47619048],0
n3,1,0.407126,0.687177,[18  8] ; [20 14],[16.46666667  9.53333333] ; [21.53333333 12.46666667],0
n6,1,0.441115,0.593381,[71 28] ; [47 24],[68.71764706 30.28235294] ; [49.28235294 21.71764706],0
p4,1,0.465694,0.532175,[41 57] ; [25 44],[38.73053892 59.26946108] ; [27.26946108 41.73053892],0
u1,1,0.48566,0.486127,[ 5 96] ; [ 2 69],[ 4.11046512 96.88953488] ; [ 2.88953488 68.11046512],0
p12,1,0.505891,0.442556,[ 3 97] ; [ 1 69],[ 2.35294118 97.64705882] ; [ 1.64705882 68.35294118],0
a8,1,0.516322,0.421234,[ 8 85] ; [ 4 64],[ 6.93167702 86.06832298] ; [ 5.06832298 62.93167702],0
p1,1,0.524644,0.404755,[ 6 95] ; [ 6 65],[ 7.04651163 93.95348837] ; [ 4.95348837 66.04651163],0
p8,1,0.535442,0.384054,[35 65] ; [21 48],[33.13609467 66.86390533] ; [22.86390533 46.13609467],0
b2,1,0.590295,0.289884,[22 39] ; [13 29],[20.72815534 40.27184466] ; [14.27184466 27.72815534],0
