Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000248,13.430193,[ 4 42] ; [20 28],[11.74468085 34.25531915] ; [12.25531915 35.74468085],1
r1,1,0.012004,6.310279,[25 22] ; [38 11],[30.84375 16.15625] ; [32.15625 16.84375],0
d5,1,0.064893,3.407687,[29 17] ; [40 10],[33.0625 12.9375] ; [35.9375 14.0625],0
b1,1,0.08733,2.922916,[21 26] ; [14 36],[16.95876289 30.04123711] ; [18.04123711 31.95876289],0
p12,1,0.096795,2.757569,[ 1 46] ; [ 5 43],[ 2.96842105 44.03157895] ; [ 3.03157895 44.96842105],0
p8,1,0.098199,2.734545,[18 29] ; [26 21],[22. 25.] ; [22. 25.],0
b4,1,0.135319,2.230403,[24 23] ; [33 17],[27.6185567 19.3814433] ; [29.3814433 20.6185567],0
r4,1,0.139824,2.17989,[36 11] ; [44  6],[38.7628866  8.2371134] ; [41.2371134  8.7628866],0
v1,1,0.144162,2.132958,[18 28] ; [26 22],[21.53191489 24.46808511] ; [22.46808511 25.53191489],0
p7,1,0.155935,2.013212,[23 20] ; [32 15],[26.27777778 16.72222222] ; [28.72222222 18.27777778],0
d3,1,0.170347,1.879887,[27 19] ; [36 14],[30.1875 15.8125] ; [32.8125 17.1875],0
a5,1,0.197412,1.661419,[24 23] ; [32 18],[27.13402062 19.86597938] ; [28.86597938 21.13402062],0
p11,1,0.198233,1.655344,[27 20] ; [35 15],[30.04123711 16.95876289] ; [31.95876289 18.04123711],0
u2,1,0.203628,1.616162,[13  7] ; [ 9 11],[11.  9.] ; [11.  9.],0
r2,1,0.206691,1.594456,[42  5] ; [48  2],[43.60824742  3.39175258] ; [46.39175258  3.60824742],0
s6,1,0.252516,1.309329,[36 11] ; [42  7],[38.1875  8.8125] ; [39.8125  9.1875],0
d1,1,0.259582,1.270985,[20 27] ; [27 23],[22.77319588 24.22680412] ; [24.22680412 25.77319588],0
u1,1,0.262882,1.253514,[ 4 43] ; [ 8 42],[ 5.81443299 41.18556701] ; [ 6.18556701 43.81443299],0
a2,1,0.3025,1.063139,[ 5 42] ; [ 9 41],[ 6.78350515 40.21649485] ; [ 7.21649485 42.78350515],0
v4,1,0.342362,0.901565,[42  4] ; [48  2],[43.125  2.875] ; [46.875  3.125],0
a7,1,0.348658,0.878336,[31 15] ; [38 12],[33.0625 12.9375] ; [35.9375 14.0625],0
d4,1,0.368047,0.810247,[35 12] ; [41  9],[36.82474227 10.17525773] ; [39.17525773 10.82474227],0
p2,1,0.377041,0.780327,[32 14] ; [38 11],[33.89473684 12.10526316] ; [36.10526316 12.89473684],0
a8,1,0.398025,0.714286,[ 4 41] ; [ 2 43],[ 3. 42.] ; [ 3. 42.],0
p1,1,0.405041,0.693311,[ 5 41] ; [ 3 46],[ 3.87368421 42.12631579] ; [ 4.12631579 44.87368421],0
s5,1,0.469717,0.522641,[21 26] ; [24 22],[22.74193548 24.25806452] ; [22.25806452 23.74193548],0
n5,1,0.482303,0.493652,[15 32] ; [19 30],[16.64583333 30.35416667] ; [17.35416667 31.64583333],0
u3,1,0.490153,0.47619,[15  5] ; [13  7],[14.  6.] ; [14.  6.],0
d2,1,0.51269,0.428574,[19 28] ; [17 33],[17.44329897 29.55670103] ; [18.55670103 31.44329897],0
s1,1,0.533031,0.38861,[ 2 45] ; [ 1 48],[ 1.46875 45.53125] ; [ 1.53125 47.46875],0
s3,1,0.536927,0.381265,[39  8] ; [39 11],[37.79381443  9.20618557] ; [40.20618557  9.79381443],0
p4,1,0.545496,0.365448,[23 24] ; [27 22],[24.47916667 22.52083333] ; [25.52083333 23.47916667],0
p6,1,0.567577,0.326753,[15 32] ; [18 30],[16.32631579 30.67368421] ; [16.67368421 31.32631579],0
p10,1,0.585227,0.29786,[34 12] ; [37 10],[35.11827957 10.88172043] ; [35.88172043 11.11827957],0
n6,1,0.613792,0.25469,[29 18] ; [32 16],[30.17894737 16.82105263] ; [30.82105263 17.17894737],0
a3,1,0.640929,0.217529,[26 21] ; [30 20],[27.13402062 19.86597938] ; [28.86597938 21.13402062],0
n3,1,0.64177,0.216435,[11  7] ; [11  5],[11.64705882  6.35294118] ; [10.35294118  5.64705882],0
n1,1,0.678187,0.172174,[ 6 12] ; [ 4 11],[ 5.45454545 12.54545455] ; [ 4.54545455 10.45454545],0
b5,1,0.697959,0.150604,[30 17] ; [30 20],[29.07216495 17.92783505] ; [30.92783505 19.07216495],0
p3,1,0.710315,0.137963,[19 28] ; [18 31],[18.11458333 28.88541667] ; [18.88541667 30.11458333],0
s7,1,0.728231,0.120742,[19 25] ; [22 25],[19.82417582 24.17582418] ; [21.17582418 25.82417582],0
p9,1,0.756752,0.095944,[36 10] ; [38  9],[36.60215054  9.39784946] ; [37.39784946  9.60215054],0
n2,1,0.802644,0.062463,[14  4] ; [13  3],[14.29411765  3.70588235] ; [12.70588235  3.29411765],0
s4,1,0.814896,0.05481,[18 29] ; [18 32],[17.44329897 29.55670103] ; [18.55670103 31.44329897],0
s8,1,0.91659,0.010968,[23 24] ; [25 25],[23.25773196 23.74226804] ; [24.74226804 25.25773196],0
a1,1,0.937627,0.006123,[ 3 44] ; [ 3 47],[ 2.90721649 44.09278351] ; [ 3.09278351 46.90721649],0
p5,1,0.948522,0.004168,[ 2 44] ; [ 2 47],[ 1.93684211 44.06315789] ; [ 2.06315789 46.93684211],0
a4,1,0.98175,0.000523,[14 33] ; [15 35],[14.05154639 32.94845361] ; [14.94845361 35.05154639],0
a6,1,0.992833,8.1e-05,[32 15] ; [34 16],[31.97938144 15.02061856] ; [34.02061856 15.97938144],0
