Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,1.6e-05,18.659978,[13 72] ; [29 31],[24.62068966 60.37931034] ; [17.37931034 42.62068966],1
b3,1,1.6e-05,18.659978,[13 72] ; [29 31],[24.62068966 60.37931034] ; [17.37931034 42.62068966],1
p1,1,5.1e-05,16.3937,[  2 143] ; [15 88],[  9.93951613 135.06048387] ; [ 7.06048387 95.93951613],1
p4,1,0.000101,15.125873,[75 71] ; [78 25],[89.71084337 56.28915663] ; [63.28915663 39.71084337],1
p3,1,0.000372,12.668358,[63 83] ; [68 35],[76.81124498 69.18875502] ; [54.18875502 48.81124498],1
p5,1,0.002451,9.176626,[  8 137] ; [18 85],[ 15.2016129 129.7983871] ; [10.7983871 92.2016129],0
p12,1,0.003378,8.590955,[  3 143] ; [11 91],[  8.24193548 137.75806452] ; [ 5.75806452 96.24193548],0
p8,1,0.026223,4.941248,[80 63] ; [72 31],[88.35772358 54.64227642] ; [63.64227642 39.35772358],0
a1,1,0.03075,4.666873,[  3 143] ; [ 8 95],[  6.4497992 139.5502008] ; [ 4.5502008 98.4497992],0
s4,1,0.031316,4.635563,[ 23 123] ; [27 73],[ 29.67479675 116.32520325] ; [20.32520325 79.67479675],0
s5,1,0.049081,3.87257,[ 38 107] ; [37 60],[ 44.93801653 100.06198347] ; [30.06198347 66.93801653],0
s2,1,0.050151,3.83639,[66 80] ; [59 43],[73.58870968 72.41129032] ; [51.41129032 50.58870968],0
s7,1,0.062338,3.474067,[60 77] ; [55 43],[67.04255319 69.95744681] ; [47.95744681 50.04255319],0
a7,1,0.064104,3.427887,[109  37] ; [65 37],[102.43548387  43.56451613] ; [71.56451613 30.43548387],0
s6,1,0.087614,2.917667,[88 56] ; [71 28],[94.22222222 49.77777778] ; [64.77777778 34.22222222],0
b1,1,0.100519,2.697289,[57 89] ; [51 52],[63.3253012 82.6746988] ; [44.6746988 58.3253012],0
n6,1,0.119301,2.426468,[110  34] ; [87 16],[114.85020243  29.14979757] ; [82.14979757 20.85020243],0
a4,1,0.130871,2.282137,[50 96] ; [45 58],[55.70281124 90.29718876] ; [39.29718876 63.70281124],0
r2,1,0.156824,2.004584,[128  16] ; [96  6],[131.12195122  12.87804878] ; [92.87804878  9.12195122],0
d5,1,0.160032,1.973922,[115  30] ; [73 29],[110.36437247  34.63562753] ; [77.63562753 24.36437247],0
n5,1,0.201487,1.631566,[90 55] ; [72 31],[94.71774194 50.28225806] ; [67.28225806 35.71774194],0
u1,1,0.203686,1.615748,[ 16 130] ; [17 86],[ 19.34939759 126.65060241] ; [13.65060241 89.34939759],0
v2,1,0.2085,1.581812,[65 74] ; [39 62],[60.23333333 78.76666667] ; [43.76666667 57.23333333],0
s8,1,0.220339,1.502162,[50 95] ; [43 59],[54.5951417 90.4048583] ; [38.4048583 63.5951417],0
r3,1,0.242348,1.366884,[134  11] ; [97  4],[136.15853659   8.84146341] ; [94.84146341  6.15853659],0
b4,1,0.243161,1.362177,[79 67] ; [48 55],[74.46586345 71.53413655] ; [52.53413655 50.46586345],0
p2,1,0.250828,1.318685,[123  23] ; [92 11],[126.06425703  19.93574297] ; [88.93574297 14.06425703],0
d2,1,0.281342,1.160596,[59 86] ; [49 54],[63.14516129 81.85483871] ; [44.85483871 58.14516129],0
u3,1,0.284889,1.143617,[22 28] ; [19 15],[24.4047619 25.5952381] ; [16.5952381 17.4047619],0
u2,1,0.290763,1.116085,[26 23] ; [22 12],[28.3373494 20.6626506] ; [19.6626506 14.3373494],0
a6,1,0.420082,0.650085,[100  45] ; [66 37],[97.05645161 47.94354839] ; [68.94354839 34.05645161],0
p9,1,0.469797,0.522453,[112  32] ; [84 19],[114.26720648  29.73279352] ; [81.73279352 21.26720648],0
a5,1,0.474009,0.512615,[104  42] ; [69 34],[101.437751  44.562249] ; [71.562249 31.437751],0
p10,1,0.504679,0.445083,[111  35] ; [82 21],[113.16465863  32.83534137] ; [79.83534137 23.16465863],0
r4,1,0.577375,0.310498,[127  19] ; [92 11],[128.40963855  17.59036145] ; [90.59036145 12.40963855],0
v3,1,0.581865,0.303229,[ 41 102] ; [26 76],[ 39.10612245 103.89387755] ; [27.89387755 74.10612245],0
s1,1,0.621145,0.244262,[  6 139] ; [ 3 99],[  5.28340081 139.71659919] ; [ 3.71659919 98.28340081],0
a8,1,0.647329,0.209284,[ 21 114] ; [13 84],[ 19.78448276 115.21551724] ; [14.21551724 82.78448276],0
v4,1,0.652986,0.202156,[135   9] ; [97  5],[135.80487805   8.19512195] ; [96.19512195  5.80487805],0
p11,1,0.663249,0.189601,[114  32] ; [78 25],[112.57831325  33.42168675] ; [79.42168675 23.57831325],0
a3,1,0.670081,0.181508,[94 52] ; [69 34],[95.57429719 50.42570281] ; [67.42570281 35.57429719],0
r1,1,0.670565,0.180942,[110  36] ; [80 23],[111.40562249  34.59437751] ; [78.59437751 24.40562249],0
a2,1,0.672205,0.179033,[ 28 118] ; [22 81],[ 29.31726908 116.68273092] ; [20.68273092 82.31726908],0
n3,1,0.794679,0.067725,[28  8] ; [21  7],[27.5625  8.4375] ; [21.4375  6.5625],0
b5,1,0.799639,0.064422,[77 69] ; [56 47],[77.98393574 68.01606426] ; [55.01606426 47.98393574],0
n4,1,0.824102,0.049405,[103  43] ; [74 29],[103.78313253  42.21686747] ; [73.21686747 29.78313253],0
n2,1,0.863164,0.029704,[25 11] ; [20  8],[25.3125 10.6875] ; [19.6875  8.3125],0
d4,1,0.866269,0.028359,[109  35] ; [77 26],[108.43724696  35.56275304] ; [77.56275304 25.43724696],0
d3,1,0.893937,0.017775,[95 50] ; [67 34],[95.48780488 49.51219512] ; [66.51219512 34.48780488],0
n1,1,0.895226,0.017343,[ 9 25] ; [ 7 21],[ 8.77419355 25.22580645] ; [ 7.22580645 20.77419355],0
s3,1,0.974569,0.001016,[85 60] ; [60 42],[85.12145749 59.87854251] ; [59.87854251 42.12145749],0
d1,1,0.989275,0.000181,[75 71] ; [53 50],[75.05220884 70.94779116] ; [52.94779116 50.05220884],0
