Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.2e-05,16.797234,[264  28] ; [41 17],[254.45714286  37.54285714] ; [50.54285714  7.45714286],1
p4,1,4.4e-05,16.67817,[207  88] ; [24 33],[193.59375 101.40625] ; [37.40625 19.59375],1
p10,1,0.000134,14.585419,[260  34] ; [40 18],[250.56818182  43.43181818] ; [49.43181818  8.56818182],1
n6,1,0.000186,13.966517,[259  32] ; [40 17],[250.02586207  40.97413793] ; [48.97413793  8.02586207],1
p8,1,0.000474,12.215496,[165 129] ; [18 40],[152.84659091 141.15340909] ; [30.15340909 27.84659091],1
p7,1,0.001142,10.581432,[202  87] ; [26 29],[191.54651163  97.45348837] ; [36.45348837 18.54651163],0
n4,1,0.002144,9.42199,[248  46] ; [39 19],[239.71022727  54.28977273] ; [47.28977273 10.71022727],0
p3,1,0.002454,9.174768,[168 127] ; [20 37],[157.55681818 137.44318182] ; [30.44318182 26.55681818],0
d3,1,0.015779,5.827334,[212  84] ; [31 25],[204.34090909  91.65909091] ; [38.65909091 17.34090909],0
d5,1,0.028856,4.776201,[247  48] ; [40 16],[241.21082621  53.78917379] ; [45.78917379 10.21082621],0
s1,1,0.030127,4.702034,[ 11 281] ; [ 6 51],[ 14.2234957 277.7765043] ; [ 2.7765043 54.2234957],0
p11,1,0.031158,4.644238,[237  59] ; [39 19],[230.77966102  65.22033898] ; [45.22033898 12.77966102],0
d4,1,0.035575,4.417371,[262  33] ; [44 12],[257.17948718  37.82051282] ; [48.82051282  7.17948718],0
a7,1,0.051104,3.804876,[220  75] ; [36 22],[213.93767705  81.06232295] ; [42.06232295 15.93767705],0
n5,1,0.052293,3.766385,[239  53] ; [41 17],[233.6  58.4] ; [46.4 11.6],0
s5,1,0.06296,3.457637,[130 155] ; [18 38],[123.69501466 161.30498534] ; [24.30498534 31.69501466],0
v4,1,0.073202,3.209723,[283  10] ; [53  5],[280.47863248  12.52136752] ; [55.52136752  2.47863248],0
r2,1,0.074325,3.184832,[282  10] ; [53  5],[279.48571429  12.51428571] ; [55.51428571  2.48571429],0
s7,1,0.080258,3.059675,[200  85] ; [32 23],[194.47058824  90.52941176] ; [37.52941176 17.47058824],0
s8,1,0.092746,2.826048,[190 105] ; [30 27],[184.375 110.625] ; [35.625 21.375],0
a3,1,0.103224,2.655014,[228  67] ; [39 19],[223.13031161  71.86968839] ; [43.86968839 14.13031161],0
p6,1,0.113125,2.510011,[126 168] ; [18 39],[120.61538462 173.38461538] ; [23.38461538 33.61538462],0
d1,1,0.132889,2.258422,[194 102] ; [32 26],[188.97175141 107.02824859] ; [37.02824859 20.97175141],0
r1,1,0.137061,2.210653,[246  47] ; [44 14],[242.07977208  50.92022792] ; [47.92022792 10.07977208],0
r4,1,0.137858,2.201712,[273  23] ; [50  8],[270.07909605  25.92090395] ; [52.92090395  5.07909605],0
a8,1,0.179019,1.805753,[ 55 217] ; [ 7 49],[ 51.41463415 220.58536585] ; [10.58536585 45.41463415],0
s3,1,0.180427,1.794105,[256  37] ; [46 11],[252.81714286  40.18285714] ; [49.18285714  7.81714286],0
b5,1,0.1949,1.680185,[172 124] ; [39 19],[176.42937853 119.57062147] ; [34.57062147 23.42937853],0
a5,1,0.224971,1.472379,[231  65] ; [41 17],[227.43502825  68.56497175] ; [44.56497175 13.43502825],0
p5,1,0.271356,1.209879,[ 44 251] ; [ 5 49],[ 41.41833811 253.58166189] ; [ 7.58166189 46.41833811],0
