Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.021248,5.306327,[3 1] ; [1 8],[1.23076923 2.76923077] ; [2.76923077 6.23076923],0
b4,1,0.021248,5.306327,[1 3] ; [8 1],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
p9,1,0.124541,2.359259,[2 2] ; [8 1],[3.07692308 0.92307692] ; [6.92307692 2.07692308],0
p10,1,0.124541,2.359259,[2 2] ; [8 1],[3.07692308 0.92307692] ; [6.92307692 2.07692308],0
r4,1,0.164264,1.934524,[1 3] ; [6 3],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
s7,1,0.220671,1.5,[3 1] ; [3 5],[2. 2.] ; [4. 4.],0
v1,1,0.307741,1.040344,[3 1] ; [4 5],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
a3,1,0.307741,1.040344,[1 3] ; [5 4],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
d2,1,0.307741,1.040344,[1 3] ; [5 4],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
a7,1,0.307741,1.040344,[1 3] ; [5 4],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
d3,1,0.307741,1.040344,[1 3] ; [5 4],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
r3,1,0.316565,1.003086,[2 2] ; [7 2],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
n4,1,0.316565,1.003086,[2 2] ; [7 2],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
v2,1,0.505985,0.442361,[1 3] ; [4 5],[1.53846154 2.46153846] ; [3.46153846 5.53846154],0
s8,1,0.505985,0.442361,[1 3] ; [4 5],[1.53846154 2.46153846] ; [3.46153846 5.53846154],0
r1,1,0.505985,0.442361,[1 3] ; [4 5],[1.53846154 2.46153846] ; [3.46153846 5.53846154],0
p7,1,0.505985,0.442361,[3 1] ; [5 4],[2.46153846 1.53846154] ; [5.53846154 3.46153846],0
p6,1,0.568618,0.325,[2 2] ; [3 6],[1.53846154 2.46153846] ; [3.46153846 5.53846154],0
n5,1,0.568618,0.325,[2 2] ; [6 3],[2.46153846 1.53846154] ; [5.53846154 3.46153846],0
u3,1,0.659243,0.194444,[2 1] ; [2 2],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
v3,1,0.763824,0.090278,[1 3] ; [3 6],[1.23076923 2.76923077] ; [2.76923077 6.23076923],0
d5,1,0.763824,0.090278,[3 1] ; [6 3],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
s2,1,0.763824,0.090278,[1 3] ; [3 6],[1.23076923 2.76923077] ; [2.76923077 6.23076923],0
p3,1,0.852876,0.034392,[2 2] ; [5 4],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
p8,1,0.852876,0.034392,[2 2] ; [4 5],[1.84615385 2.15384615] ; [4.15384615 4.84615385],0
a6,1,0.852876,0.034392,[2 2] ; [5 4],[2.15384615 1.84615385] ; [4.84615385 4.15384615],0
s3,1,0.912637,0.012037,[1 3] ; [2 7],[0.92307692 3.07692308] ; [2.07692308 6.92307692],0
p4,1,0.912637,0.012037,[3 1] ; [7 2],[3.07692308 0.92307692] ; [6.92307692 2.07692308],0
s6,1,0.912637,0.012037,[3 1] ; [7 2],[3.07692308 0.92307692] ; [6.92307692 2.07692308],0
