Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.04043,4.199757,[ 42 177] ; [2 1],[ 43.40540541 175.59459459] ; [0.59459459 2.40540541],0
v4,1,0.054765,3.689213,[203  13] ; [2 1],[202.19178082  13.80821918] ; [2.80821918 0.19178082],0
s3,1,0.316789,1.002159,[132  82] ; [1 2],[131.16129032  82.83870968] ; [1.83870968 1.16129032],0
n5,1,0.347568,0.882318,[188  31] ; [2 1],[187.43243243  31.56756757] ; [2.56756757 0.43243243],0
n6,1,0.435459,0.608219,[183  36] ; [2 1],[182.5  36.5] ; [2.5 0.5],0
s2,1,0.482399,0.493436,[116 100] ; [1 2],[115.39726027 100.60273973] ; [1.60273973 1.39726027],0
s7,1,0.506368,0.441565,[110  99] ; [1 2],[109.42924528  99.57075472] ; [1.57075472 1.42924528],0
s8,1,0.545154,0.366071,[111 107] ; [1 2],[110.47963801 107.52036199] ; [1.52036199 1.47963801],0
a5,1,0.554418,0.349462,[176  43] ; [2 1],[175.59459459  43.40540541] ; [2.40540541 0.59459459],0
a3,1,0.590744,0.289184,[173  45] ; [2 1],[172.62443439  45.37556561] ; [2.37556561 0.62443439],0
a4,1,0.60391,0.269139,[113 106] ; [2 1],[113.44594595 105.55405405] ; [1.55405405 1.44594595],0
v2,1,0.689697,0.159413,[113  92] ; [2 1],[113.34134615  91.65865385] ; [1.65865385 1.34134615],0
v1,1,0.711133,0.137148,[117  92] ; [2 1],[117.31603774  91.68396226] ; [1.68396226 1.31603774],0
b4,1,0.727215,0.121684,[124  95] ; [2 1],[124.2972973  94.7027027] ; [1.7027027 1.2972973],0
n1,1,0.727383,0.121528,[18 14] ; [2 1],[18.28571429 13.71428571] ; [1.71428571 1.28571429],0
n3,1,0.752172,0.099715,[24  8] ; [2 1],[23.77142857  8.22857143] ; [2.22857143 0.77142857],0
v3,1,0.814885,0.054816,[ 84 126] ; [1 2],[ 83.8028169 126.1971831] ; [1.1971831 1.8028169],0
a2,1,0.819055,0.052331,[ 60 159] ; [1 2],[ 60.17567568 158.82432432] ; [0.82432432 2.17567568],0
n2,1,0.822456,0.05035,[24  9] ; [2 1],[23.83333333  9.16666667] ; [2.16666667 0.83333333],0
b3,1,0.852229,0.034699,[56 89] ; [1 2],[55.84459459 89.15540541] ; [1.15540541 1.84459459],0
b2,1,0.852229,0.034699,[56 89] ; [1 2],[55.84459459 89.15540541] ; [1.15540541 1.84459459],0
d3,1,0.934618,0.00673,[141  78] ; [2 1],[141.06756757  77.93243243] ; [1.93243243 1.06756757],0
a6,1,0.950407,0.003868,[149  69] ; [2 1],[148.95022624  69.04977376] ; [2.04977376 0.95022624],0
a7,1,0.964057,0.002031,[148  70] ; [2 1],[147.9638009  70.0361991] ; [2.0361991 0.9638009],0
s6,1,0.97714,0.000821,[139  72] ; [2 1],[139.02336449  71.97663551] ; [1.97663551 1.02336449],0
