Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,5e-06,20.888431,[35 32] ; [ 7 48],[23.06557377 43.93442623] ; [18.93442623 36.06557377],1
a3,1,1.8e-05,18.41996,[48 19] ; [18 37],[36.24590164 30.75409836] ; [29.75409836 25.24590164],1
a6,1,4.6e-05,16.616744,[48 20] ; [19 37],[36.74193548 31.25806452] ; [30.25806452 25.74193548],1
d5,1,0.003264,8.653475,[47 21] ; [24 32],[38.93548387 29.06451613] ; [32.06451613 23.93548387],0
d1,1,0.003683,8.43386,[33 35] ; [13 43],[25.22580645 42.77419355] ; [20.77419355 35.22580645],0
d2,1,0.004691,7.994894,[33 33] ; [14 42],[25.42622951 40.57377049] ; [21.57377049 34.42622951],0
a7,1,0.012011,6.309309,[45 22] ; [25 31],[38.1300813 28.8699187] ; [31.8699187 24.1300813],0
d4,1,0.035423,4.424667,[51 17] ; [32 24],[45.51612903 22.48387097] ; [37.48387097 18.51612903],0
s5,1,0.045189,4.01158,[15 49] ; [ 5 48],[10.94017094 53.05982906] ; [ 9.05982906 43.94017094],0
d3,1,0.060342,3.527967,[37 31] ; [21 35],[31.80645161 36.19354839] ; [26.19354839 29.80645161],0
s1,1,0.091962,2.839688,[ 3 64] ; [ 7 47],[ 5.53719008 61.46280992] ; [ 4.46280992 49.53719008],0
n5,1,0.109551,2.560694,[46 21] ; [30 25],[41.73770492 25.26229508] ; [34.26229508 20.73770492],0
p5,1,0.145512,2.118675,[ 5 62] ; [ 1 55],[ 3.26829268 63.73170732] ; [ 2.73170732 53.26829268],0
b5,1,0.151133,2.060773,[35 33] ; [36 20],[38.93548387 29.06451613] ; [32.06451613 23.93548387],0
r2,1,0.167276,1.907184,[56  9] ; [42 13],[53.08333333 11.91666667] ; [44.91666667 10.08333333],0
p6,1,0.200696,1.637299,[ 6 61] ; [ 9 45],[ 8.30578512 58.69421488] ; [ 6.69421488 47.30578512],0
v2,1,0.207373,1.589674,[30 35] ; [18 34],[26.66666667 38.33333333] ; [21.33333333 30.66666667],0
p1,1,0.211713,1.559672,[ 8 60] ; [ 3 53],[ 6.03225806 61.96774194] ; [ 4.96774194 51.03225806],0
p4,1,0.262762,1.254146,[21 46] ; [12 42],[18.27272727 48.72727273] ; [14.72727273 39.27272727],0
a1,1,0.270422,1.214603,[ 9 59] ; [ 4 52],[ 7.12903226 60.87096774] ; [ 5.87096774 50.12903226],0
p11,1,0.278936,1.172269,[31 37] ; [31 25],[34. 34.] ; [28. 28.],0
n1,1,0.293474,1.103614,[ 9 17] ; [10 10],[10.73913043 15.26086957] ; [ 8.26086957 11.73913043],0
n4,1,0.319611,0.990536,[43 24] ; [31 25],[40.30894309 26.69105691] ; [33.69105691 22.30894309],0
v3,1,0.329682,0.950145,[18 46] ; [11 43],[15.72881356 48.27118644] ; [13.27118644 40.72881356],0
b3,1,0.361554,0.832489,[17 25] ; [ 9 21],[15.16666667 26.83333333] ; [10.83333333 19.16666667],0
b2,1,0.361554,0.832489,[17 25] ; [ 9 21],[15.16666667 26.83333333] ; [10.83333333 19.16666667],0
n3,1,0.380298,0.769737,[13 12] ; [13  7],[14.44444444 10.55555556] ; [11.55555556  8.44444444],0
n2,1,0.448633,0.574103,[16 11] ; [14  6],[17.23404255  9.76595745] ; [12.76595745  7.23404255],0
u2,1,0.450259,0.57,[ 7 12] ; [18 20],[ 8.33333333 10.66666667] ; [16.66666667 21.33333333],0
u3,1,0.468022,0.526643,[ 8 12] ; [19 19],[ 9.31034483 10.68965517] ; [17.68965517 20.31034483],0
p8,1,0.484379,0.488988,[18 49] ; [12 44],[16.34146341 50.65853659] ; [13.65853659 42.34146341],0
p3,1,0.517267,0.419339,[19 48] ; [13 43],[17.43089431 49.56910569] ; [14.56910569 41.43089431],0
b4,1,0.528219,0.397816,[35 33] ; [32 24],[36.74193548 31.25806452] ; [30.25806452 25.74193548],0
p12,1,0.550641,0.35617,[ 4 64] ; [ 2 54],[ 3.29032258 64.70967742] ; [ 2.70967742 53.29032258],0
b1,1,0.557196,0.344582,[28 40] ; [26 30],[29.61290323 38.38709677] ; [24.38709677 31.61290323],0
a8,1,0.566926,0.327852,[ 7 59] ; [ 4 49],[ 6.10084034 59.89915966] ; [ 4.89915966 48.10084034],0
p10,1,0.570303,0.322176,[32 35] ; [23 31],[30.45454545 36.54545455] ; [24.54545455 29.45454545],0
v4,1,0.571671,0.319894,[52 15] ; [41 15],[50.65853659 16.34146341] ; [42.34146341 13.65853659],0
s8,1,0.588478,0.292727,[ 8 59] ; [ 5 51],[ 7.08130081 59.91869919] ; [ 5.91869919 50.08130081],0
n6,1,0.612729,0.25622,[43 23] ; [34 22],[41.6557377 24.3442623] ; [35.3442623 20.6557377],0
r1,1,0.627172,0.235915,[40 27] ; [31 25],[38.67479675 28.32520325] ; [32.32520325 23.67479675],0
r4,1,0.670244,0.181317,[45 23] ; [35 21],[43.87096774 24.12903226] ; [36.12903226 19.87096774],0
p7,1,0.688308,0.160923,[18 49] ; [16 37],[18.98333333 48.01666667] ; [15.01666667 37.98333333],0
v1,1,0.779563,0.078337,[21 47] ; [16 40],[20.29032258 47.70967742] ; [16.70967742 39.29032258],0
s3,1,0.786759,0.073182,[19 49] ; [16 37],[19.66942149 48.33057851] ; [15.33057851 37.66942149],0
r3,1,0.858858,0.031623,[50 17] ; [41 15],[49.56910569 17.43089431] ; [41.43089431 14.56910569],0
s4,1,0.888948,0.019498,[10 56] ; [ 9 47],[10.27868852 55.72131148] ; [ 8.72131148 47.27868852],0
u4,1,0.889745,0.019218,[ 1 67] ; [ 1 55],[ 1.09677419 66.90322581] ; [ 0.90322581 55.09677419],0
p9,1,0.903733,0.014628,[33 34] ; [26 28],[32.66942149 34.33057851] ; [26.33057851 27.66942149],0
s6,1,0.920542,0.00995,[23 43] ; [20 36],[23.26229508 42.73770492] ; [19.73770492 36.26229508],0
s2,1,0.974845,0.000994,[16 51] ; [13 42],[15.92622951 51.07377049] ; [13.07377049 41.92622951],0
