Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.00239,9.222653,[10  4] ; [ 9 27],[5.32 8.68] ; [13.68 22.32],0
p11,1,0.002877,8.883709,[7 7] ; [ 4 32],[ 3.08 10.92] ; [ 7.92 28.08],0
b5,1,0.003955,8.304578,[11  3] ; [12 24],[6.44 7.56] ; [16.56 19.44],0
r4,1,0.005789,7.614829,[5 9] ; [ 2 34],[ 1.96 12.04] ; [ 5.04 30.96],0
v4,1,0.0083,6.967636,[12  2] ; [16 20],[7.84 6.16] ; [20.16 15.84],0
s7,1,0.00844,6.937741,[6 8] ; [ 3 29],[ 2.73913043 11.26086957] ; [ 6.26086957 25.73913043],0
v1,1,0.009006,6.821618,[8 6] ; [ 7 29],[4.2 9.8] ; [10.8 25.2],0
s5,1,0.017728,5.622874,[5 9] ; [ 3 33],[ 2.24 11.76] ; [ 5.76 30.24],0
s2,1,0.017728,5.622874,[5 9] ; [ 3 33],[ 2.24 11.76] ; [ 5.76 30.24],0
r1,1,0.028818,4.778439,[9 5] ; [11 25],[5.6 8.4] ; [14.4 21.6],0
s4,1,0.042033,4.133867,[5 9] ; [ 4 32],[ 2.52 11.48] ; [ 6.48 29.52],0
n3,1,0.06999,3.283256,[6 2] ; [ 7 12],[3.85185185 4.14814815] ; [9.14814815 9.85185185],0
p9,1,0.083439,2.9966,[8 6] ; [10 23],[5.36170213 8.63829787] ; [12.63829787 20.36170213],0
b4,1,0.094599,2.794312,[11  3] ; [19 17],[8.4 5.6] ; [21.6 14.4],0
p2,1,0.101594,2.680342,[6 7] ; [ 8 28],[3.71428571 9.28571429] ; [10.28571429 25.71428571],0
p5,1,0.104135,2.641041,[ 2 11] ; [ 1 35],[ 0.79591837 12.20408163] ; [ 2.20408163 33.79591837],0
b2,1,0.132725,2.260334,[2 8] ; [11 12],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
b3,1,0.132725,2.260334,[2 8] ; [11 12],[3.93939394 6.06060606] ; [ 9.06060606 13.93939394],0
n2,1,0.150449,2.067692,[6 2] ; [ 9 11],[4.28571429 3.71428571] ; [10.71428571  9.28571429],0
a7,1,0.176086,1.830349,[8 6] ; [13 23],[5.88 8.12] ; [15.12 20.88],0
s8,1,0.200751,1.636905,[ 3 11] ; [ 3 33],[ 1.68 12.32] ; [ 4.32 31.68],0
s3,1,0.208748,1.580085,[5 7] ; [ 8 27],[3.31914894 8.68085106] ; [ 9.68085106 25.31914894],0
v2,1,0.21486,1.538372,[ 3 11] ; [ 3 32],[ 1.71428571 12.28571429] ; [ 4.28571429 30.71428571],0
n4,1,0.241909,1.369437,[11  3] ; [22 14],[9.24 4.76] ; [23.76 12.24],0
n1,1,0.280828,1.163077,[5 3] ; [ 8 12],[3.71428571 4.28571429] ; [ 9.28571429 10.71428571],0
p6,1,0.322199,0.98,[ 2 12] ; [ 2 33],[ 1.14285714 12.85714286] ; [ 2.85714286 32.14285714],0
p8,1,0.34515,0.891209,[ 3 11] ; [ 4 32],[ 1.96 12.04] ; [ 5.04 30.96],0
a3,1,0.350656,0.871083,[9 4] ; [19 16],[7.58333333 5.41666667] ; [20.41666667 14.58333333],0
n5,1,0.409493,0.680272,[11  3] ; [24 12],[9.8 4.2] ; [25.2 10.8],0
p3,1,0.442334,0.590219,[ 3 10] ; [ 5 31],[ 2.12244898 10.87755102] ; [ 5.87755102 30.12244898],0
p10,1,0.447699,0.576471,[6 8] ; [11 24],[4.85714286 9.14285714] ; [12.14285714 22.85714286],0
a6,1,0.4617,0.54177,[5 9] ; [17 19],[6.16 7.84] ; [15.84 20.16],0
u3,1,0.467267,0.528431,[2 3] ; [ 4 13],[1.36363636 3.63636364] ; [ 4.63636364 12.36363636],0
p1,1,0.513785,0.426351,[ 3 11] ; [ 5 31],[ 2.24 11.76] ; [ 5.76 30.24],0
d2,1,0.522817,0.408333,[7 7] ; [14 21],[6. 8.] ; [15. 20.],0
s1,1,0.528733,0.396825,[ 2 12] ; [ 3 33],[ 1.4 12.6] ; [ 3.6 32.4],0
a2,1,0.528733,0.396825,[ 2 12] ; [ 3 33],[ 1.4 12.6] ; [ 3.6 32.4],0
d4,1,0.649886,0.206044,[8 6] ; [18 18],[7.28 6.72] ; [18.72 17.28],0
u2,1,0.654992,0.199664,[2 3] ; [ 5 12],[1.59090909 3.40909091] ; [ 5.40909091 11.59090909],0
a1,1,0.669879,0.181744,[ 2 12] ; [ 7 29],[ 2.52 11.48] ; [ 6.48 29.52],0
b1,1,0.699676,0.14881,[9 5] ; [21 15],[8.4 5.6] ; [21.6 14.4],0
a5,1,0.723413,0.125246,[7 7] ; [16 20],[6.44 7.56] ; [16.56 19.44],0
d1,1,0.725506,0.123278,[5 9] ; [11 25],[4.48 9.52] ; [11.52 24.48],0
d5,1,0.780962,0.07732,[8 6] ; [19 17],[7.56 6.44] ; [19.44 16.56],0
a4,1,0.81835,0.052747,[4 9] ; [12 23],[4.33333333 8.66666667] ; [11.66666667 23.33333333],0
p7,1,0.841547,0.039966,[ 2 10] ; [ 5 30],[ 1.78723404 10.21276596] ; [ 5.21276596 29.78723404],0
r2,1,0.844579,0.038431,[10  4] ; [24 11],[9.71428571 4.28571429] ; [24.28571429 10.71428571],0
v3,1,0.874862,0.024802,[ 3 11] ; [ 7 29],[ 2.8 11.2] ; [ 7.2 28.8],0
d3,1,0.97906,0.000689,[5 9] ; [13 23],[5.04 8.96] ; [12.96 23.04],0
