Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.020713,5.350791,[17 10] ; [ 5 13],[13.2 13.8] ; [8.8 9.2],0
p11,1,0.024136,5.084845,[26 27] ; [23  8],[30.91666667 22.08333333] ; [18.08333333 12.91666667],0
p10,1,0.074843,3.173482,[26 25] ; [22  9],[29.85365854 21.14634146] ; [18.14634146 12.85365854],0
a6,1,0.08009,3.063064,[22 31] ; [19 12],[25.86904762 27.13095238] ; [15.13095238 15.86904762],0
d4,1,0.095333,2.781932,[37 16] ; [16 15],[33.44047619 19.55952381] ; [19.55952381 11.44047619],0
v3,1,0.113367,2.50665,[10 41] ; [ 2 28],[ 7.55555556 43.44444444] ; [ 4.44444444 25.55555556],0
s5,1,0.126506,2.334859,[17 36] ; [ 5 25],[14.04819277 38.95180723] ; [ 7.95180723 22.04819277],0
a5,1,0.127603,2.321426,[20 33] ; [17 14],[23.3452381 29.6547619] ; [13.6547619 17.3452381],0
p9,1,0.143117,2.144118,[31 20] ; [23  7],[34. 17.] ; [20. 10.],0
d1,1,0.151241,2.05969,[20 33] ; [ 7 24],[17.03571429 35.96428571] ; [ 9.96428571 21.03571429],0
d3,1,0.154399,2.028245,[31 21] ; [13 17],[27.90243902 24.09756098] ; [16.09756098 13.90243902],0
b4,1,0.169543,1.886982,[26 27] ; [20 11],[29.02380952 23.97619048] ; [16.97619048 14.02380952],0
p1,1,0.187412,1.737845,[ 6 46] ; [ 1 30],[ 4.38554217 47.61445783] ; [ 2.61445783 28.38554217],0
s3,1,0.191467,1.706296,[18 35] ; [15 16],[20.82142857 32.17857143] ; [12.17857143 18.82142857],0
d5,1,0.214927,1.537925,[34 18] ; [16 15],[31.3253012 20.6746988] ; [18.6746988 12.3253012],0
r3,1,0.227634,1.455587,[45  8] ; [23  8],[42.9047619 10.0952381] ; [25.0952381  5.9047619],0
d2,1,0.328326,0.955488,[21 32] ; [ 9 22],[18.92857143 34.07142857] ; [11.07142857 19.92857143],0
a7,1,0.37574,0.784592,[32 20] ; [16 15],[30.07228916 21.92771084] ; [17.92771084 13.07228916],0
v4,1,0.409846,0.679249,[44  8] ; [24  7],[42.60240964  9.39759036] ; [25.39759036  5.60240964],0
a1,1,0.419231,0.652471,[ 4 49] ; [ 1 30],[ 3.1547619 49.8452381] ; [ 1.8452381 29.1547619],0
s2,1,0.475896,0.508252,[23 30] ; [11 20],[21.45238095 31.54761905] ; [12.54761905 18.45238095],0
a3,1,0.476403,0.507087,[26 26] ; [13 18],[24.43373494 27.56626506] ; [14.56626506 16.43373494],0
p7,1,0.505949,0.442437,[26 25] ; [13 17],[24.55555556 26.44444444] ; [14.44444444 15.55555556],0
p8,1,0.525907,0.402293,[21 31] ; [10 20],[19.65853659 32.34146341] ; [11.34146341 18.65853659],0
v1,1,0.528243,0.39777,[15 37] ; [11 20],[16.28915663 35.71084337] ; [ 9.71084337 21.28915663],0
p6,1,0.531573,0.391384,[15 37] ; [ 7 24],[13.78313253 38.21686747] ; [ 8.21686747 22.78313253],0
u2,1,0.540291,0.375,[13 14] ; [ 7 11],[12. 15.] ; [ 8. 10.],0
s4,1,0.567309,0.327206,[14 39] ; [10 21],[15.14285714 37.85714286] ; [ 8.85714286 22.14285714],0
p5,1,0.567925,0.326167,[ 2 50] ; [ 2 28],[ 2.53658537 49.46341463] ; [ 1.46341463 28.53658537],0
