Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.060314,[16 70] ; [18 10],[25.64912281 60.35087719] ; [ 8.35087719 19.64912281],1
d3,1,0.001077,10.690086,[37 49] ; [22  6],[44.50877193 41.49122807] ; [14.49122807 13.50877193],0
p6,1,0.003523,8.514828,[ 8 77] ; [ 9 19],[12.78761062 72.21238938] ; [ 4.21238938 23.78761062],0
p2,1,0.007412,7.170358,[39 46] ; [21  7],[45.13274336 39.86725664] ; [14.86725664 13.13274336],0
p5,1,0.010357,6.572506,[ 3 82] ; [ 5 23],[ 6.01769912 78.98230088] ; [ 1.98230088 26.01769912],0
p7,1,0.010618,6.528083,[24 60] ; [15 12],[29.51351351 54.48648649] ; [ 9.48648649 17.51351351],0
p8,1,0.016321,5.767957,[17 68] ; [12 16],[21.81415929 63.18584071] ; [ 7.18584071 20.81415929],0
d4,1,0.016496,5.749258,[49 37] ; [23  5],[54.31578947 31.68421053] ; [17.68421053 10.31578947],0
s2,1,0.017018,5.694524,[16 71] ; [11 16],[20.60526316 66.39473684] ; [ 6.39473684 20.60526316],0
d5,1,0.02734,4.869224,[48 39] ; [22  6],[52.95652174 34.04347826] ; [17.04347826 10.95652174],0
a6,1,0.043933,4.059148,[40 47] ; [19  9],[44.63478261 42.36521739] ; [14.36521739 13.63478261],0
n6,1,0.064215,3.425027,[42 42] ; [19  8],[46.16216216 37.83783784] ; [14.83783784 12.16216216],0
d1,1,0.068394,3.321153,[27 60] ; [14 14],[31.0173913 55.9826087] ; [ 9.9826087 18.0173913],0
b2,1,0.073371,3.205937,[20 30] ; [ 2 12],[17.1875 32.8125] ; [4.8125 9.1875],0
b3,1,0.073371,3.205937,[20 30] ; [ 2 12],[17.1875 32.8125] ; [4.8125 9.1875],0
p1,1,0.090342,2.868277,[ 6 80] ; [ 5 23],[ 8.29824561 77.70175439] ; [ 2.70175439 25.29824561],0
p9,1,0.090396,2.867299,[38 45] ; [18 10],[41.87387387 41.12612613] ; [14.12612613 13.87387387],0
