Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,74.558195,[47 76] ; [294  75],[85.25 37.75] ; [255.75 113.25],1
d3,1,0.0,69.263069,[53 70] ; [303  67],[88.81947262 34.18052738] ; [267.18052738 102.81947262],1
a2,1,0.0,27.074183,[  9 114] ; [114 257],[30.62550607 92.37449393] ; [ 92.37449393 278.62550607],1
u1,1,0.0,26.084691,[  5 118] ; [ 94 277],[24.64979757 98.35020243] ; [ 74.35020243 296.64979757],1
b5,1,0.000223,13.626229,[55 68] ; [236 135],[72.45546559 50.54453441] ; [218.54453441 152.45546559],1
r1,1,0.003651,8.449566,[93 30] ; [320  49],[103.25  19.75] ; [309.75  59.25],0
d1,1,0.007128,7.2404,[66 57] ; [249 122],[78.43117409 44.56882591] ; [236.56882591 134.43117409],0
b1,1,0.012481,6.241219,[54 69] ; [117 254],[42.57692308 80.42307692] ; [128.42307692 242.57692308],0
v4,1,0.015347,5.876136,[110  12] ; [354  15],[115.29124236   6.70875764] ; [348.70875764  20.29124236],0
r2,1,0.031727,4.613184,[110  10] ; [354  13],[114.33264887   5.66735113] ; [349.66735113  17.33264887],0
r4,1,0.038679,4.274911,[107  16] ; [345  26],[112.54251012  10.45748988] ; [339.45748988  31.54251012],0
p12,1,0.058823,3.570254,[  6 113] ; [ 40 328],[ 11.24024641 107.75975359] ; [ 34.75975359 333.24024641],0
b4,1,0.072998,3.214295,[65 58] ; [230 141],[73.451417 49.548583] ; [221.548583 149.451417],0
b2,1,0.136992,2.211428,[37 46] ; [ 78 143],[31.39802632 51.60197368] ; [ 83.60197368 137.39802632],0
b3,1,0.136992,2.211428,[37 46] ; [ 78 143],[31.39802632 51.60197368] ; [ 83.60197368 137.39802632],0
a5,1,0.141459,2.162011,[90 33] ; [295  76],[95.86032389 27.13967611] ; [289.13967611  81.86032389],0
p10,1,0.147006,2.10305,[94 25] ; [310  56],[99.1257732 19.8742268] ; [304.8742268  61.1257732],0
s6,1,0.157678,1.996357,[75 44] ; [254 109],[81.22614108 37.77385892] ; [247.77385892 115.22614108],0
n1,1,0.172077,1.864754,[11 15] ; [20 52],[ 8.2244898 17.7755102] ; [22.7755102 49.2244898],0
u4,1,0.173872,1.849236,[  5 118] ; [  7 364],[  2.98785425 120.01214575] ; [  9.01214575 361.98785425],0
u3,1,0.175481,1.835485,[13 16] ; [55 38],[16.16393443 12.83606557] ; [51.83606557 41.16393443],0
p2,1,0.182423,1.777773,[96 25] ; [312  57],[100.75102041  20.24897959] ; [307.24897959  61.75102041],0
s5,1,0.183889,1.765914,[48 68] ; [123 233],[42.02542373 73.97457627] ; [128.97457627 227.02542373],0
p4,1,0.188652,1.728114,[68 52] ; [232 134],[74.07407407 45.92592593] ; [225.92592593 140.07407407],0
p1,1,0.199459,1.646332,[  6 117] ; [ 31 338],[  9.25 113.75] ; [ 27.75 341.25],0
u2,1,0.204426,1.61047,[12 16] ; [52 40],[14.93333333 13.06666667] ; [49.06666667 42.93333333],0
n6,1,0.220208,1.503016,[99 22] ; [317  50],[103.14754098  17.85245902] ; [312.85245902  54.14754098],0
v1,1,0.245123,1.350888,[84 36] ; [233 130],[78.75776398 41.24223602] ; [238.24223602 124.75776398],0
p9,1,0.264675,1.244136,[100  20] ; [318  46],[103.63636364  16.36363636] ; [314.36363636  49.63636364],0
a8,1,0.28408,1.147467,[ 14 105] ; [ 51 271],[ 17.53968254 101.46031746] ; [ 47.46031746 274.53968254],0
p6,1,0.288926,1.124618,[40 77] ; [144 219],[44.85 72.15] ; [139.15 223.85],0
n3,1,0.291484,1.112755,[23  4] ; [55 18],[21.06  5.94] ; [56.94 16.06],0
n4,1,0.303685,1.057942,[100  22] ; [287  83],[95.96341463 26.03658537] ; [291.03658537  78.96341463],0
p7,1,0.321592,0.98246,[85 35] ; [238 123],[80.58212058 39.41787942] ; [242.41787942 118.58212058],0
s2,1,0.350134,0.87297,[69 54] ; [187 178],[64.52459016 58.47540984] ; [191.47540984 173.52459016],0
a4,1,0.358704,0.842424,[51 72] ; [171 199],[55.38742394 67.61257606] ; [166.61257606 203.38742394],0
s8,1,0.359333,0.840224,[63 60] ; [170 196],[58.60736196 64.39263804] ; [174.39263804 191.60736196],0
d4,1,0.449608,0.571639,[103  20] ; [320  50],[105.53549696  17.46450304] ; [317.46450304  52.53549696],0
p11,1,0.491523,0.473191,[97 26] ; [303  68],[99.5951417 23.4048583] ; [300.4048583  70.5951417],0
s1,1,0.592316,0.286743,[  2 120] ; [  9 355],[  2.76131687 119.23868313] ; [  8.23868313 355.76131687],0
a1,1,0.643567,0.214107,[  8 115] ; [ 20 351],[  6.97165992 116.02834008] ; [ 21.02834008 349.97165992],0
d5,1,0.660606,0.192788,[102  21] ; [313  57],[103.53955375  19.46044625] ; [311.46044625  58.53955375],0
d2,1,0.676819,0.173729,[66 57] ; [190 179],[64. 59.] ; [192. 177.],0
s7,1,0.692582,0.156305,[64 54] ; [183 168],[62.14498934 55.85501066] ; [184.85501066 166.14498934],0
a3,1,0.773747,0.082643,[94 29] ; [278  92],[92.81135903 30.18864097] ; [279.18864097  90.81135903],0
n2,1,0.773938,0.0825,[21  6] ; [54 18],[20.45454545  6.54545455] ; [54.54545455 17.45454545],0
p5,1,0.825457,0.048634,[ 13 109] ; [ 42 327],[ 13.66598778 108.33401222] ; [ 41.33401222 327.66598778],0
p8,1,0.826726,0.047919,[63 55] ; [198 165],[64.02910603 53.97089397] ; [196.97089397 166.02910603],0
s4,1,0.856569,0.032668,[ 17 106] ; [ 53 313],[ 17.60736196 105.39263804] ; [ 52.39263804 313.60736196],0
v3,1,0.896881,0.016797,[66 54] ; [201 160],[66.61122661 53.38877339] ; [200.38877339 160.61122661],0
p3,1,0.952264,0.003584,[65 56] ; [196 171],[64.71516393 56.28483607] ; [196.28483607 170.71516393],0
s3,1,0.990946,0.000129,[68 54] ; [201 160],[67.94616977 54.05383023] ; [201.05383023 159.94616977],0
n5,1,0.998822,2e-06,[90 31] ; [273  94],[90.00614754 30.99385246] ; [272.99385246  94.00614754],0
