Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.1e-05,17.335476,[ 7 15] ; [49 12],[14.84337349  7.15662651] ; [41.15662651 19.84337349],1
a5,1,0.00105,10.737219,[ 4 18] ; [37 26],[10.61176471 11.38823529] ; [30.38823529 32.61176471],0
p11,1,0.021721,5.267974,[11 11] ; [48 15],[15.27058824  6.72941176] ; [43.72941176 19.27058824],0
s3,1,0.049659,3.85295,[ 6 16] ; [30 28],[ 9.9 12.1] ; [26.1 31.9],0
d5,1,0.057405,3.610805,[10 12] ; [43 20],[13.71764706  8.28235294] ; [39.28235294 23.71764706],0
a3,1,0.079959,3.065742,[ 8 14] ; [36 26],[11.52380952 10.47619048] ; [32.47619048 29.52380952],0
d4,1,0.108809,2.571429,[11 10] ; [45 18],[14.  7.] ; [42. 21.],0
n5,1,0.109791,2.557227,[10 12] ; [39 21],[13.14634146  8.85365854] ; [35.85365854 24.14634146],0
a4,1,0.142401,2.151822,[ 4 18] ; [22 41],[ 6.72941176 15.27058824] ; [19.27058824 43.72941176],0
v1,1,0.1524,2.048067,[ 6 16] ; [26 32],[ 8.8 13.2] ; [23.2 34.8],0
p4,1,0.155065,2.021704,[ 8 14] ; [34 29],[10.87058824 11.12941176] ; [31.12941176 31.87058824],0
s4,1,0.166857,1.910957,[ 7 15] ; [11 51],[ 4.71428571 17.28571429] ; [13.28571429 48.71428571],0
r2,1,0.189927,1.718182,[10 12] ; [34 21],[12.57142857  9.42857143] ; [31.42857143 23.57142857],0
s8,1,0.20926,1.57654,[ 4 18] ; [20 42],[ 6.28571429 15.71428571] ; [17.71428571 44.28571429],0
s6,1,0.258038,1.279253,[ 9 13] ; [33 27],[11.26829268 10.73170732] ; [30.73170732 29.26829268],0
d2,1,0.322717,0.977904,[ 4 17] ; [19 44],[ 5.75 15.25] ; [17.25 45.75],0
n2,1,0.349615,0.874854,[11  4] ; [11  8],[9.70588235 5.29411765] ; [12.29411765  6.70588235],0
d3,1,0.374241,0.789533,[10 12] ; [35 27],[11.78571429 10.21428571] ; [33.21428571 28.78571429],0
u3,1,0.392041,0.732601,[ 4 10] ; [11 15],[5.25 8.75] ; [ 9.75 16.25],0
n4,1,0.399134,0.710934,[11 11] ; [38 25],[12.68235294  9.31764706] ; [36.31764706 26.68235294],0
a2,1,0.464611,0.534763,[ 1 21] ; [ 6 57],[ 1.81176471 20.18823529] ; [ 5.18823529 57.81176471],0
s7,1,0.477337,0.504941,[ 7 13] ; [26 33],[ 8.35443038 11.64556962] ; [24.64556962 34.35443038],0
n6,1,0.484007,0.48982,[14  8] ; [43 17],[15.29268293  6.70731707] ; [41.70731707 18.29268293],0
a6,1,0.502056,0.450587,[ 9 13] ; [31 32],[10.35294118 11.64705882] ; [29.64705882 33.35294118],0
p7,1,0.505163,0.444073,[13  9] ; [31 30],[11.6626506 10.3373494] ; [32.3373494 28.6626506],0
d1,1,0.51113,0.431752,[ 6 16] ; [22 41],[ 7.24705882 14.75294118] ; [20.75294118 42.24705882],0
p3,1,0.512176,0.429618,[ 7 15] ; [25 38],[ 8.28235294 13.71764706] ; [23.71764706 39.28235294],0
r3,1,0.523825,0.406357,[13  8] ; [41 18],[14.175  6.825] ; [39.825 19.175],0
b5,1,0.544115,0.367965,[12 10] ; [39 24],[13.2  8.8] ; [37.8 25.2],0
v2,1,0.570302,0.322178,[ 8 14] ; [26 34],[ 9.12195122 12.87804878] ; [24.87804878 35.12195122],0
n3,1,0.601247,0.273119,[10  5] ; [11  8],[9.26470588 5.73529412] ; [11.73529412  7.26470588],0
s2,1,0.608787,0.261944,[ 8 14] ; [26 35],[ 9.01204819 12.98795181] ; [24.98795181 36.01204819],0
a7,1,0.613893,0.254545,[10 11] ; [34 29],[11. 10.] ; [33. 30.],0
v4,1,0.653859,0.201069,[18  4] ; [44 13],[17.26582278  4.73417722] ; [44.73417722 12.26582278],0
p6,1,0.663888,0.188835,[ 6 16] ; [20 42],[ 6.80952381 15.19047619] ; [19.19047619 42.80952381],0
b4,1,0.677373,0.173098,[13  9] ; [34 29],[12.16470588  9.83529412] ; [34.83529412 28.16470588],0
r1,1,0.726134,0.122691,[ 7 15] ; [17 44],[ 6.36144578 15.63855422] ; [17.63855422 43.36144578],0
n1,1,0.75494,0.097427,[ 4 11] ; [ 6 13],[ 4.41176471 10.58823529] ; [ 5.58823529 13.41176471],0
p1,1,0.756899,0.095824,[ 1 21] ; [ 4 59],[ 1.29411765 20.70588235] ; [ 3.70588235 59.29411765],0
b1,1,0.761746,0.091923,[12 10] ; [32 31],[11.38823529 10.61176471] ; [32.61176471 30.38823529],0
u2,1,0.820789,0.051316,[7 6] ; [13 13],[6.66666667 6.33333333] ; [13.33333333 12.66666667],0
p8,1,0.845649,0.037898,[ 8 14] ; [24 38],[ 8.38095238 13.61904762] ; [23.61904762 38.38095238],0
v3,1,0.904186,0.01449,[ 4 18] ; [12 50],[ 4.19047619 17.80952381] ; [11.80952381 50.19047619],0
s5,1,0.994045,5.6e-05,[ 5 16] ; [14 45],[ 4.9875 16.0125] ; [14.0125 44.9875],0
