Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,27.562,[131  31] ; [11 20],[119.19170984  42.80829016] ; [22.80829016  8.19170984],1
s5,1,4.8e-05,16.540425,[91 65] ; [ 5 24],[80.95135135 75.04864865] ; [15.04864865 13.95135135],1
s6,1,8.8e-05,15.378019,[151  14] ; [19 10],[144.58762887  20.41237113] ; [25.41237113  3.58762887],1
s8,1,0.00998,6.638428,[120  47] ; [15 16],[113.86363636  53.13636364] ; [21.13636364  9.86363636],0
u2,1,0.010459,6.554979,[26 11] ; [3 8],[22.35416667 14.64583333] ; [6.64583333 4.35416667],0
a5,1,0.024993,5.024386,[134  34] ; [19 12],[129.16582915  38.83417085] ; [23.83417085  7.16582915],0
d5,1,0.028179,4.817079,[140  26] ; [21 10],[135.66497462  30.33502538] ; [25.33502538  5.66497462],0
u3,1,0.041409,4.159214,[26 11] ; [4 7],[23.125 13.875] ; [6.875 4.125],0
v4,1,0.050487,3.825202,[161   7] ; [27  4],[158.71356784   9.28643216] ; [29.28643216  1.71356784],0
a4,1,0.051223,3.800974,[94 74] ; [11 19],[89.09090909 78.90909091] ; [15.90909091 14.09090909],0
d4,1,0.053835,3.717805,[149  17] ; [24  7],[145.77664975  20.22335025] ; [27.22335025  3.77664975],0
p9,1,0.060757,3.516599,[154  14] ; [25  6],[151.11557789  16.88442211] ; [27.88442211  3.11557789],0
d1,1,0.066874,3.358129,[120  48] ; [17 14],[115.65829146  52.34170854] ; [21.34170854  9.65829146],0
p4,1,0.068698,3.313854,[137  30] ; [21 10],[133.26262626  33.73737374] ; [24.73737374  6.26262626],0
a2,1,0.093472,2.813543,[ 52 116] ; [ 5 26],[ 48.12060302 119.87939698] ; [ 8.87939698 22.12060302],0
a3,1,0.094179,2.801449,[131  36] ; [20 11],[127.35858586  39.64141414] ; [23.64141414  7.35858586],0
s4,1,0.102042,2.673331,[ 44 121] ; [ 4 27],[ 40.40816327 124.59183673] ; [ 7.59183673 23.40816327],0
p12,1,0.110594,2.545714,[ 31 137] ; [ 2 28],[ 28. 140.] ; [ 5. 25.],0
p10,1,0.116746,2.460441,[147  21] ; [23  7],[144.24242424  23.75757576] ; [25.75757576  4.24242424],0
u1,1,0.126339,2.336919,[ 43 125] ; [ 4 27],[ 39.67839196 128.32160804] ; [ 7.32160804 23.67839196],0
v1,1,0.132061,2.268111,[103  61] ; [15 16],[99.24102564 64.75897436] ; [18.75897436 12.24102564],0
r1,1,0.132899,2.258315,[143  25] ; [23  8],[140.14070352  27.85929648] ; [25.85929648  5.14070352],0
p3,1,0.146838,2.104799,[114  53] ; [17 14],[110.48989899  56.51010101] ; [20.51010101 10.48989899],0
a1,1,0.283313,1.151129,[ 15 153] ; [ 1 30],[ 13.50753769 154.49246231] ; [ 2.49246231 28.50753769],0
d3,1,0.291369,1.113285,[128  39] ; [21 10],[125.67171717  41.32828283] ; [23.32828283  7.67171717],0
b5,1,0.304352,1.05503,[98 70] ; [15 16],[95.39698492 72.60301508] ; [17.60301508 13.39698492],0
b4,1,0.314429,1.011981,[92 76] ; [20 11],[94.55276382 73.44723618] ; [17.44723618 13.55276382],0
n2,1,0.324681,0.969995,[26  4] ; [5 2],[25.13513514  4.86486486] ; [5.86486486 1.13513514],0
a7,1,0.369944,0.803853,[121  46] ; [20 11],[118.92424242  48.07575758] ; [22.07575758  8.92424242],0
v2,1,0.413826,0.667782,[97 66] ; [16 15],[94.94329897 68.05670103] ; [18.05670103 12.94329897],0
p5,1,0.41984,0.650762,[ 38 130] ; [ 5 26],[ 36.30150754 131.69849246] ; [ 6.69849246 24.30150754],0
n4,1,0.443934,0.586093,[143  25] ; [28  3],[144.36180905  23.63819095] ; [26.63819095  4.36180905],0
p1,1,0.477258,0.505122,[ 24 143] ; [ 6 25],[ 25.3030303 141.6969697] ; [ 4.6969697 26.3030303],0
d2,1,0.514729,0.424442,[102  65] ; [17 14],[100.36868687  66.63131313] ; [18.63131313 12.36868687],0
s1,1,0.519293,0.415298,[ 11 157] ; [ 1 28],[ 10.23350254 157.76649746] ; [ 1.76649746 27.23350254],0
p2,1,0.523196,0.407589,[151  17] ; [29  2],[151.95979899  16.04020101] ; [28.04020101  2.95979899],0
p11,1,0.591054,0.288702,[137  31] ; [24  7],[135.91959799  32.08040201] ; [25.08040201  5.91959799],0
b1,1,0.601603,0.272585,[79 89] ; [13 18],[77.66834171 90.33165829] ; [14.33165829 16.66834171],0
n6,1,0.667585,0.184441,[148  17] ; [27  4],[147.32142857  17.67857143] ; [27.67857143  3.32142857],0
a8,1,0.670495,0.181024,[ 27 132] ; [ 4 25],[ 26.21808511 132.78191489] ; [ 4.78191489 24.21808511],0
n3,1,0.686225,0.163202,[19 11] ; [5 2],[19.45945946 10.54054054] ; [4.54054054 2.45945946],0
n1,1,0.764177,0.09,[17 13] ; [3 3],[16.66666667 13.33333333] ; [3.33333333 2.66666667],0
p7,1,0.801014,0.063521,[140  24] ; [27  4],[140.45128205  23.54871795] ; [26.54871795  4.45128205],0
n5,1,0.858375,0.031842,[143  25] ; [26  5],[142.67336683  25.32663317] ; [26.32663317  4.67336683],0
v3,1,0.869024,0.027191,[67 94] ; [12 18],[66.59162304 94.40837696] ; [12.40837696 17.59162304],0
a6,1,0.901906,0.015192,[109  57] ; [20 11],[108.70050761  57.29949239] ; [20.29949239 10.70050761],0
p8,1,0.934861,0.00668,[118  50] ; [22  9],[118.19095477  49.80904523] ; [21.80904523  9.19095477],0
r2,1,0.949307,0.004042,[161   5] ; [30  1],[160.94416244   5.05583756] ; [30.05583756  0.94416244],0
b2,1,0.966422,0.001772,[52 59] ; [ 9 10],[52.08461538 58.91538462] ; [ 8.91538462 10.08461538],0
b3,1,0.966422,0.001772,[52 59] ; [ 9 10],[52.08461538 58.91538462] ; [ 8.91538462 10.08461538],0
