Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000929,10.963726,[14 10] ; [19 64],[ 7.40186916 16.59813084] ; [25.59813084 57.40186916],1
s6,1,0.001757,9.787438,[15  9] ; [25 64],[ 8.49557522 15.50442478] ; [31.50442478 57.49557522],0
s2,1,0.002441,9.184396,[13 11] ; [20 69],[ 7.00884956 16.99115044] ; [25.99115044 63.00884956],0
p7,1,0.021604,5.277361,[14  9] ; [30 57],[ 9.2 13.8] ; [34.8 52.2],0
p8,1,0.032964,4.547659,[11 12] ; [22 66],[ 6.83783784 16.16216216] ; [26.16216216 61.83783784],0
u3,1,0.046312,3.970226,[7 6] ; [10 31],[4.09259259 8.90740741] ; [12.90740741 28.09259259],0
p6,1,0.047842,3.915525,[ 8 16] ; [13 72],[ 4.62385321 19.37614679] ; [16.37614679 68.62385321],0
b4,1,0.054037,3.711566,[ 9 15] ; [53 36],[13.16814159 10.83185841] ; [48.83185841 40.16814159],0
u2,1,0.079867,3.067606,[8 5] ; [14 27],[5.2962963 7.7037037] ; [16.7037037 24.2962963],0
s3,1,0.086934,2.930258,[13 11] ; [30 56],[ 9.38181818 14.61818182] ; [33.61818182 52.38181818],0
v1,1,0.100346,2.700031,[ 4 20] ; [29 56],[ 7.26605505 16.73394495] ; [25.73394495 59.26605505],0
p2,1,0.105957,2.613515,[18  6] ; [50 38],[14.57142857  9.42857143] ; [53.42857143 34.57142857],0
p11,1,0.110186,2.551547,[16  8] ; [43 46],[12.53097345 11.46902655] ; [46.46902655 42.53097345],0
p3,1,0.181167,1.788027,[ 9 15] ; [21 67],[ 6.42857143 17.57142857] ; [23.57142857 64.42857143],0
v4,1,0.220497,1.50113,[17  7] ; [49 37],[14.4  9.6] ; [51.6 34.4],0
n5,1,0.236106,1.403697,[17  7] ; [50 37],[14.48648649  9.51351351] ; [52.51351351 34.48648649],0
r1,1,0.255506,1.292944,[ 4 20] ; [25 64],[ 6.15929204 17.84070796] ; [22.84070796 66.15929204],0
d3,1,0.263041,1.25268,[14 10] ; [40 48],[11.57142857 12.42857143] ; [42.42857143 45.57142857],0
b1,1,0.270292,1.215266,[11 13] ; [52 37],[13.38053097 10.61946903] ; [49.61946903 39.38053097],0
a5,1,0.285994,1.138385,[10 14] ; [48 41],[12.31858407 11.68141593] ; [45.68141593 43.31858407],0
s8,1,0.290987,1.115051,[ 6 18] ; [14 75],[ 4.24778761 19.75221239] ; [15.75221239 73.24778761],0
b5,1,0.34549,0.889955,[15  9] ; [46 43],[12.95575221 11.04424779] ; [48.04424779 40.95575221],0
p4,1,0.376382,0.782484,[11 13] ; [32 57],[ 9.13274336 14.86725664] ; [33.86725664 55.13274336],0
