Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000138,14.528802,[192  55] ; [3 8],[186.68604651  60.31395349] ; [8.31395349 2.68604651],1
r4,1,0.001533,10.038511,[242  12] ; [8 3],[239.62264151  14.37735849] ; [10.37735849  0.62264151],0
s1,1,0.003033,8.787357,[  6 243] ; [2 9],[  7.66153846 241.33846154] ; [ 0.33846154 10.66153846],0
r1,1,0.006577,7.38507,[214  37] ; [6 5],[210.76335878  40.23664122] ; [9.23664122 1.76335878],0
b1,1,0.010094,6.618275,[ 88 166] ; [8 3],[ 92.01509434 161.98490566] ; [3.98490566 7.01509434],0
r2,1,0.01085,6.48976,[244   8] ; [9 2],[242.41825095   9.58174905] ; [10.58174905  0.41825095],0
p11,1,0.021335,5.29925,[209  45] ; [6 5],[206.0754717  47.9245283] ; [8.9245283 2.0754717],0
p1,1,0.021455,5.28946,[ 31 221] ; [4 7],[ 33.53612167 218.46387833] ; [1.46387833 9.53612167],0
v2,1,0.102017,2.673725,[152  97] ; [4 7],[149.4  99.6] ; [6.6 4.4],0
s7,1,0.113887,2.499441,[166  77] ; [5 6],[163.59448819  79.40551181] ; [7.40551181 3.59448819],0
s3,1,0.149906,2.07321,[178  72] ; [5 5],[175.96153846  74.03846154] ; [7.03846154 2.96153846],0
a2,1,0.175726,1.833407,[ 70 184] ; [ 1 10],[ 68.05283019 185.94716981] ; [2.94716981 8.05283019],0
b3,1,0.223236,1.483447,[71 80] ; [2 6],[69.32704403 81.67295597] ; [3.67295597 4.32704403],0
b2,1,0.223236,1.483447,[71 80] ; [2 6],[69.32704403 81.67295597] ; [3.67295597 4.32704403],0
v4,1,0.234415,1.413871,[244   7] ; [10  1],[243.33587786   7.66412214] ; [10.66412214  0.33587786],0
s8,1,0.285641,1.140054,[155  97] ; [5 6],[153.30798479  98.69201521] ; [6.69201521 4.30798479],0
u1,1,0.305892,1.048331,[ 56 198] ; [ 1 10],[ 54.63396226 199.36603774] ; [2.36603774 8.63396226],0
