Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.024945,5.027675,[63 10] ; [26 12],[58.53153153 14.46846847] ; [30.46846847  7.53153153],0
a7,1,0.03078,4.665179,[51 21] ; [19 19],[45.81818182 26.18181818] ; [24.18181818 13.81818182],0
b1,1,0.046837,3.951224,[26 47] ; [21 17],[30.90990991 42.09009009] ; [16.09009009 21.90990991],0
s5,1,0.061285,3.502274,[10 62] ; [ 1 37],[ 7.2 64.8] ; [ 3.8 34.2],0
d1,1,0.094366,2.798277,[31 42] ; [10 28],[26.96396396 46.03603604] ; [14.03603604 23.96396396],0
n2,1,0.114685,2.48845,[12 12] ; [14  5],[14.51162791  9.48837209] ; [11.48837209  7.51162791],0
a5,1,0.118496,2.437088,[29 44] ; [21 17],[32.88288288 40.11711712] ; [17.11711712 20.88288288],0
r2,1,0.12286,2.380482,[61 12] ; [27 11],[57.87387387 15.12612613] ; [30.12612613  7.87387387],0
p9,1,0.155947,2.01309,[42 29] ; [27 10],[45.36111111 25.63888889] ; [23.63888889 13.36111111],0
a2,1,0.159646,1.977575,[ 4 69] ; [ 5 33],[ 5.91891892 67.08108108] ; [ 3.08108108 34.91891892],0
v1,1,0.17217,1.863943,[19 52] ; [15 23],[22.14678899 48.85321101] ; [11.85321101 26.14678899],0
n6,1,0.210928,1.565045,[39 34] ; [25 13],[42.09009009 30.90990991] ; [21.90990991 16.09009009],0
s7,1,0.248928,1.329312,[ 8 61] ; [ 7 28],[ 9.95192308 59.04807692] ; [ 5.04807692 29.95192308],0
s2,1,0.26239,1.256101,[14 59] ; [ 4 33],[11.94545455 61.05454545] ; [ 6.05454545 30.94545455],0
a4,1,0.266116,1.236659,[16 57] ; [12 26],[18.41441441 54.58558559] ; [ 9.58558559 28.41441441],0
u1,1,0.329262,0.951799,[ 4 69] ; [ 4 34],[ 5.26126126 67.73873874] ; [ 2.73873874 35.26126126],0
r4,1,0.33659,0.923375,[49 24] ; [22 16],[46.69369369 26.30630631] ; [24.30630631 13.69369369],0
p4,1,0.346509,0.8862,[22 50] ; [15 23],[24.21818182 47.78181818] ; [12.78181818 25.21818182],0
u2,1,0.370768,0.801088,[16 16] ; [9 5],[17.39130435 14.60869565] ; [7.60869565 6.39130435],0
p11,1,0.398846,0.711803,[42 31] ; [25 13],[44.06306306 28.93693694] ; [22.93693694 15.06306306],0
p3,1,0.428284,0.627472,[14 57] ; [10 28],[15.63302752 55.36697248] ; [ 8.36697248 29.63302752],0
d4,1,0.494711,0.466265,[52 21] ; [24 13],[50.43636364 22.56363636] ; [25.56363636 11.43636364],0
a3,1,0.52852,0.397236,[41 31] ; [24 14],[42.54545455 29.45454545] ; [22.45454545 15.54545455],0
p10,1,0.532174,0.390239,[38 32] ; [23 15],[39.53703704 30.46296296] ; [21.46296296 16.53703704],0
n1,1,0.551457,0.354714,[ 5 20] ; [ 5 13],[ 5.81395349 19.18604651] ; [ 4.18604651 13.81395349],0
a6,1,0.551898,0.353929,[36 37] ; [21 17],[37.48648649 35.51351351] ; [19.51351351 18.48648649],0
s8,1,0.565589,0.330119,[ 7 66] ; [ 5 33],[ 7.89189189 65.10810811] ; [ 4.10810811 33.89189189],0
s4,1,0.565589,0.330119,[ 7 66] ; [ 5 33],[ 7.89189189 65.10810811] ; [ 4.10810811 33.89189189],0
s1,1,0.567712,0.326525,[ 6 67] ; [ 2 36],[ 5.26126126 67.73873874] ; [ 2.73873874 35.26126126],0
r1,1,0.611106,0.258568,[44 29] ; [21 17],[42.74774775 30.25225225] ; [22.25225225 15.74774775],0
p12,1,0.642745,0.215169,[ 1 71] ; [ 1 37],[ 1.30909091 70.69090909] ; [ 0.69090909 37.30909091],0
b5,1,0.658981,0.194764,[41 32] ; [23 15],[42.09009009 30.90990991] ; [21.90990991 16.09009009],0
s3,1,0.670463,0.181061,[18 55] ; [ 8 30],[17.0990991 55.9009009] ; [ 8.9009009 29.0990991],0
p1,1,0.682553,0.167267,[ 3 69] ; [ 1 37],[ 2.61818182 69.38181818] ; [ 1.38181818 36.61818182],0
u3,1,0.69537,0.153333,[18 14] ; [7 7],[17.39130435 14.60869565] ; [7.60869565 6.39130435],0
p8,1,0.70273,0.145647,[26 46] ; [12 25],[25.10091743 46.89908257] ; [12.89908257 24.10091743],0
b2,1,0.721464,0.127095,[10 29] ; [ 6 14],[10.57627119 28.42372881] ; [ 5.42372881 14.57627119],0
b3,1,0.721464,0.127095,[10 29] ; [ 6 14],[10.57627119 28.42372881] ; [ 5.42372881 14.57627119],0
n3,1,0.747954,0.103259,[14 10] ; [12  7],[14.51162791  9.48837209] ; [11.48837209  7.51162791],0
d3,1,0.773469,0.082852,[41 31] ; [20 17],[40.29357798 31.70642202] ; [20.70642202 16.29357798],0
v3,1,0.78169,0.076794,[12 55] ; [ 6 32],[11.48571429 55.51428571] ; [ 6.51428571 31.48571429],0
p7,1,0.810741,0.057346,[33 37] ; [17 21],[32.40740741 37.59259259] ; [17.59259259 20.40740741],0
b4,1,0.828232,0.047076,[40 33] ; [20 18],[39.45945946 33.54054054] ; [20.54054054 17.45945946],0
v2,1,0.846442,0.037504,[27 44] ; [13 23],[26.54205607 44.45794393] ; [13.45794393 22.54205607],0
p2,1,0.847647,0.036911,[48 23] ; [25 13],[47.55045872 23.44954128] ; [25.44954128 12.55045872],0
p6,1,0.867684,0.027756,[12 58] ; [ 7 31],[12.31481481 57.68518519] ; [ 6.68518519 31.31481481],0
d2,1,0.887517,0.020007,[24 49] ; [13 25],[24.33333333 48.66666667] ; [12.66666667 25.33333333],0
d5,1,0.9459,0.004605,[45 27] ; [24 14],[45.16363636 26.83636364] ; [23.83636364 14.16363636],0
v4,1,0.95704,0.002902,[62 10] ; [32  5],[62.09174312  9.90825688] ; [31.90825688  5.09174312],0
p5,1,0.960779,0.002418,[ 4 67] ; [ 2 35],[ 3.94444444 67.05555556] ; [ 2.05555556 34.94444444],0
a1,1,0.973404,0.001112,[ 2 71] ; [ 1 37],[ 1.97297297 71.02702703] ; [ 1.02702703 36.97297297],0
a8,1,0.986344,0.000293,[ 4 65] ; [ 2 33],[ 3.98076923 65.01923077] ; [ 2.01923077 32.98076923],0
