Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000918,10.985075,[57 77] ; [35 15],[67. 67.] ; [25. 25.],1
p6,1,0.003818,8.368305,[ 29 101] ; [22 28],[36.83333333 93.16666667] ; [14.16666667 35.83333333],0
p8,1,0.00544,7.727109,[49 83] ; [30 20],[57.2967033 74.7032967] ; [21.7032967 28.2967033],0
p3,1,0.006247,7.477508,[47 85] ; [29 21],[55.12087912 76.87912088] ; [20.87912088 29.12087912],0
d2,1,0.008867,6.849383,[49 85] ; [29 21],[56.80434783 77.19565217] ; [21.19565217 28.80434783],0
r4,1,0.010999,6.465413,[113  21] ; [49  1],[117.97826087  16.02173913] ; [44.02173913  5.97826087],0
a5,1,0.013033,6.16469,[75 59] ; [38 12],[82.29347826 51.70652174] ; [30.70652174 19.29347826],0
p11,1,0.016338,5.766137,[95 39] ; [44  6],[101.22826087  32.77173913] ; [37.77173913 12.22826087],0
p10,1,0.021671,5.271971,[94 37] ; [44  6],[99.87845304 31.12154696] ; [38.12154696 11.87845304],0
d5,1,0.022561,5.202025,[93 41] ; [43  7],[99.04347826 34.95652174] ; [36.95652174 13.04347826],0
b2,1,0.055228,3.675179,[18 49] ; [14 16],[22.10309278 44.89690722] ; [ 9.89690722 20.10309278],0
b3,1,0.055228,3.675179,[18 49] ; [14 16],[22.10309278 44.89690722] ; [ 9.89690722 20.10309278],0
s6,1,0.057827,3.598648,[85 46] ; [39 10],[90.24444444 40.75555556] ; [33.75555556 15.24444444],0
p4,1,0.079784,3.069302,[60 72] ; [30 20],[65.27472527 66.72527473] ; [24.72527473 25.27472527],0
s5,1,0.108504,2.575873,[32 98] ; [17 29],[36.19318182 93.80681818] ; [12.80681818 33.19318182],0
p2,1,0.127674,2.320566,[103  29] ; [44  6],[106.61538462  25.38461538] ; [40.38461538  9.61538462],0
s2,1,0.139601,2.182355,[75 59] ; [34 16],[79.38043478 54.61956522] ; [29.61956522 20.38043478],0
u3,1,0.142843,2.147063,[29 30] ; [13  6],[31.76923077 27.23076923] ; [10.23076923  8.76923077],0
p12,1,0.161812,1.957214,[  8 125] ; [ 6 43],[ 10.23076923 122.76923077] ; [ 3.76923077 45.23076923],0
a6,1,0.179771,1.79952,[88 46] ; [38 12],[91.76086957 42.23913043] ; [34.23913043 15.76086957],0
p9,1,0.230668,1.436736,[100  32] ; [42  8],[102.98901099  29.01098901] ; [39.01098901 10.98901099],0
p1,1,0.242024,1.368764,[  5 127] ; [ 4 46],[  6.52747253 125.47252747] ; [ 2.47252747 47.52747253],0
a2,1,0.254047,1.300908,[ 20 114] ; [11 39],[ 22.57608696 111.42391304] ; [ 8.42391304 41.57608696],0
p5,1,0.25573,1.291727,[  8 123] ; [ 1 49],[  6.51381215 124.48618785] ; [ 2.48618785 47.51381215],0
r3,1,0.26668,1.233746,[126   8] ; [49  1],[127.44565217   6.55434783] ; [47.55434783  2.44565217],0
n6,1,0.269202,1.220809,[95 37] ; [40 10],[97.91208791 34.08791209] ; [37.08791209 12.91208791],0
d3,1,0.302334,1.063873,[80 54] ; [34 16],[83.02173913 50.97826087] ; [30.97826087 19.02173913],0
b1,1,0.336017,0.925569,[46 88] ; [21 29],[48.79347826 85.20652174] ; [18.20652174 31.79347826],0
d4,1,0.340975,0.906764,[104  30] ; [42  8],[106.32608696  27.67391304] ; [39.67391304 10.32608696],0
a8,1,0.355531,0.853617,[ 14 115] ; [ 3 45],[ 12.38983051 116.61016949] ; [ 4.61016949 43.38983051],0
v2,1,0.373108,0.793286,[57 68] ; [24 21],[59.55882353 65.44117647] ; [21.44117647 23.55882353],0
a3,1,0.386679,0.749361,[73 60] ; [31 19],[75.58469945 57.41530055] ; [28.41530055 21.58469945],0
u2,1,0.393594,0.727809,[28 32] ; [11  8],[29.62025316 30.37974684] ; [9.37974684 9.62025316],0
a7,1,0.482023,0.494282,[97 37] ; [38 11],[98.85245902 35.14754098] ; [36.14754098 12.85245902],0
u1,1,0.500227,0.454454,[ 14 120] ; [ 7 43],[ 15.29347826 118.70652174] ; [ 5.70652174 44.29347826],0
n3,1,0.5489,0.359291,[26  6] ; [8 3],[25.30232558  6.69767442] ; [8.69767442 2.30232558],0
s4,1,0.613168,0.255588,[ 22 109] ; [10 40],[ 23.16022099 107.83977901] ; [ 8.83977901 41.16022099],0
r1,1,0.653281,0.201788,[96 37] ; [37 12],[97.19230769 35.80769231] ; [35.80769231 13.19230769],0
