Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3.1e-05,17.345145,[ 5 19] ; [12  1],[11.02702703 12.97297297] ; [5.97297297 7.02702703],1
d3,1,0.00539,7.743561,[ 7 17] ; [10  3],[11.02702703 12.97297297] ; [5.97297297 7.02702703],0
d5,1,0.030891,4.659001,[14 10] ; [12  1],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
d4,1,0.030891,4.659001,[14 10] ; [12  1],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
s5,1,0.031132,4.645676,[ 3 21] ; [5 6],[ 5.48571429 18.51428571] ; [2.51428571 8.48571429],0
v1,1,0.038208,4.295748,[12 12] ; [ 2 11],[ 9.08108108 14.91891892] ; [4.91891892 8.08108108],0
r4,1,0.055538,3.665861,[ 7 17] ; [8 5],[ 9.72972973 14.27027027] ; [5.27027027 7.72972973],0
s3,1,0.065254,3.398532,[ 9 15] ; [9 4],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
a4,1,0.07932,3.078772,[ 6 18] ; [7 6],[ 8.43243243 15.56756757] ; [4.56756757 8.43243243],0
a3,1,0.103031,2.657991,[14 10] ; [11  2],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
r2,1,0.151494,2.057143,[12 12] ; [9 3],[14. 10.] ; [7. 5.],0
v2,1,0.161304,1.961963,[ 9 15] ; [8 5],[11.02702703 12.97297297] ; [5.97297297 7.02702703],0
r3,1,0.18042,1.794158,[17  6] ; [12  1],[18.52777778  4.47222222] ; [10.47222222  2.52777778],0
a6,1,0.248286,1.332921,[10 14] ; [8 5],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
p6,1,0.306136,1.047273,[ 6 18] ; [5 7],[ 7.33333333 16.66666667] ; [3.66666667 8.33333333],0
b3,1,0.339039,0.914062,[ 5 11] ; [5 5],[6.15384615 9.84615385] ; [3.84615385 6.15384615],0
b2,1,0.339039,0.914062,[ 5 11] ; [5 5],[6.15384615 9.84615385] ; [3.84615385 6.15384615],0
p11,1,0.37095,0.800481,[15  9] ; [10  3],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
b4,1,0.37095,0.800481,[15  9] ; [10  3],[16.21621622  7.78378378] ; [8.78378378 4.21621622],0
u3,1,0.371093,0.8,[2 8] ; [1 1],[2.5 7.5] ; [0.5 1.5],0
r1,1,0.372944,0.793833,[11 13] ; [4 9],[ 9.72972973 14.27027027] ; [5.27027027 7.72972973],0
a5,1,0.392416,0.731442,[18  6] ; [8 5],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
s2,1,0.392416,0.731442,[ 6 18] ; [5 8],[ 7.13513514 16.86486486] ; [3.86486486 9.13513514],0
s4,1,0.404698,0.694324,[ 3 21] ; [ 3 10],[ 3.89189189 20.10810811] ; [ 2.10810811 10.89189189],0
p8,1,0.453255,0.5625,[ 9 15] ; [3 9],[ 8. 16.] ; [4. 8.],0
s6,1,0.477688,0.504137,[10 14] ; [6 5],[10.97142857 13.02857143] ; [5.02857143 5.97142857],0
p4,1,0.477897,0.503658,[10 14] ; [7 6],[11.02702703 12.97297297] ; [5.97297297 7.02702703],0
p10,1,0.497602,0.460046,[18  6] ; [11  2],[18.81081081  5.18918919] ; [10.18918919  2.81081081],0
b5,1,0.50137,0.452036,[12 12] ; [8 5],[12.97297297 11.02702703] ; [7.02702703 5.97297297],0
a2,1,0.509629,0.434829,[ 2 22] ; [ 2 11],[ 2.59459459 21.40540541] ; [ 1.40540541 11.59459459],0
n4,1,0.51465,0.424601,[16  8] ; [10  3],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
s8,1,0.51465,0.424601,[ 8 16] ; [ 3 10],[ 7.13513514 16.86486486] ; [3.86486486 9.13513514],0
v3,1,0.57075,0.321429,[ 6 18] ; [ 2 10],[ 5.33333333 18.66666667] ; [2.66666667 9.33333333],0
p12,1,0.606905,0.264706,[ 1 23] ; [ 1 11],[ 1.33333333 22.66666667] ; [ 0.66666667 11.33333333],0
p3,1,0.608766,0.261976,[ 9 15] ; [6 7],[ 9.72972973 14.27027027] ; [5.27027027 7.72972973],0
p2,1,0.608874,0.261818,[16  8] ; [9 3],[16.66666667  7.33333333] ; [8.33333333 3.66666667],0
a7,1,0.64155,0.216721,[13 11] ; [6 7],[12.32432432 11.67567568] ; [6.67567568 6.32432432],0
a8,1,0.72647,0.122378,[ 4 18] ; [ 3 10],[ 4.4 17.6] ; [ 2.6 10.4],0
n6,1,0.806179,0.060201,[15  8] ; [9 4],[15.33333333  7.66666667] ; [8.66666667 4.33333333],0
p1,1,0.806439,0.060036,[ 3 21] ; [ 2 11],[ 3.24324324 20.75675676] ; [ 1.75675676 11.24324324],0
p5,1,0.806439,0.060036,[ 3 21] ; [ 2 11],[ 3.24324324 20.75675676] ; [ 1.75675676 11.24324324],0
p7,1,0.823181,0.049933,[12 12] ; [6 7],[11.67567568 12.32432432] ; [6.32432432 6.67567568],0
b1,1,0.849647,0.035936,[14 10] ; [8 5],[14.27027027  9.72972973] ; [7.72972973 5.27027027],0
n5,1,0.918904,0.010366,[17  7] ; [9 4],[16.86486486  7.13513514] ; [9.13513514 3.86486486],0
u1,1,0.94563,0.004651,[ 2 22] ; [ 1 12],[ 1.94594595 22.05405405] ; [ 1.05405405 11.94594595],0
s7,1,0.9485,0.004172,[ 7 15] ; [4 9],[ 6.91428571 15.08571429] ; [4.08571429 8.91428571],0
