Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,34.165103,[147  21] ; [19 22],[133.4354067  34.5645933] ; [32.5645933  8.4354067],1
s7,1,4e-06,21.191044,[99 62] ; [ 8 31],[86.135 74.865] ; [20.865 18.135],1
d5,1,9.1e-05,15.321839,[132  35] ; [20 21],[122.03846154  44.96153846] ; [29.96153846 11.03846154],1
v3,1,0.000107,15.013562,[74 90] ; [ 5 36],[ 63.2 100.8] ; [15.8 25.2],1
p10,1,0.000167,14.172332,[141  25] ; [24 17],[132.31884058  33.68115942] ; [32.68115942  8.31884058],1
n6,1,0.000271,13.259761,[146  21] ; [26 15],[138.09615385  28.90384615] ; [33.90384615  7.09615385],1
s8,1,0.000749,11.364324,[86 82] ; [ 9 32],[76.36363636 91.63636364] ; [18.63636364 22.36363636],1
s6,1,0.001006,10.816002,[112  50] ; [17 24],[102.94581281  59.05418719] ; [26.05418719 14.94581281],0
r3,1,0.002647,9.036331,[157  11] ; [32  9],[151.92344498  16.07655502] ; [37.07655502  3.92344498],0
a5,1,0.004398,8.111624,[121  47] ; [20 21],[113.33971292  54.66028708] ; [27.66028708 13.33971292],0
s3,1,0.006059,7.532688,[104  62] ; [16 25],[96.23188406 69.76811594] ; [23.76811594 17.23188406],0
r4,1,0.006439,7.423153,[142  26] ; [27 14],[135.84688995  32.15311005] ; [33.15311005  7.84688995],0
p9,1,0.008754,6.872322,[146  21] ; [29 12],[140.50480769  26.49519231] ; [34.49519231  6.50480769],0
d1,1,0.009627,6.702686,[87 81] ; [12 29],[79.57894737 88.42105263] ; [19.42105263 21.57894737],0
s2,1,0.015824,5.822309,[86 82] ; [12 28],[79.15384615 88.84615385] ; [18.84615385 21.15384615],0
r1,1,0.016455,5.753573,[126  42] ; [23 18],[119.77033493  48.22966507] ; [29.22966507 11.77033493],0
a3,1,0.019422,5.463157,[124  44] ; [22 18],[117.92307692  50.07692308] ; [28.07692308 11.92307692],0
d2,1,0.021029,5.324404,[87 81] ; [13 28],[80.38277512 87.61722488] ; [19.61722488 21.38277512],0
v2,1,0.023676,5.118201,[86 78] ; [13 27],[79.58823529 84.41176471] ; [19.41176471 20.58823529],0
p5,1,0.025652,4.979327,[ 26 142] ; [ 1 40],[ 21.70334928 146.29665072] ; [ 5.29665072 35.70334928],0
p11,1,0.038499,4.282857,[139  29] ; [28 13],[134.23923445  33.76076555] ; [32.76076555  8.23923445],0
p3,1,0.043505,4.075664,[91 77] ; [15 26],[85.20574163 82.79425837] ; [20.79425837 20.20574163],0
b3,1,0.044971,4.019728,[50 63] ; [ 5 18],[45.69852941 67.30147059] ; [ 9.30147059 13.69852941],0
b2,1,0.044971,4.019728,[50 63] ; [ 5 18],[45.69852941 67.30147059] ; [ 9.30147059 13.69852941],0
a4,1,0.050852,3.813157,[77 90] ; [12 29],[71.45673077 95.54326923] ; [17.54326923 23.45673077],0
d4,1,0.054951,3.683577,[129  38] ; [25 15],[124.24154589  42.75845411] ; [29.75845411 10.24154589],0
p4,1,0.064274,3.423522,[100  67] ; [18 23],[94.74038462 72.25961538] ; [23.25961538 17.74038462],0
r2,1,0.106064,2.611902,[148  17] ; [33  8],[144.97572816  20.02427184] ; [36.02427184  4.97572816],0
p8,1,0.151992,2.052145,[93 72] ; [18 23],[88.90776699 76.09223301] ; [22.09223301 18.90776699],0
v4,1,0.157069,2.002218,[156  10] ; [35  5],[153.91262136  12.08737864] ; [37.08737864  2.91262136],0
v1,1,0.159862,1.975527,[90 74] ; [17 23],[86.01960784 77.98039216] ; [20.98039216 19.01960784],0
u3,1,0.173225,1.854814,[13 31] ; [ 9 10],[15.36507937 28.63492063] ; [ 6.63492063 12.36507937],0
p6,1,0.180008,1.797561,[ 66 100] ; [11 28],[ 62.35121951 103.64878049] ; [14.64878049 24.35121951],0
n1,1,0.209344,1.575957,[16 25] ; [ 4 14],[13.89830508 27.10169492] ; [ 6.10169492 11.89830508],0
s5,1,0.237774,1.393745,[65 97] ; [12 28],[ 61.75247525 100.24752475] ; [15.24752475 24.75247525],0
s4,1,0.257646,1.281361,[ 28 139] ; [10 31],[ 30.50961538 136.49038462] ; [ 7.49038462 33.50961538],0
u1,1,0.263534,1.250097,[ 12 156] ; [ 1 40],[ 10.44976077 157.55023923] ; [ 2.55023923 38.44976077],0
a2,1,0.341779,0.903748,[ 16 152] ; [ 2 39],[ 14.46889952 153.53110048] ; [ 3.53110048 37.46889952],0
n2,1,0.359715,0.838889,[27 14] ; [14  4],[28.49152542 12.50847458] ; [12.50847458  5.49152542],0
p7,1,0.541843,0.372134,[114  53] ; [30 11],[115.61538462  51.38461538] ; [28.38461538 12.61538462],0
b5,1,0.581742,0.303426,[78 90] ; [21 20],[79.57894737 88.42105263] ; [19.42105263 21.57894737],0
n3,1,0.591565,0.287907,[28 13] ; [11  7],[27.10169492 13.89830508] ; [11.89830508  6.10169492],0
a1,1,0.62863,0.233923,[  9 159] ; [ 3 38],[  9.64593301 158.35406699] ; [ 2.35406699 38.64593301],0
b1,1,0.683218,0.166526,[76 92] ; [20 21],[77.16746411 90.83253589] ; [18.83253589 22.16746411],0
u2,1,0.720829,0.1277,[23 21] ; [ 9 10],[22.34920635 21.65079365] ; [9.65079365 9.34920635],0
d3,1,0.734417,0.115095,[77 91] ; [20 21],[77.97129187 90.02870813] ; [19.02870813 21.97129187],0
a6,1,0.757896,0.095015,[70 98] ; [16 25],[69.1291866 98.8708134] ; [16.8708134 24.1291866],0
a8,1,0.787011,0.073005,[ 19 138] ; [ 4 34],[ 18.51794872 138.48205128] ; [ 4.48205128 33.51794872],0
b4,1,0.791025,0.070214,[94 74] ; [22 19],[93.24401914 74.75598086] ; [22.75598086 18.24401914],0
p1,1,0.927568,0.008264,[ 13 155] ; [ 3 38],[ 12.86124402 155.13875598] ; [ 3.13875598 37.86124402],0
s1,1,0.986905,0.000269,[  4 163] ; [ 1 40],[  4.01442308 162.98557692] ; [ 0.98557692 40.01442308],0
